,MI,MO,NE,OK,SD,TX1,TX2,TX3
MI,23541.683650700943,22881.16005068532,20924.78714783654,37950.84749170437,9897.790618720253,445.8446245059268,11749.33483747107,17254.295235714286
MO,22881.16005068532,29816.87882566586,23564.448819110577,45123.427394502905,11252.130179799049,-3136.9688241106765,12003.4727733204,14285.721954339564
NE,20924.78714783654,23564.448819110577,26026.203472410674,36344.38715128204,9523.661397058824,-3088.402660714282,10726.843791644631,23117.55772124811
OK,37950.84749170437,45123.427394502905,36344.38715128204,89155.2208548655,15987.893754445236,10943.512336805552,18999.06487938775,34248.661993672016
SD,9897.790618720253,11252.130179799049,9523.661397058824,15987.893754445236,6188.855938300055,2373.895791666667,3774.8086129943513,10604.264883708278
TX1,445.8446245059268,-3136.9688241106765,-3088.402660714282,10943.512336805552,2373.895791666667,61171.34858242754,332.3272924901223,9784.14762454711
TX2,11749.33483747107,12003.4727733204,10726.843791644631,18999.06487938775,3774.8086129943513,332.3272924901223,38389.754988795525,36936.98261948052
TX3,17254.295235714286,14285.721954339564,23117.55772124811,34248.661993672016,10604.264883708278,9784.14762454711,36936.98261948052,206009.40872651845
