Site	SITE	Latitude	Longitude	Elevation	Nearest.Street.Address	City	State	Zipcode	Planting.Date	X2018.Replants	X2019.Replants	Harvest_2019	Note	manu_site
Brookings, SD, SDSU	BRKG	44.3068	-96.6705	503	21201 477th Avenue	Aurora	SD	57002	2018-07-10	2018-10-06	2019-07-24 00:00:00	2019-10-28	NA	SD
Columbia, MO, MU BRF	CLMB	38.8969	-92.2178	268	4968 S Rangeline Rd.	Columbia	MO	65201	2018-06-12	2018-09-12	6/24/19 & 8/14/19	2020-11-10	Check replant log for list of plots on date	MO
Hickory Corners, MI, KBS	KBSM	42.419618	-85.371266	289	13100 W. Baseline Rd.	Hickory Corners	MI	49060	2018-06-24	2018-10-02	2019-07-18 00:00:00	2019-10-25	NA	MI
Kingsville, TX, USDA/PMC	KING	27.549863	-97.881012	22	3409 N FM 1355	Kingsville	TX	78363	2018-05-11	2018-09-26	2019-06-21 00:00:00	2019-10-22	NA	TX1
Lincoln, NE, UNL ARF	LINC	41.1543	-96.4153	348	650 County Road H	Ithica	NE	68033	2018-06-14	2018-09-27	2019-07-25 00:00:00	2019-10-31	NA	NE
Austin, TX, UT PRC	PKLE	30.383979	-97.729383	235	2900 Innovation Blvd	Austin	TX	78758	2018-05-15	2018-10-01	2019-08-10 00:00:00	2019-12-05	NA	TX2
Stillwater, OK, OSU	STIL	35.991148	-97.046489	280	11160 N3343 Rd.	Perkins	OK	74059	2018-06-05	2018-11-08	2019-06-19 00:00:00	2019-11-19	NA	OK
Temple, TX, USDA/ARS	TMPL	31.043383	-97.349498	182	808 East Blackland Rd.	Temple	TX	76502	2018-05-24	2018-09-26	2019-06-19 00:00:00	2019-12-18	NA	TX3
