PLANT_ID	SUBPOP	Lat_origin	Long_origin	PLOT_GL	SITE	GR50	DOY	DYLN	cgdd_12c_jan2gr	cgdd_8c_jan2gr	GDD_12C_SM	tmax_18d	tmin_18d	tave_18d	cgdd_12c_18d	tmax_10d	tmin_10d	tave_10d	cgdd_12c_10d	tmax_5d	tmin_5d	tave_5d	cgdd_12c_5d
J001.B	Gulf	28.57	82.38	B1813	BRKG	149	2019-05-30	15.2222616411632	46.9	138.85	3.25	17.2777777777778	8.04444444444444	12.6611111111111	1.98888888888889	16.65	8.15	12.4	1.305	18.64	8.66	13.65	1.85
J001.B	Gulf	28.57	82.38	M5010	KBSM	134	2019-05-15	14.5668410415973	31.4	124.8	1.25	15.7444444444444	5.15555555555556	10.45	0.672222222222222	16.81	5.22	11.015	0.965	16.2	4.06	10.13	0.25
J003.B	Atlantic	35.029935	79.547826	K2720	KING	84	2019-03-26	12.2568931472964	418.3	711.9	9.6	24.7333333333333	16.3833333333333	20.5583333333333	8.55833333333333	22.12	13.62	17.87	5.87	26.22	16.06	21.14	9.14
J003.B	Atlantic	35.029935	79.547826	P4412	PKLE	74	2019-03-16	11.9678444808205	181.55	381.1	0.75	18.55	8.38333333333333	13.4666666666667	3.90277777777778	23.84	12.94	18.39	6.39	22.22	12.1	17.16	5.16
J003.B	Atlantic	35.029935	79.547826	S2013	STIL	100	2019-04-11	12.9227987017719	82.305	204.94	2.045	20.9294444444444	7.61166666666667	14.2705555555556	3.55138888888889	24.427	9.823	17.125	5.125	26.802	11.178	18.99	6.99
J003.B	Atlantic	35.029935	79.547826	S2310	STIL	154	2019-06-04	14.4719312449611	452.965	780.065	12.215	27.5177777777778	16.5644444444444	22.0411111111111	10.0411111111111	28.226	17.714	22.97	10.97	29.864	17.696	23.78	11.78
J003.B	Atlantic	35.029935	79.547826	T2610	TMPL	81	2019-03-23	12.1864983311553	150.185	334.28	5.71	20.6894444444444	10.3738888888889	15.5316666666667	4.05722222222222	19.941	9.554	14.7475	3.112	22.342	10.998	16.67	4.67
J003.B	Atlantic	35.029935	79.547826	F2509	FRMI	149	2019-05-30	14.9484902638801	135.25	302.5	9.4	23.2666666666667	10.8777777777778	17.0722222222222	5.21944444444444	23.99	13.01	18.5	6.645	24.22	12.8	18.51	6.51
J003.B	Atlantic	35.029935	79.547826	B2818	BRKG	144	2019-05-25	15.0829444412388	37.65	110.6	3.8	15.4388888888889	6.43888888888889	10.9388888888889	1.475	16	7.65	11.825	1.805	14.66	7.64	11.15	0.76
J003.B	Atlantic	35.029935	79.547826	L2014	LINC	136	2019-05-17	14.5202540719427	82.65	202.4	13.55	18.9833333333333	6.44444444444444	12.7138888888889	2.075	19.89	7.22	13.555	3.03	25.56	10.1	17.83	6.06
J003.B	Atlantic	35.029935	79.547826	M5005	KBSM	133	2019-05-14	14.531727254189	30.15	119.55	0	15.0333333333333	4.9	9.96666666666667	0.602777777777778	16.8	5.12	10.96	0.91	14.24	3.86	9.05	0
J003.B	Atlantic	35.029935	79.547826	M6819	KBSM	140	2019-05-21	14.7642093439012	55.85	167.35	0	18.6	6.63888888888889	12.6194444444444	2.03055555555556	19.34	7.62	13.48	2.57	20.08	9.5	14.79	3.97
J004.B	Gulf	38.736583	98.22838	C7002	CLMB	133	2019-05-14	14.2369556646419	112.05	280.05	3.35	18.8722222222222	8.76666666666667	13.8194444444444	2.36111111111111	19.07	8.3	13.685	2.335	16.94	5.92	11.43	0.67
J004.B	Gulf	38.736583	98.22838	S2317	STIL	96	2019-04-07	12.7743382405709	53.63	160.265	6.275	19.1755555555556	6.51333333333333	12.8444444444444	2.18555555555556	18.693	6.457	12.575	2.4755	22.34	10.398	16.369	4.369
J004.B	Gulf	38.736583	98.22838	K2816	KING	56	2019-02-26	11.4941141910495	218.2	411.15	1.45	20.4	9.01666666666667	14.7083333333333	3.58055555555556	21.54	10.51	16.025	4.035	21.52	9.4	15.46	3.46
J004.B	Gulf	38.736583	98.22838	F1702	FRMI	162	2019-06-12	15.1704952133928	239.45	458.7	5.75	25.8	13.3944444444444	19.5972222222222	7.59722222222222	26.22	13.77	19.995	7.995	25.56	13.78	19.67	7.67
J004.B	Gulf	38.736583	98.22838	T1611	TMPL	51	2019-02-21	11.2497175832513	72.395	172.74	0	15.2622222222222	6.52333333333333	10.8927777777778	2.25583333333333	15.359	5.649	10.504	1.361	11.21	4.696	7.953	0
J004.B	Gulf	38.736583	98.22838	M4416	KBSM	138	2019-05-19	14.7010805630093	55.85	165.25	6.7	18.4777777777778	6.99444444444444	12.7361111111111	2.03055555555556	18.78	7.41	13.095	2.57	23.32	10.96	17.14	5.14
J004.B	Gulf	38.736583	98.22838	P2219	PKLE	37	2019-02-07	10.882819050599	80.75	180.7	1.05	19.0333333333333	8.55	13.7916666666667	2.97777777777778	19.54	12.22	15.88	4.9	24.42	15.78	20.1	8.1
J005.A	Gulf	33.9764	89.683105	P7216	PKLE	47	2019-02-17	11.1565126293328	98.8	222.7	1.3	18.6	9.47777777777778	14.0388888888889	3.725	16.22	5.5	10.86	1.805	21.9	7.66	14.78	3.46
J005.A	Gulf	33.9764	89.683105	T2214	TMPL	56	2019-02-26	11.4010443412188	77.155	193.025	0.720000000000001	14.5161111111111	5.705	10.1105555555556	1.02055555555556	13.774	6.236	10.005	0.476	16.338	7.776	12.057	0.952
J005.A	Gulf	33.9764	89.683105	S3417	STIL	126	2019-05-07	13.8137703309535	208.625	425.915	9.525	23.4816666666667	11.9983333333333	17.74	5.74	23.484	12.713	18.0985	6.0985	24.088	12.994	18.541	6.541
J005.A	Gulf	33.9764	89.683105	C3211	CLMB	133	2019-05-14	14.2369556646419	112.05	280.05	3.35	18.8722222222222	8.76666666666667	13.8194444444444	2.36111111111111	19.07	8.3	13.685	2.335	16.94	5.92	11.43	0.67
J005.A	Gulf	33.9764	89.683105	M4613	KBSM	143	2019-05-24	14.8534893047468	69.1	192.6	2.1	18.5722222222222	7.40555555555556	12.9888888888889	2.4	21.13	9.48	15.305	3.895	18.94	8	13.47	2.65
J005.A	Gulf	33.9764	89.683105	F3702	FRMI	162	2019-06-12	15.1704952133928	239.45	458.7	5.75	25.8	13.3944444444444	19.5972222222222	7.59722222222222	26.22	13.77	19.995	7.995	25.56	13.78	19.67	7.67
J005.B	Gulf	33.9764	89.683105	P5805	PKLE	48	2019-02-18	11.1850569298345	98.8	225.55	0	18.6333333333333	9.41666666666667	14.025	3.725	17.33	6.11	11.72	1.805	21.12	9	15.06	3.46
J005.B	Gulf	33.9764	89.683105	K1619	KING	56	2019-02-26	11.4941141910495	218.2	411.15	1.45	20.4	9.01666666666667	14.7083333333333	3.58055555555556	21.54	10.51	16.025	4.035	21.52	9.4	15.46	3.46
J005.B	Gulf	33.9764	89.683105	F1116	FRMI	149	2019-05-30	14.9484902638801	135.25	302.5	9.4	23.2666666666667	10.8777777777778	17.0722222222222	5.21944444444444	23.99	13.01	18.5	6.645	24.22	12.8	18.51	6.51
J005.B	Gulf	33.9764	89.683105	T1911	TMPL	63	2019-03-05	11.6176416369596	77.155	196.895	0	11.3583333333333	3.60944444444444	7.48388888888889	0.264444444444444	10.312	2.043	6.1775	0.0720000000000001	5.828	-0.498	2.665	0
J005.B	Gulf	33.9764	89.683105	L2712	LINC	134	2019-05-15	14.4551515561514	61.4	173.15	7.45	17.0055555555556	5.08888888888889	11.0472222222222	0.894444444444445	18.01	5.83	11.92	1.4	20	6	13	1.81
J005.B	Gulf	33.9764	89.683105	B2208	BRKG	163	2019-06-13	15.4795436314182	140.65	288.6	0.799999999999999	23.9055555555556	11.4666666666667	17.6861111111111	5.72222222222222	25.6	12.41	19.005	7.005	22.2	9.24	15.72	3.72
J005.B	Gulf	33.9764	89.683105	M3617	KBSM	130	2019-05-11	14.4229497140553	30.15	112.55	0	15.4444444444444	4.95	10.1972222222222	0.8	16.83	5.68	11.255	1.085	15.06	4.84	9.95	0.85
J005.B	Gulf	33.9764	89.683105	C1810	CLMB	119	2019-04-30	13.7601402583932	78.4	196.9	3.3	19.5388888888889	7.43333333333333	13.4861111111111	2.49722222222222	20.05	8.97	14.51	2.835	19.2	7.36	13.28	1.93
J005.D	Gulf	33.9764	89.683105	P6808	PKLE	54	2019-02-24	11.3597396717745	105.85	250.8	0.75	16.4111111111111	6.20555555555556	11.3083333333333	1.45277777777778	17.77	8	12.885	1.885	17.76	8.34	13.05	1.41
J005.D	Gulf	33.9764	89.683105	K1707	KING	67	2019-03-09	11.7903468475278	276.4	502	12.15	20.9055555555556	10.0277777777778	15.4666666666667	4.36388888888889	20.79	9.96	15.375	4.98	18.02	7.3	12.66	3.87
J005.D	Gulf	33.9764	89.683105	T2716	TMPL	67	2019-03-09	11.7431315461924	101.685	233.425	11.155	14.135	5.06333333333333	9.59916666666667	1.62722222222222	12.526	3.978	8.252	2.453	19.49	7.46	13.475	4.906
J005.D	Gulf	33.9764	89.683105	S1315	STIL	121	2019-05-02	13.6563848340598	175.92	373.21	3.62	23.05	11.3516666666667	17.2008333333333	5.20083333333333	22.537	11.621	17.079	5.079	22.88	12.432	17.656	5.656
