"PLANT_ID" "SUBPOP" "Lat_origin" "Long_origin" "PLOT_GL" "SITE" "FL50" "GR50" "cgdd_12c_gr2fl" "crain_gr2fl" "crain_5d" "dyln_fl50" "dyln_change_sec" "DOY" "crain_1d" "crain_2d" "crain_3d" "crain_7d"
"36" "J004.B" "Gulf" 38.736583 98.22838 "P2219" "PKLE" 303 37 3434.35 685.4 6.3 11.053720536338 -99.0137482909788 2019-10-31 0 1 3 6.3
"37" "J005.A" "Gulf" 33.9764 89.683105 "P7216" "PKLE" 200 47 1667.2 517.9 0 13.8766681159206 -58.494605482781 2019-07-20 0 0 0 0
"38" "J005.A" "Gulf" 33.9764 89.683105 "T2214" "TMPL" 221 56 1769.15 667.27 2.56 13.4714362989827 -90.9691784261803 2019-08-10 0 0 0 2.56
"39" "J005.A" "Gulf" 33.9764 89.683105 "S3417" "STIL" 224 126 1262.75 590.79 33.02 13.6660406747522 -114.190745817994 2019-08-13 0 0 0 33.02
"40" "J005.A" "Gulf" 33.9764 89.683105 "C3211" "CLMB" 247 133 1201.25 456.96 38.86 12.9575334394334 -146.096203971692 2019-09-05 0 0 0 38.86
"41" "J005.A" "Gulf" 33.9764 89.683105 "M4613" "KBSM" 256 143 1014.05 363 35 12.6543729598405 -169.137075527042 2019-09-14 0 12 17 35
"42" "J005.A" "Gulf" 33.9764 89.683105 "F3702" "FRMI" 260 162 1073.6 284.5 44.2 12.4580165913655 -166.603805393684 2019-09-18 0 0 0 44.2
"43" "J005.B" "Gulf" 33.9764 89.683105 "P5805" "PKLE" 192 48 1513.1 517.9 9.7 13.9917255095338 -42.7251476399448 2019-07-12 0 0 0 9.7
"44" "J005.B" "Gulf" 33.9764 89.683105 "K1619" "KING" 226 56 2371.2 355.03 0 13.1742008284995 -82.8672928056754 2019-08-15 0 0 0 0
"45" "J005.B" "Gulf" 33.9764 89.683105 "F1116" "FRMI" 242 149 1014.1 249 17.5 13.277779701051 -159.623314314917 2019-08-31 1.5 1.5 1.5 19
"46" "J005.B" "Gulf" 33.9764 89.683105 "T1911" "TMPL" 247 63 2235.97 667.34 0 12.7369858801096 -108.697233742419 2019-09-05 0 0 0 0
"47" "J005.B" "Gulf" 33.9764 89.683105 "L2712" "LINC" 248 134 1100.6 388.9 0.5 12.9864234539969 -158.913315365876 2019-09-06 0 0 0 0.5
"48" "J005.B" "Gulf" 33.9764 89.683105 "B2208" "BRKG" 261 163 784.85 504.3 11 12.4415486495558 -181.874532171857 2019-09-19 0 0 9.7 11
"49" "J005.B" "Gulf" 33.9764 89.683105 "M3617" "KBSM" 261 130 1082.9 386 14 12.4184916815375 -170.23170757799 2019-09-19 0 0 0 14
"50" "J005.B" "Gulf" 33.9764 89.683105 "C1810" "CLMB" 267 119 1460.3 561.6 12.45 12.1282153276932 -150.890688531177 2019-09-25 2.79 2.79 2.79 15.24
"51" "J005.D" "Gulf" 33.9764 89.683105 "P6808" "PKLE" 178 54 1271.5 480.5 25 14.1016810884826 -10.8586208492568 2019-06-28 0 15 15.3 25
"52" "J005.D" "Gulf" 33.9764 89.683105 "K1707" "KING" 200 67 1843.35 321.01 0 13.6779485867907 -51.7718809564812 2019-07-20 0 0 0 0
"53" "J005.D" "Gulf" 33.9764 89.683105 "T2716" "TMPL" 214 67 1640.065 663.03 0 13.641628601562 -82.5925031687298 2019-08-03 0.48 0.48 0.48 0.48
"54" "J005.D" "Gulf" 33.9764 89.683105 "S1315" "STIL" 224 121 1287.53 642.6 33.02 13.6660406747522 -114.190745817994 2019-08-13 0 0 0 33.02
"55" "J005.D" "Gulf" 33.9764 89.683105 "C6018" "CLMB" 247 116 1241.2 532.14 38.86 12.9575334394334 -146.096203971692 2019-09-05 0 0 0 38.86
