"PLANT_ID" "SUBPOP" "Lat_origin" "Long_origin" "PLOT_GL" "SITE" "GR50" "DOY" "DYLN" "cgdd_12c_jan2gr" "cgdd_8c_jan2gr" "GDD_12C_SM" "tmax_18d" "tmin_18d" "tave_18d" "cgdd_12c_18d" "tmax_10d" "tmin_10d" "tave_10d" "cgdd_12c_10d" "tmax_5d" "tmin_5d" "tave_5d" "cgdd_12c_5d"
"1" "J001.A" "Atlantic" 28.57 82.38 "K2716" "KING" 70 2019-03-12 11.8723578236431 316.1 553.7 13.05 22.7111111111111 11.8777777777778 17.2944444444444 6.18611111111111 22.43 12.45 17.44 7.045 28.54 19.08 23.81 11.81
"2" "J001.A" "Atlantic" 28.57 82.38 "P6616" "PKLE" 66 2019-03-08 11.7216166158999 133.95 301.5 11.35 15.8277777777778 6.31666666666667 11.0722222222222 1.95277777777778 14.83 4.93 9.88 2.265 16 4.28 10.14 3.26
"3" "J001.A" "Atlantic" 28.57 82.38 "C6409" "CLMB" 122 2019-05-03 13.868909256626 86.95 217.45 0.0999999999999996 19.8277777777778 9.44444444444444 14.6361111111111 2.97222222222222 18.59 9.34 13.965 2.29 17.98 11.84 14.91 2.91
"4" "J001.A" "Atlantic" 28.57 82.38 "T1702" "TMPL" 70 2019-03-12 11.8377887184437 113.33 257.07 6.68 15.2333333333333 6.11944444444444 10.6763888888889 2.27416666666667 16.237 6.891 11.564 3.6175 22.47 14.35 18.41 6.41
"5" "J001.A" "Atlantic" 28.57 82.38 "F1505" "FRMI" 149 2019-05-30 14.9484902638801 135.25 302.5 9.4 23.2666666666667 10.8777777777778 17.0722222222222 5.21944444444444 23.99 13.01 18.5 6.645 24.22 12.8 18.51 6.51
"6" "J001.A" "Atlantic" 28.57 82.38 "B1010" "BRKG" 156 2019-06-06 15.3770493827741 97.7 217.65 7.45 19.7444444444444 9.41666666666667 14.5805555555556 3.54722222222222 23.49 11.4 17.445 5.51 25.34 12.58 18.96 6.96
"7" "J001.A" "Atlantic" 28.57 82.38 "S1215" "STIL" 154 2019-06-04 14.4719312449611 452.965 780.065 12.215 27.5177777777778 16.5644444444444 22.0411111111111 10.0411111111111 28.226 17.714 22.97 10.97 29.864 17.696 23.78 11.78
"8" "J001.A" "Atlantic" 28.57 82.38 "M2012" "KBSM" 127 2019-05-08 14.3093908911833 25.9 104.3 0 16.4777777777778 5 10.7388888888889 0.861111111111111 15.34 5.89 10.615 0.66 18.92 5.82 12.37 1.32
"9" "J001.A" "Atlantic" 28.57 82.38 "L4203" "LINC" 150 2019-05-31 14.8993167493482 143 309.9 6.6 22.4444444444444 10.5888888888889 16.5166666666667 5.03611111111111 21.5 10.85 16.175 4.375 22.9 12.24 17.57 5.57
"10" "J001.A" "Atlantic" 28.57 82.38 "L3016" "LINC" 136 2019-05-17 14.5202540719427 82.65 202.4 13.55 18.9833333333333 6.44444444444444 12.7138888888889 2.075 19.89 7.22 13.555 3.03 25.56 10.1 17.83 6.06
"11" "J001.B" "Gulf" 28.57 82.38 "K1109" "KING" 72 2019-03-14 11.9271936308256 346.15 591.75 16.3 23.5777777777778 13.2111111111111 18.3944444444444 7.28611111111111 24.05 14.56 19.305 8.91 30.08 21.82 25.95 13.95
"12" "J001.B" "Gulf" 28.57 82.38 "P3002" "PKLE" 69 2019-03-11 11.8136882543464 155.75 335.3 4.1 17.8111111111111 7.64444444444444 12.7277777777778 3.16388888888889 17.39 7.03 12.21 3.81 25.46 13.78 19.62 7.62
"13" "J001.B" "Gulf" 28.57 82.38 "C6921" "CLMB" 119 2019-04-30 13.7601402583932 78.4 196.9 3.3 19.5388888888889 7.43333333333333 13.4861111111111 2.49722222222222 20.05 8.97 14.51 2.835 19.2 7.36 13.28 1.93
"14" "J001.B" "Gulf" 28.57 82.38 "T2112" "TMPL" 88 2019-03-30 12.4076874787139 190.52 402.615 1.795 21.3688888888889 10.8027777777778 16.0858333333333 4.28833333333333 23.205 11.969 17.587 5.587 22.354 11.004 16.679 4.679
"15" "J001.B" "Gulf" 28.57 82.38 "F2922" "FRMI" 143 2019-05-24 14.7949256689119 90.55 233.8 7.15 20.25 8.65 14.45 3.02222222222222 22.83 10.23 16.53 4.795 20.98 10.66 15.82 4.35
"16" "J001.B" "Gulf" 28.57 82.38 "S2203" "STIL" 126 2019-05-07 13.8137703309535 208.625 425.915 9.525 23.4816666666667 11.9983333333333 17.74 5.74 23.484 12.713 18.0985 6.0985 24.088 12.994 18.541 6.541
"17" "J001.B" "Gulf" 28.57 82.38 "L2515" "LINC" 134 2019-05-15 14.4551515561514 61.4 173.15 7.45 17.0055555555556 5.08888888888889 11.0472222222222 0.894444444444445 18.01 5.83 11.92 1.4 20 6 13 1.81
"18" "J001.B" "Gulf" 28.57 82.38 "B1813" "BRKG" 149 2019-05-30 15.2222616411632 46.9 138.85 3.25 17.2777777777778 8.04444444444444 12.6611111111111 1.98888888888889 16.65 8.15 12.4 1.305 18.64 8.66 13.65 1.85
"19" "J001.B" "Gulf" 28.57 82.38 "M5010" "KBSM" 134 2019-05-15 14.5668410415973 31.4 124.8 1.25 15.7444444444444 5.15555555555556 10.45 0.672222222222222 16.81 5.22 11.015 0.965 16.2 4.06 10.13 0.25
"20" "J003.B" "Atlantic" 35.029935 79.547826 "K2720" "KING" 84 2019-03-26 12.2568931472964 418.3 711.9 9.6 24.7333333333333 16.3833333333333 20.5583333333333 8.55833333333333 22.12 13.62 17.87 5.87 26.22 16.06 21.14 9.14
"21" "J003.B" "Atlantic" 35.029935 79.547826 "P4412" "PKLE" 74 2019-03-16 11.9678444808205 181.55 381.1 0.75 18.55 8.38333333333333 13.4666666666667 3.90277777777778 23.84 12.94 18.39 6.39 22.22 12.1 17.16 5.16
"22" "J003.B" "Atlantic" 35.029935 79.547826 "S2013" "STIL" 100 2019-04-11 12.9227987017719 82.305 204.94 2.045 20.9294444444444 7.61166666666667 14.2705555555556 3.55138888888889 24.427 9.823 17.125 5.125 26.802 11.178 18.99 6.99
"23" "J003.B" "Atlantic" 35.029935 79.547826 "S2310" "STIL" 154 2019-06-04 14.4719312449611 452.965 780.065 12.215 27.5177777777778 16.5644444444444 22.0411111111111 10.0411111111111 28.226 17.714 22.97 10.97 29.864 17.696 23.78 11.78
"24" "J003.B" "Atlantic" 35.029935 79.547826 "T2610" "TMPL" 81 2019-03-23 12.1864983311553 150.185 334.28 5.71 20.6894444444444 10.3738888888889 15.5316666666667 4.05722222222222 19.941 9.554 14.7475 3.112 22.342 10.998 16.67 4.67
"25" "J003.B" "Atlantic" 35.029935 79.547826 "F2509" "FRMI" 149 2019-05-30 14.9484902638801 135.25 302.5 9.4 23.2666666666667 10.8777777777778 17.0722222222222 5.21944444444444 23.99 13.01 18.5 6.645 24.22 12.8 18.51 6.51
"26" "J003.B" "Atlantic" 35.029935 79.547826 "B2818" "BRKG" 144 2019-05-25 15.0829444412388 37.65 110.6 3.8 15.4388888888889 6.43888888888889 10.9388888888889 1.475 16 7.65 11.825 1.805 14.66 7.64 11.15 0.76
"27" "J003.B" "Atlantic" 35.029935 79.547826 "L2014" "LINC" 136 2019-05-17 14.5202540719427 82.65 202.4 13.55 18.9833333333333 6.44444444444444 12.7138888888889 2.075 19.89 7.22 13.555 3.03 25.56 10.1 17.83 6.06
"28" "J003.B" "Atlantic" 35.029935 79.547826 "M5005" "KBSM" 133 2019-05-14 14.531727254189 30.15 119.55 0 15.0333333333333 4.9 9.96666666666667 0.602777777777778 16.8 5.12 10.96 0.91 14.24 3.86 9.05 0
"29" "J003.B" "Atlantic" 35.029935 79.547826 "M6819" "KBSM" 140 2019-05-21 14.7642093439012 55.85 167.35 0 18.6 6.63888888888889 12.6194444444444 2.03055555555556 19.34 7.62 13.48 2.57 20.08 9.5 14.79 3.97
"30" "J004.B" "Gulf" 38.736583 98.22838 "C7002" "CLMB" 133 2019-05-14 14.2369556646419 112.05 280.05 3.35 18.8722222222222 8.76666666666667 13.8194444444444 2.36111111111111 19.07 8.3 13.685 2.335 16.94 5.92 11.43 0.67
"31" "J004.B" "Gulf" 38.736583 98.22838 "S2317" "STIL" 96 2019-04-07 12.7743382405709 53.63 160.265 6.275 19.1755555555556 6.51333333333333 12.8444444444444 2.18555555555556 18.693 6.457 12.575 2.4755 22.34 10.398 16.369 4.369
"32" "J004.B" "Gulf" 38.736583 98.22838 "K2816" "KING" 56 2019-02-26 11.4941141910495 218.2 411.15 1.45 20.4 9.01666666666667 14.7083333333333 3.58055555555556 21.54 10.51 16.025 4.035 21.52 9.4 15.46 3.46
