NumPCs,BRKG_FL50,CLMB_FL50,KBSM_FL50,LINC_FL50,PKLE_FL50,STIL_FL50,TMPL_FL50
0,5.234512363759292,6.972104585521513,7.768522666909909,5.242070956803714,7.064612742651911,4.4747589700496135,5.6043596806497025
1,6.353806221819351,7.8575830947349425,8.54858932949636,5.917468295677152,7.708106065772117,4.825920806914622,6.056118704688746
2,1.6916408476623086,2.219227112739853,2.6398117622479425,1.750573427673304,2.053968675661143,1.5877168564282225,2.3877364806450574
3,1.355061221333886,1.411178061951881,1.7121491139032072,1.4966554739446083,1.255156881575015,1.292275959424071,1.2009954885858813
4,1.17916217091368,1.2741780341184443,1.2369089266925124,1.1255280853116398,1.1963966975734994,1.1728323640982552,1.128290222599351
5,1.2081305029215155,1.2297098521516254,1.2381700189874751,1.1345360730719953,1.159197364088887,1.1361744544140149,1.0799603309484413
6,1.183434773845405,1.1532125290692987,1.1521044279357502,1.1094966642377897,1.0904455872879708,1.1239209130241292,1.0612241073273074
7,1.1988277881633222,1.1370440336656804,1.1421310552398283,1.1119672871692956,1.0665342856158402,1.1002323794177775,1.046813310240913
