NumPCs,trait,lambda_GC
4,BRKG_FL50,1.179162171
7,CLMB_FL50,1.137044034
7,KBSM_FL50,1.142131055
6,LINC_FL50,1.109496664
7,PKLE_FL50,1.066534286
7,STIL_FL50,1.100232379
7,TMPL_FL50,1.04681331
