"","MI","MO","NE","OK","TX1","TX2","TX3"
"MI",1,0.75,0.75,0.75,0.75,0.75,0.75
"MO",0.75,1,0.75,0.75,0.75,0.75,0.75
"NE",0.75,0.75,1,0.75,0.75,0.75,0.75
"OK",0.75,0.75,0.75,1,0.75,0.75,0.75
"TX1",0.75,0.75,0.75,0.75,1,0.75,0.75
"TX2",0.75,0.75,0.75,0.75,0.75,1,0.75
"TX3",0.75,0.75,0.75,0.75,0.75,0.75,1
