"","MI","MO","NE","OK","TX1","TX2","TX3"
"MI",0.100811063914005,-0.0848392559457721,-0.226087248744233,-0.0339681574891887,0.127745002232111,0.0916230880311445,-0.0804216285181232
"MO",-0.0848392559457721,0.0713979108044341,0.190267548199368,0.0285864774692773,-0.107505967295498,-0.077106959436983,0.0676801817233575
"NE",-0.226087248744233,0.190267548199368,0.507042005710206,0.0761798058017975,-0.286491531525953,-0.205481532385002,0.180360210727498
"OK",-0.0339681574891887,0.0285864774692773,0.0761798058017975,0.0114455266953098,-0.0430435131403696,-0.030872280908994,0.0270979636260056
"TX1",0.127745002232111,-0.107505967295498,-0.286491531525953,-0.0430435131403696,0.161874946674529,0.116102252378129,-0.101908071551762
"TX2",0.0916230880311445,-0.077106959436983,-0.205481532385002,-0.030872280908994,0.116102252378129,0.0832725093301652,-0.073091957005925
"TX3",-0.0804216285181232,0.0676801817233575,0.180360210727498,0.0270979636260056,-0.101908071551762,-0.073091957005925,0.0641560368713509
