Estimate,SE,site,subpop,phe,bic,loglik,Env_Estimate,Env_SE,GxE_Estimate,GxE_SE,error_Estimate,error_SE
0.0021846874445751348,0.002056205865072874,eight_sites,Gulf,GR50,7916.660503567452,-3943.838941648537,0.934676572346748,0.03316664553911631,0.04165720830766536,0.021354736220864073,0.02148153190101157,0.010959607241116458
0.0015538534784727337,0.0012273307842646185,eight_sites,Gulf,DYLN,-2172.5298979558947,1100.7562591131364,0.9659726872177499,0.01771617744535619,0.019667715156549317,0.01035901124234638,0.012805744147228069,0.006694256573948143
3.180638162493084e-9,1.2775836426947096e-10,eight_sites,Gulf,cgdd_12c_jan2gr,18913.507494231264,-9442.262436980443,0.02350237429569208,0.01599889911633296,1.741551254474768e-8,6.995380429842445e-10,0.9764976051081573,0.01599889883474336
0.005628415155628785,0.013287041066969976,eight_sites,Gulf,tmin_18d,2977.8957002740126,-1474.4565400018173,0.43954000602889115,0.16158016790635532,0.30684691553315385,0.09310066785034411,0.24798466328232627,0.07292518322562012
0.018384867247580754,0.01617899451340284,eight_sites,Gulf,cgdd_12c_18d,2209.3576310197222,-1090.1875053746721,0.4093887369737165,0.16451796956138187,0.34592637937729737,0.10067114909554804,0.22630001640140537,0.06456667956223464
0.04120751926709249,0.02027669786344146,eight_sites,Gulf,tmin_10d,3565.6382951749865,-1768.3278374523043,0.3863333729204316,0.15617572190192278,0.270801432310273,0.07633938827166573,0.3016576755022029,0.07880951254312185
0.05415587335650704,0.023271601233907722,eight_sites,Gulf,cgdd_12c_10d,2731.0113787157925,-1351.0143792227072,0.3297044511893171,0.16049495032736283,0.364758518999169,0.09316452544112065,0.2513811564550068,0.06233852092877409
0.016011398418150996,0.018203694430135305,eight_sites,Gulf,tmin_5d,4762.682386276834,-2366.849883003228,0.2106597112253591,0.1155189163581987,0.1783414775615251,0.04669388686522045,0.5949874127949649,0.09063490654364335
0.03797910750566577,0.0216180109878946,eight_sites,Gulf,cgdd_12c_5d,3874.581354590625,-1922.7993671601234,0.2156814102075638,0.1273971981902056,0.2600293550793484,0.05939894693373288,0.4863101272074221,0.08314199785679528
0.01239960216252381,0.006919630608661766,eight_sites,Midwest,GR50,3332.513251674662,-1653.4068877895202,0.9175988604795627,0.0409446550446398,0.03861473037750654,0.02063117063720776,0.03138680698040692,0.018267575715529272
