Estimate,SE,site,subpop,phe,bic,loglik,Env_Estimate,Env_SE,GxE_Estimate,GxE_SE,error_Estimate,error_SE
0.24068780290224198,0.06550972487980704,eight_sites,Gulf,FL50,9318.888830357597,-4644.953105043609,0.3731348287918162,0.15807302013703364,0.30223653082868396,0.07907062915311318,0.08394083747725786,0.022108181577344496
0.3682115747640789,0.06434734041076659,eight_sites,Gulf,dyln_fl50,-987.1427832416483,508.0627017560132,0.17788612378358812,0.12689608976568498,0.3445333188488217,0.06009973330994792,0.10936898260351126,0.019271693237098767
0.06386419683315103,0.028990564542195212,eight_sites,Gulf,dyln_change_sec,9936.247255498312,-4953.632317613967,0.773291052063298,0.09768531602951967,0.11254859562717895,0.04921360859348511,0.0502961554763722,0.0218755739677353
0.12436132998249014,0.04611427785565462,eight_sites,Gulf,cgdd_12c_gr2fl,17294.612658005357,-8632.81501886749,0.560803355371261,0.15059372962397669,0.25676562039510237,0.08903073443569628,0.058069694251146504,0.020280341788541333
0.026471168295628192,0.013549105435250947,eight_sites,Gulf,crain_gr2fl,13277.144956852806,-6624.0811682912135,0.776973049773174,0.0962044381610047,0.08167360862374531,0.03712717975074315,0.1148821733074526,0.049898006767626416
0.04717898494160778,0.02431466884722986,eight_sites,Gulf,crain_1d,6769.273590765011,-3370.1454852473166,0.05663746083063832,0.06878959914598896,0.20372671251683738,0.0564576419682625,0.6924568417109165,0.062411648359851524
0.04307606042392395,0.022949150989978274,eight_sites,Gulf,crain_3d,8274.971453545731,-4122.994416637676,0.08337688476889907,0.06743995081029365,0.12954569299949112,0.048913590454195466,0.744001361807686,0.06395945206558354
0.002244937510554973,0.006096119865559062,eight_sites,Gulf,crain_5d,9935.647020030341,-4953.332199879981,0.28366241287583477,0.1183409794011898,0.04128789519187298,0.018999093742371374,0.6728047544217373,0.11041960556019718
0.05758629963614412,0.028408904362814135,eight_sites,Midwest,FL50,3905.8621956001125,-1940.0813597522454,0.8664906939793136,0.06304660369326268,0.0483361060428697,0.023991737234036855,0.02758690034167277,0.01595285969316075
0.09492213259388373,0.03989740564452221,eight_sites,Midwest,dyln_fl50,-665.7176429364665,345.70855951604403,0.6833066238437302,0.12071961187421698,0.16521896312316262,0.06506625205954639,0.05655228043922361,0.027824596356049267
0.03954164935187311,0.02024273041698282,eight_sites,Midwest,dyln_change_sec,4771.426548654574,-2372.863536279476,0.9059236150561121,0.04624027550122567,0.0308279998659163,0.016130197126548687,0.023706735726098525,0.01359100170121158
0.2901524684268408,0.05406268421441407,eight_sites,Midwest,cgdd_12c_gr2fl,7163.8781170404445,-3569.0893204724116,0.14857824184615906,0.10465437906140632,0.41939588457722105,0.07781261017468268,0.14187340514977895,0.055234120983735265
0.029792232261890327,0.015542005838530668,eight_sites,Midwest,crain_gr2fl,5958.65636904992,-2966.478446477149,0.7671806861411312,0.09990836636573391,0.17821225184910683,0.07755949749874755,0.024814829747871418,0.01680037085180848
7.761817836249031e-4,0.021083377787086348,eight_sites,Midwest,crain_1d,3251.6077287482744,-1612.9541263263263,0.015758267268593074,0.023428929773724596,0.03461510042120498,0.08247602926797064,0.948850450526577,0.07102849433542302
0.02463717145189582,0.024105638257598688,eight_sites,Midwest,crain_3d,4071.2769667111797,-2022.788745307779,0.016839326857195736,0.023828112124910716,0.06245608767391928,0.0805869238661841,0.8960674140169892,0.07314444577153262
