Estimate,SE,site,subpop,phe,bic,loglik,Env_Estimate,Env_SE,GxE_Estimate,GxE_SE,error_Estimate,error_SE
0.0021846874443979553,0.0020562058647942,eight_sites,Gulf,GR50,7916.660503550075,-3943.8389416398486,0.934676572352346,0.03316664553052429,0.04165720830409427,0.02135473621540197,0.021481531899161726,0.010959607238290673
0.0015538534786169143,0.0012273307844855668,eight_sites,Gulf,DYLN,-2172.5298981549786,1100.7562592126783,0.965972687214567,0.01771617745059458,0.019667715158395455,0.010359011245364171,0.012805744148420577,0.00669425657591459
3.180638162490221e-9,1.277583642729718e-10,eight_sites,Gulf,cgdd_12c_jan2gr,18913.50749423127,-9442.262436980447,0.02350237429661113,0.015998899117143923,1.7415512536473358e-8,6.995380426716838e-10,0.9764976051072382,0.01599889883555432
0.01124022554235001,0.011894075284765729,eight_sites,Gulf,tave_18d,2890.0131504473584,-1430.5152650884902,0.5541243083009221,0.14964132427873542,0.2285888163033985,0.08032572791419917,0.20604664985332952,0.07011592790560872
0.018384867247604176,0.016178994513413723,eight_sites,Gulf,cgdd_12c_18d,2209.3576310198823,-1090.1875053747522,0.4093887369741333,0.1645179695629342,0.3459263793770004,0.10067114909641013,0.2263000164012621,0.06456667956280804
0.034876604158081054,0.01777153307745218,eight_sites,Gulf,tave_10d,3444.9214264117977,-1707.9694030707099,0.4912748076320687,0.1527894041881573,0.21237871362258787,0.0694536844318347,0.26146987458726234,0.07989626539147919
0.05415587335646519,0.02327160123387896,eight_sites,Gulf,cgdd_12c_10d,2731.011378715685,-1351.0143792226536,0.32970445118977476,0.16049495032691863,0.36475851899892947,0.09316452544088537,0.25138115645483056,0.06233852092861086
0.01118403333977842,0.015915990165437804,eight_sites,Gulf,tave_5d,4747.781651213004,-2359.399515471313,0.29179497587364617,0.13125645085468865,0.15383164503620542,0.044241472716948775,0.54318934575037,0.10300400542431014
0.03797910750565336,0.02161801098788618,eight_sites,Gulf,cgdd_12c_5d,3874.5813545907786,-1922.7993671602003,0.2156814102078194,0.12739719819006154,0.2600293550792487,0.059398946933683125,0.4863101272072785,0.0831419978567143
0.012399602162602665,0.00691963060874245,eight_sites,Midwest,GR50,3332.513251677868,-1653.4068877911232,0.9175988604790496,0.04094465504516931,0.038614730377773424,0.020631170637470587,0.03138680698057413,0.018267575715724908
