"","MI","MO","SD","TX1","TX2","TX3"
"MI",0.39959577212319,-0.450219050716161,-0.0597048800591353,-0.0430244093815172,0.177078583179033,0.021194345248267
"MO",-0.450219050716161,0.507255601206092,0.0672686657331783,0.0484750092485927,-0.199511999832794,-0.0238793767699916
"SD",-0.0597048800591353,0.0672686657331783,0.0089206967429495,0.00642841436507167,-0.0264578764524226,-0.0031667147884377
"TX1",-0.0430244093815172,0.0484750092485927,0.00642841436507167,0.00463243090083976,-0.0190660211816381,-0.00228199157786268
"TX2",0.177078583179033,-0.199511999832794,-0.0264578764524226,-0.0190660211816381,0.0784713623321989,0.00939215299508566
"TX3",0.021194345248267,-0.0238793767699916,-0.0031667147884377,-0.00228199157786268,0.00939215299508566,0.00112413669473023
