"","MI","MO","SD","TX1","TX2","TX3"
"MI",1,1,1,1,1,1
"MO",1,1,1,1,1,1
"SD",1,1,1,1,1,1
"TX1",1,1,1,1,1,1
"TX2",1,1,1,1,1,1
"TX3",1,1,1,1,1,1
