"","MI","MO","SD","TX1","TX2","TX3"
"MI",0.999931804547672,0.547142466744461,0.464841845301198,-0.144004178936323,-0.0488923651249229,-0.141780332536362
"MO",0.547142466744461,0.999931804547672,0.276591177111772,-0.0646346309101525,0.061232226767415,0.0143714181005639
"SD",0.464841845301198,0.276591177111772,0.999931804547672,-0.337856204914943,-0.237746916413002,-0.373153563058779
"TX1",-0.144004178936323,-0.0646346309101525,-0.337856204914943,0.999931804547672,0.0709475096011517,0.222341645449764
"TX2",-0.0488923651249229,0.061232226767415,-0.237746916413002,0.0709475096011517,0.999931804547672,0.231206831351122
"TX3",-0.141780332536362,0.0143714181005639,-0.373153563058779,0.222341645449764,0.231206831351122,0.999931804547672
