NumPCs,died_logistic,BRKG_DEAD_2018,CLMB_DEAD_2018,FRMI_DEAD_2018,LINC_DEAD_2018,KBSM_DEAD_2018
0,6.544306353359983,5.194224055156182,3.746937703589321,2.4376325557830443,4.563523909710864,1.8733493689146192
1,6.7953888048154605,5.246254253032808,3.9568066180862105,2.5772861070358424,4.687497061541207,2.0016489558796353
2,2.818198962490372,2.971732915586007,2.775136155608887,2.694776036813008,2.7162064829922756,1.882802670757963
3,1.4350141249672077,1.5324755240691412,1.3094196285151798,1.1802597282511647,1.3355599789425372,1.301928888380629
4,1.4167074339790005,1.4755975516577282,1.315353144369498,1.1848030012383954,1.2925859271388553,1.308093346937828
5,1.305297538039408,1.265962494658805,1.3250449131939628,1.196895468057277,1.1952442621676629,1.317243330042468
6,1.3043106450720146,1.2699416255913611,1.3311135273581687,1.1954919559026922,1.200232512626123,1.3235865024985216
7,1.2636129914666672,1.2009969590052305,1.3055314987991555,1.1667534403385849,1.1567604214522216,1.3200970441646724
8,1.1921194778343895,1.1522855336101698,1.1344643169652964,1.1128803778670258,1.035343421467051,1.3105775234224215
9,1.0267272603195945,1.0618170497991626,1.1356267562594566,1.1095679551038349,0.9924122008088013,1.2840016844421236
10,1.0232387636673084,1.0602409903885261,1.1004784760696156,1.041927624079541,0.9908693385145134,1.1506143417972285
11,1.0282293083302123,1.05401571781512,1.1044306205870558,1.0300134452250698,0.9871246195350926,1.1506689688743204
12,1.0136754162002215,1.0314897695884184,1.0743449957951556,1.0230281534111045,0.9707234732592137,1.1330958513622666
13,1.0141043426924803,1.0335936048162373,1.0553946110196455,1.0157152646960248,0.9731874979227504,1.0540053829070437
14,1.013162595556607,1.0348515282872142,1.0338766297814583,1.005948365283541,0.9701741564288242,0.9986857821381772
15,1.0129554629826687,1.0364995049784596,1.0347133740413503,1.0076907610025538,0.9719118222940136,1.001191268301938
16,1.0124908130054064,1.035843709836615,1.0266228961127575,1.0086890367349108,0.9716693074382673,0.9964612424929256
17,1.0125942075137733,1.033251902030862,1.0270860319459778,1.0043668623882844,0.9722878344473791,0.987868116795838
18,1.0132117910972835,1.0314260893561906,1.024797099356823,1.002203381167104,0.9731329644153422,0.9893906201334882
19,1.014392892348412,1.0334808841644068,1.012030229617926,0.9985495034640877,0.9746448822093701,0.98370248861306
20,1.015541605376694,1.0283628503300721,1.0086800306517898,0.9928533653557463,0.9759678385598992,0.9842451411493489
