Effect,component,std.error,z.ratio,bound,%ch,%Var,VarSE,lowVar,hiVar,loglik
SITE!SITE,340.94326361599195,170.77364031061532,1.9964630548125575,P,0.1,50.862339501242765,25.47622375412206,25.386115747120705,76.33856325536482,-7797.160840882712
"vm(PLANT_ID, k_full)",159.27101283414476,12.362873578141008,12.883009102006378,P,0,23.760247501476343,1.844308834476874,21.91593866699947,25.604556335953216,-7797.160840882712
units!units,169.11128654851655,5.515471786253792,30.661254939240656,P,0,25.228231755329357,0.8228049310219835,24.405426824307373,26.051036686351342,-7797.160840882712
units!R,1,NA,NA,F,0,0.14918124195153348,NA,NA,NA,-7797.160840882712
