Effect,component,std.error,z.ratio,bound,%ch,%Var,VarSE,lowVar,hiVar,loglik
SITE!SITE,976.8051443683672,483.68213888861504,2.019518741404903,P,0.7,79.13021560725522,39.18270921923077,39.94750638802445,118.312924826486,-6994.702924503561
"vm(PLANT_ID, k_full)",133.1744954091416,10.290499374907757,12.94149978123247,P,0,10.788361011271165,0.8336252516046287,9.954735759666537,11.621986262875794,-6994.702924503561
units!units,123.44786288028338,4.191037870742572,29.455200999749206,P,0,10.000414168875299,0.3395126778785332,9.660901490996766,10.339926846753832,-6994.702924503561
units!R,1,NA,NA,F,0,0.08100921259830515,NA,NA,NA,-6994.702924503561
