Effect,component,std.error,z.ratio,bound,%ch,%Var,VarSE,lowVar,hiVar,loglik
SITE!SITE,8541.67469241326,4370.117529414788,1.954564067195029,P,0,17.18003280496341,8.789700523666264,8.390332281297146,25.969733328629673,-12890.517045767918
"vm(PLANT_ID, k_full)",15006.269254961813,1342.4552207744723,11.178227044552433,P,0,30.1823948305294,2.700105724300743,27.482289106228656,32.882500554830145,-12890.517045767918
units!units,26169.6729457517,878.2725557107786,29.796755888122682,P,0,52.63556104548327,1.766486299485522,50.86907474599775,54.40204734496879,-12890.517045767918
units!R,1,NA,NA,F,0,0.002011319023917261,NA,NA,NA,-12890.517045767918
