"","PLANT_ID","train.id","Upland","TX.lowland","Coast.lowland","eco.class","pc1_53.7perc","PLOT_GL_PKLE","PLOT_GL_KBSM","PLOT_GL_CLMB","main.subpop","detail.subpop","TX","GC","MW","SEC","NEC","test.mwVcoast","test.necVcoast"
"1","J001.A","no.prior",0.00225595093401498,0.979369296825078,0.0183747522409069,"TX",-181.737805377727,"P6616","M2012","C6409","other","SEC,TX",0.325659,2e-06,2e-06,0.652769,0.021568,NA,NA
"2","J001.B","no.prior",0.0109863861497695,0.264831643034183,0.724181970816047,"Coast",-198.031753068876,"P3002","M5010","C6921","other","SEC,TX",0.4535,2e-06,2e-06,0.53729,0.009206,NA,NA
"3","J003.A","no.prior",0.00500405719282478,0.946215226825698,0.0487807159814775,"TX",-147.411813246958,"P3619","M6806","C2006","other","SEC,TX",0.718353,2e-06,2e-06,0.281641,2e-06,NA,NA
"4","J003.B","no.prior",0.00684430049623335,0.0470678587795761,0.946087840724191,"Coast",-152.113169638548,"P4412","M5005",NA,"SEC","SEC",0.226836,2e-06,2e-06,0.765196,0.007964,NA,NA
"5","J003.C","no.prior",0.374969025313428,0.0340060763542267,0.591024898332345,"Coast",35.7321441753426,"P1020","M4404","C2405","other","MW,TX",0.255493,2e-06,0.527485,0.188011,0.029009,NA,NA
"6","J003.D","no.prior",0.00171056585354879,0.977997695904172,0.020291738242279,"TX",-206.016101266136,"P3215","M3818","C6008","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"7","J003.E","no.prior",0.00137646867928254,0.98437839447464,0.0142451368460779,"TX",-261.704856881232,"P2605","M6205","C6914","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"8","J003.F","no.prior",0.0102821984899459,0.288068883150035,0.701648918360019,"Coast",-297.513330544253,"P5014","M2817","C1206","other","SEC,TX",0.556131,2e-06,2e-06,0.443863,2e-06,NA,NA
"9","J004.B","no.prior",0.00157282383192049,0.98035822961213,0.0180689465559496,"TX",-322.339839012691,"P2219","M4416","C7002","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"10","J005.A","no.prior",0.0039888207173386,0.938400641325065,0.057610537957596,"TX",-124.238108907755,"P7216","M4613","C3211","TX","TX",0.776378,0.160061,2e-06,0.063556,2e-06,NA,NA
"11","J005.B","no.prior",0.0107686382296884,0.401009902977304,0.588221458793008,"Coast",-142.826640607623,"P5805","M3617","C1810","other","SEC,TX",0.612055,0.093322,2e-06,0.293479,0.001142,NA,NA
"12","J005.D","no.prior",0.010976966603255,0.438612982719689,0.550410050677056,"Coast",-195.374538833898,"P6808","M1402","C6018","other","SEC,TX",0.702901,2e-06,0.012853,0.28328,0.000963,NA,NA
"13","J006.A","no.prior",0.975926228715521,0.00349471397313874,0.0205790573113402,"Up",102.239891966703,"P3401","M6219","C2416","NEC,SEC","NEC,SEC",2e-06,2e-06,0.123515,0.624226,0.252255,NA,NA
