"","PLANT_ID","train.id","Upland","TX.lowland","Coast.lowland","eco.class","pc1_53.7perc","PLOT_GL_PKLE","PLOT_GL_KBSM","PLOT_GL_CLMB","main.subpop","detail.subpop","TX","GC","MW","SEC","NEC","test.mwVcoast","test.necVcoast"
"14","J006.B","no.prior",0.984195570470608,0.00927811290390597,0.00652631662548668,"Up",128.691723229935,"P1220","M6406","C1610","SEC","SEC",2e-06,2e-06,0.189951,0.675064,0.134981,NA,NA
"15","J006.C","no.prior",0.0992956565088474,0.0110521063126025,0.88965223717855,"Coast",43.4477372483337,"P1814","M4002","C2402","SEC","SEC",2e-06,2e-06,2e-06,0.779845,0.220149,NA,NA
"16","J008.A","no.prior",0.00166864446816951,0.979847958257197,0.0184833972746338,"TX",-215.474675908759,"P6607","M6815","C6421","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"17","J008.B","no.prior",0.00159666862744206,0.980277519828001,0.0181258115445568,"TX",-268.056807088484,"P6809","M3221","C6219","TX","TX",0.953438,2e-06,2e-06,0.046556,2e-06,NA,NA
"18","J008.C","no.prior",0.00489288777032289,0.00471171670972638,0.990395395519951,"Coast",-9.5021519416506,"P4414","M2003",NA,"SEC","SEC",2e-06,2e-06,2e-06,0.999992,2e-06,"COAST","COAST"
"19","J008.D","no.prior",0.0081437634194237,0.685308437361453,0.306547799219123,"TX",-290.674641374371,"P6805","M2618","C6809","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"20","J009.C","no.prior",0.00358602873793983,0.967717826210198,0.0286961450518626,"TX",-92.0995177887546,"P2220","M2416","C6903","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"21","J011.B","no.prior",0.00603151325491721,0.838688807589699,0.155279679155383,"TX",-237.182762016945,"P6807","M4606","C1101","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"22","J013.C","no.prior",0.0041099351574346,0.958410146453305,0.0374799183892605,"TX",-145.624015163391,"P4215","M2019","C5005","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"23","J016.A","no.prior",0.00181240182989874,0.976332684567514,0.0218549136025875,"TX",-262.554544518869,"P1821","M4003","C6016","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"24","J016.B","no.prior",0.00587468716957987,0.841527893057294,0.152597419773126,"TX",-178.173158525012,"P5602","M3812","C1005","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"25","J016.C","no.prior",0.00254608235815368,0.960873144859023,0.0365807727828234,"TX",-219.905453181951,"P6404","M3720","C1110","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"26","J016.D","no.prior",0.00365113525213296,0.926184997754657,0.0701638669932099,"TX",-348.442005456245,"P5006","M3019","C6604","TX","TX",0.790518,2e-06,2e-06,0.209476,2e-06,NA,NA
"27","J016.E","no.prior",0.00171748109231106,0.977491924081201,0.020790594826488,"TX",-291.721666180464,"P5620","M1415","C4414","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"28","J018.A","no.prior",0.0102856148149375,0.325715095601391,0.663999289583672,"Coast",-177.17572458457,"P7014","M2810","C6602","TX","TX",0.934187,2e-06,2e-06,0.065807,2e-06,NA,NA
"29","J018.B","no.prior",0.00323697177456773,0.944936974487998,0.0518260537374341,"TX",-142.078115468481,"P6804","M3005","C6419","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"30","J018.C","no.prior",0.0113693332627127,0.565971454596293,0.422659212140995,"TX",-154.816152586417,"P7020","M4211","C7011","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"31","J020.B","Coastal.lowland",0.00662149551925203,0.0487780514946785,0.944600452986069,"Coast",-199.834925359766,"P5405","M1620","C5417","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"32","J020.C","Coastal.lowland",0.0320852910958495,0.279650370316748,0.688264338587403,"Coast",-91.1625697632643,"P1809","M2603","C3208","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"33","J021.C","no.prior",0.025124020962298,0.06410543071697,0.910770548320732,"Coast",-40.6967991165641,"P6007","M3809","C4816","SEC","SEC",0.150356,2e-06,2e-06,0.812726,0.036914,NA,NA
"34","J022.A","Texas.lowland",0.00407265285268532,0.910897753681344,0.0850295934659712,"TX",-285.843176284634,"P7010","M1619","C3808","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"35","J022.B","Texas.lowland",0.001996082614894,0.981365116268724,0.0166388011163823,"TX",-156.256165707726,"P6022","M1401","C6006","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"36","J022.C","Texas.lowland",0.00230652825360624,0.969788030090354,0.0279054416560395,"TX",-186.801238036831,"P6219","M2218","C1003","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"37","J022.D","Texas.lowland",0.00138371637403644,0.983953770539159,0.0146625130868039,"TX",-254.643302913997,"P3016","M2809","C4011","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"38","J023.B","no.prior",0.00255209680141917,0.974612461553158,0.022835441645423,"TX",-156.333713148118,"P6020","M1016","C1119","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"39","J024.A","no.prior",0.990253941984795,0.00166491475518713,0.00808114326001819,"Up",325.891055443105,"P2204","M4412","C4002","MW","MW",2e-06,2e-06,0.999992,2e-06,2e-06,"MW",NA
"40","J026.B","no.prior",0.0125195578441604,0.332057054414444,0.655423387741396,"Coast",-173.383335119128,"P7219","M1615","C6002","other","SEC,TX",0.290334,2e-06,2e-06,0.656153,0.053508,NA,NA
"41","J026.C","no.prior",0.0101916648400364,0.647374127725549,0.342434207434415,"TX",-163.217279832186,"P1810","M5015","C1004","other","SEC,TX",0.393665,2e-06,2e-06,0.606329,2e-06,NA,NA
"42","J027.B","no.prior",0.0269254501639067,0.729797304481761,0.243277245354332,"TX",-58.0427162292982,"P3018","M4806","C5203","other","SEC,TX",0.414925,2e-06,2e-06,0.584155,0.000916,NA,NA
"43","J028.C","no.prior",0.00454124958313403,0.912878543698724,0.0825802067181423,"TX",-156.356003509025,"P2614","M1801","C7020","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"44","J029.A","no.prior",0.987788641681924,0.00239477242806406,0.00981658589001163,"Up",187.257442771921,"P2007","M3608","C4219","MW","MW",2e-06,2e-06,0.565143,0.218724,0.216128,NA,NA
"45","J029.B","no.prior",0.985685771502926,0.000914575114318273,0.0133996533827557,"Up",185.531679219591,"P3812","M2017","C4421","other","MW,NEC,SEC",2e-06,2e-06,0.42096,0.328477,0.250559,NA,NA
"46","J037.A","no.prior",0.986918815255414,0.00082297994583742,0.0122582047987483,"Up",327.489602705718,"P3606","M4013","C1216","MW","MW",2e-06,2e-06,0.999992,2e-06,2e-06,"MW",NA
"47","J041.A","no.prior",0.00314317816007964,0.953669827206035,0.0431869946338856,"TX",-166.272021840242,"P4216","M1021","C5216","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"48","J045.C","Midwest.upland",0.958975829499078,0.00165019098336942,0.039373979517553,"Up",184.373354395985,"P7413","M5405","C4806","MW","MW",2e-06,2e-06,0.999992,2e-06,2e-06,"MW",NA
"49","J065.A","no.prior",0.00150771910896776,0.985424388135811,0.0130678927552215,"TX",-205.869414149314,"P6806","M2609","C6910","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"50","J065.B","no.prior",0.00138077223541659,0.983905598961727,0.0147136288028562,"TX",-319.681233036091,"P4807","M5211","C6211","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"51","J073.A","no.prior",0.00167452202314192,0.978501338730208,0.0198241392466498,"TX",-290.626765295218,"P1205","M5818","C3412","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"52","J073.B","no.prior",0.00156502223531406,0.981848083607373,0.0165868941573126,"TX",-220.079517931674,"P2206","M2815","C7008","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"53","J086.A","no.prior",0.00458721344320276,0.00867820822045766,0.98673457833634,"Coast",-38.5915705738565,"P2416","M4221","C4405","other","SEC,TX",0.742962,2e-06,2e-06,0.257031,2e-06,NA,NA
"54","J086.B","no.prior",0.0251471973896747,0.0198851004280657,0.95496770218226,"Coast",45.1004872515065,"P4810","M5209","C2420","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"55","J169.A","no.prior",0.48582359001944,0.00856931637050208,0.505607093610058,"Coast",109.271878511796,"P5022","M4212","C5210","NEC,SEC","NEC,SEC",2e-06,2e-06,2e-06,0.380286,0.619707,NA,NA
"56","J170.A","no.prior",0.984206389646006,0.00152738602135719,0.0142662243326362,"Up",204.749414435942,"P2403","M5802","C4818","NEC","NEC",2e-06,2e-06,2e-06,0.151364,0.84863,NA,NA
"57","J171.A","no.prior",0.973805768631232,0.0016320123785125,0.0245622189902559,"Up",160.353417770957,"P7514","M1617","C6607","NEC","NEC",2e-06,2e-06,2e-06,0.138166,0.861827,NA,NA
"58","J172.A","no.prior",0.987706960828495,0.00113916488492767,0.0111538742865774,"Up",249.367900425298,"P2805","M3817","C5604","NEC,SEC","NEC,SEC",2e-06,2e-06,2e-06,0.434528,0.565466,NA,NA
"59","J173.A","no.prior",0.955617252962806,0.00257277348781883,0.0418099735493757,"Up",85.1483906235986,"P5610","M2206","C1815","NEC,SEC","NEC,SEC",2e-06,2e-06,2e-06,0.394915,0.605079,NA,NA
"60","J175.A","no.prior",0.918071142585499,0.00290432620981856,0.079024531204682,"Up",101.215707024168,"P4408","M1409","C5607","NEC,SEC","NEC,SEC",2e-06,2e-06,2e-06,0.464712,0.535282,NA,NA
"61","J185.A","no.prior",0.033714454599493,0.00734630200314753,0.958939243397359,"Coast",-1.58443650521483,"P3007","M2219",NA,"other","GC,SEC",2e-06,0.335089,2e-06,0.664905,2e-06,"COAST","COAST"
"62","J186.A","no.prior",0.00484987916035549,0.00529321706385002,0.989856903775794,"Coast",-2.05486384952468,"P4802","M1407",NA,"other","GC,SEC",2e-06,0.49497,2e-06,0.505023,2e-06,"COAST","COAST"
"63","J189.A","no.prior",0.00592635787823426,0.00508497206211453,0.988988670059651,"Coast",-5.82289389731743,"P1022","M1213",NA,"GC","GC",2e-06,0.812067,2e-06,0.187927,2e-06,"COAST","COAST"
"64","J190.A","no.prior",0.0493422495546088,0.661420241918601,0.289237508526791,"TX",-68.2256083137508,"P3414","M2811",NA,"GC","GC",2e-06,0.999992,2e-06,2e-06,2e-06,"COAST","COAST"
"65","J191.A","no.prior",0.00743431015877736,0.0791395804085462,0.913426109432677,"Coast",-310.319905273395,"P2610","M1818",NA,"GC","GC",0.098851,0.691572,2e-06,0.209573,2e-06,"COAST","COAST"
"66","J192.A","no.prior",0.00505853846395218,0.00405008888999465,0.990891372646053,"Coast",2.24435132049152,"P1620","M1807","C4202","SEC","SEC",2e-06,2e-06,2e-06,0.999992,2e-06,"COAST","COAST"
"67","J193.A","no.prior",0.00387364691302656,0.00772068430989524,0.988405668777078,"Coast",-64.4027687243653,"P6815","M1614","C6201","SEC","SEC",2e-06,2e-06,2e-06,0.987428,0.012566,"COAST","COAST"
"68","J194.A","no.prior",0.00416461225961914,0.0131375151644795,0.982697872575901,"Coast",-95.7732705646044,"P1004","M6216","C6020","SEC","SEC",2e-06,2e-06,2e-06,0.929442,0.070552,"COAST","COAST"
"69","J204.A","no.prior",0.0134056193780595,0.00496712498290716,0.981627255639033,"Coast",65.8734574107701,"P6014","M5415","C2413","SEC","SEC",2e-06,2e-06,2e-06,0.934952,0.065042,"COAST","COAST"
"70","J205.A","no.prior",0.0153757040034118,0.338593128548783,0.646031167447805,"Coast",-105.69484279855,"P1606","M3212","C6611","SEC","SEC",2e-06,2e-06,2e-06,0.975011,0.024983,"COAST","COAST"
"71","J208.A","no.prior",0.97307435205379,0.00127623826570342,0.0256494096805069,"Up",181.472171928578,"P6005","M3609","C6418","SEC","SEC",2e-06,2e-06,0.08056,0.709194,0.210241,NA,NA
"72","J208.B","no.prior",0.0130812553633632,0.00798525512181449,0.978933489514822,"Coast",39.1697768950846,"P6203","M1001","C2419","other","SEC,TX",0.261238,2e-06,0.096349,0.595818,0.046593,NA,NA
"73","J208.C","no.prior",0.0285398520773706,0.0188247492742778,0.952635398648352,"Coast",21.6794044692955,"P7220","M3821","C5602","SEC","SEC",0.204769,2e-06,0.129376,0.665852,2e-06,NA,NA
"74","J210.A","Texas.lowland",0.00378527270689175,0.970512899600348,0.0257018276927603,"TX",-146.04194721066,"P4407","M5819","C2803","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"75","J211.A","no.prior",0.0013403177616999,0.985235993202392,0.0134236890359081,"TX",-254.055697213925,"P1601","M3021","C2018","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"76","J212.A","Texas.lowland",0.00184466809738402,0.979223339759726,0.0189319921428905,"TX",-177.897444665267,"P4619","M5203","C1609","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"77","J215.A","no.prior",0.00834410485135702,0.707972880636767,0.283683014511876,"TX",-152.274188754428,"P7509","M1817","C5215","GC,TX","GC,TX",0.664274,0.33572,2e-06,2e-06,2e-06,NA,NA
"78","J216.A","Texas.lowland",0.00163508304491471,0.982475725981385,0.0158891909736999,"TX",-204.451019958401,"P7508","M1820","C6920","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"79","J217.A","no.prior",0.0093991402127969,0.631767892900345,0.358832966886858,"TX",-196.480591821348,"P5001","M1015","C6014","TX","TX",0.777072,0.222922,2e-06,2e-06,2e-06,NA,NA
"80","J218.A","Texas.lowland",0.00138174427034309,0.984480002687085,0.0141382530425716,"TX",-246.767368288708,"P7510","M2611","C6919","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"81","J219.A","no.prior",0.00255718035325395,0.959141148008909,0.0383016716378368,"TX",-225.692514189788,"P6417","M6408","C2819","GC,TX","GC,TX",0.636147,0.363846,2e-06,2e-06,2e-06,NA,NA
"82","J222.A","Texas.lowland",0.00163041921218295,0.979326952895527,0.0190426278922904,"TX",-254.34653801329,"P2808","M2614","C6915","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"83","J223.A","no.prior",0.00178121661610498,0.977605965492658,0.0206128178912371,"TX",-214.702742405816,"P2203","M1106","C1019","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"84","J224.A","no.prior",0.00493141622600423,0.984598812552572,0.0104697712214242,"TX",-117.29382334444,"P3816","M5018",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"85","J225.A","no.prior",0.0101765338317958,0.132619351475438,0.857204114692766,"Coast",-107.873001778329,"P7007","M1603","C1821","TX","TX",0.856869,0.143125,2e-06,2e-06,2e-06,NA,NA
"86","J226.A","Texas.lowland",0.00167906122982816,0.98114959156166,0.0171713472085122,"TX",-191.085951410055,"P2706","M1616","C5419","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"87","J229.A","Texas.lowland",0.0023745226403631,0.969731889143428,0.027893588216209,"TX",-160.071143455795,"P5419","M3611","C6618","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"88","J230.A","Texas.lowland",0.00156236187560551,0.982238267132065,0.0161993709923295,"TX",-222.372888830406,"P4205","M6719","C6806","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"89","J231.A","no.prior",0.267129602388829,0.695221062042568,0.0376493355686031,"TX",-5.98363384353816,"P1419","M4604",NA,"TX","TX",0.773593,0.226401,2e-06,2e-06,2e-06,NA,NA
"90","J234.A","no.prior",0.0243893271485125,0.225936631810817,0.749674041040671,"Coast",-87.4585852182777,"P1608","M3320",NA,"TX","TX",0.833018,0.166975,2e-06,2e-06,2e-06,NA,NA
"91","J235.A","Texas.lowland",0.00178697648959617,0.977606305694137,0.0206067178162669,"TX",-249.403549847339,"P3402","M2410","C6004","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"92","J237.A","Texas.lowland",0.0048835157393088,0.89629435376679,0.0988221304939016,"TX",-162.992885277611,"P4214","M1811",NA,"TX","TX",0.904577,0.095417,2e-06,2e-06,2e-06,NA,NA
"93","J238.A","Texas.lowland",0.00178476139775238,0.978322373705233,0.0198928648970151,"TX",-194.911648894614,"P3817","M1220",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"94","J240.A","no.prior",0.00661632949039428,0.80240435984602,0.190979310663586,"TX",-205.793811410065,"P7513","M1109","C5412","GC,TX","GC,TX",0.563995,0.435998,2e-06,2e-06,2e-06,NA,NA
"95","J241.A","no.prior",0.0074576203608932,0.0771593083289745,0.915383071310132,"Coast",-269.259907288496,"P2817","M3403",NA,"TX","TX",0.818805,0.181189,2e-06,2e-06,2e-06,NA,NA
"96","J243.A","Texas.lowland",0.00370797791496421,0.948148679403243,0.0481433426817929,"TX",-189.149577540341,"P7406","M5621","C6406","GC","GC",0.219894,0.538114,0.122975,0.02751,0.091506,NA,NA
"97","J245.A","Texas.lowland",0.00174198582490547,0.978784707740421,0.0194733064346732,"TX",-204.564957264151,"P1421","M3606","C5808","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"98","J246.A","Texas.lowland",0.0051410577394378,0.975353454353545,0.0195054879070169,"TX",-152.330365937956,"P2620","M4010","C1209","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"99","J247.A","Texas.lowland",0.00329742627628311,0.947839830494923,0.0488627432287944,"TX",-166.682571185797,"P7520","M1101",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"100","J249.C","no.prior",0.0107494476581342,0.54765408455231,0.441596467789556,"TX",-179.997535864763,"P1817","M4611","C4203","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"101","J250.A","no.prior",0.00214639926328871,0.975440471445191,0.0224131292915204,"TX",-127.489810241836,"P4011","M3004","C7012","TX","TX",0.819183,0.180811,2e-06,2e-06,2e-06,NA,NA
"102","J250.B","no.prior",0.00583290998040473,0.97289555384964,0.0212715361699548,"TX",-70.5251212236061,"P7504","M1007","C6905","TX","TX",0.876192,0.123802,2e-06,2e-06,2e-06,NA,NA
"103","J250.C","no.prior",0.00760825712331421,0.831206303985433,0.161185438891252,"TX",-152.009377692119,"P7221","M2212","C1221","TX","TX",0.802139,0.197855,2e-06,2e-06,2e-06,NA,NA
"104","J251.A","Texas.lowland",0.00166367862514128,0.978560029517531,0.0197762918573284,"TX",-308.536468617328,"P1815","M3902","C6820","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"105","J251.B","Texas.lowland",0.00233183203485732,0.986296523858895,0.0113716441062473,"TX",-156.297238452811,"P7409","M3412",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"106","J251.C","Texas.lowland",0.00178318833876162,0.980150817260866,0.0180659944003729,"TX",-209.774377462114,"P2009","M2615","C6610","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"107","J257.A","Midwest.upland",0.980419152889094,0.00105544652188554,0.0185254005890209,"Up",209.026649940028,"P7206","M4417","C5814","MW","MW",2e-06,2e-06,0.999992,2e-06,2e-06,"MW",NA
"108","J258.A","Midwest.upland",0.985558702642753,0.000779711294916277,0.0136615860623303,"Up",259.375430928431,"P6011","M5817","C3615","MW","MW",2e-06,2e-06,0.999992,2e-06,2e-06,"MW",NA
"109","J267.B","Midwest.upland",0.979449248118219,0.000938821576880287,0.0196119303049011,"Up",258.377785889239,"P2006","M6620",NA,"MW","MW",2e-06,2e-06,0.999992,2e-06,2e-06,"MW",NA
"110","J267.C","Midwest.upland",0.986521634742595,0.00079446001158279,0.012683905245822,"Up",358.773677990595,"P4612","M5820","C4003","MW","MW",2e-06,2e-06,0.999992,2e-06,2e-06,"MW",NA
"111","J268.A","no.prior",0.00183892489800817,0.974843182034241,0.0233178930677511,"TX",-316.791019985444,"P4618","M5003",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"112","J270.A","no.prior",0.0018059394464258,0.975481327261929,0.0227127332916453,"TX",-412.180742784464,"P4805","M1008",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"113","J271.A","no.prior",0.00398446986752526,0.923018956809698,0.0729965733227769,"TX",-219.78185475657,"P2615","M3014","C6210","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"114","J272.A","no.prior",0.00167634678833012,0.97940660738469,0.0189170458269797,"TX",-262.068694822266,"P1009","M1613","C2211","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"115","J273.A","no.prior",0.00189672311830951,0.974065898469183,0.0240373784125073,"TX",-323.859003560808,"P5806","M4612","C6612","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"116","J274.A","no.prior",0.00776666150015739,0.0915730611851477,0.900660277314695,"Coast",-304.300906655192,"P4221","M3120",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"117","J276.A","no.prior",0.0032014443896207,0.939968617627301,0.0568299379830787,"TX",-285.417950471933,"P4208","M1013",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"118","J276.B","no.prior",0.00194577138214804,0.97597490855262,0.0220793200652316,"TX",-206.865765374308,"P5420","M3214",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"119","J279.A","no.prior",0.00156105261077161,0.981663455280411,0.0167754921088171,"TX",-285.940594408616,"P1012","M2816","C5214","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"120","J280.A","Texas.lowland",0.00180451587703151,0.97646320724249,0.0217322768804782,"TX",-231.201980209916,"P7021","M4214",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"121","J288.B","no.prior",0.00160992382832133,0.980284666659952,0.0181054095117265,"TX",-242.340707564409,"P7415","M2808","C1117","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"122","J293.A","no.prior",0.00167089337580184,0.979030078231376,0.0192990283928218,"TX",-219.772518780361,"P5007","M3008","C7007","GC,TX","GC,TX",0.721475,0.278519,2e-06,2e-06,2e-06,NA,NA
"123","J294.A","no.prior",0.0025598619265475,0.963819707075426,0.0336204309980268,"TX",-233.642101471197,"P2003","M1116",NA,"GC,TX","GC,TX",0.526161,0.473833,2e-06,2e-06,2e-06,NA,NA
"124","J295.A","no.prior",0.00137856352996336,0.983906085055913,0.0147153514141234,"TX",-382.059086659573,"P3406","M3016","C6414","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"125","J296.A","no.prior",0.0020223575812063,0.971494337059411,0.0264833053593821,"TX",-255.152615927485,"P7501","M1816","C6619","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"126","J297.A","no.prior",0.00155793930135842,0.981015112700913,0.0174269479977287,"TX",-265.687461504717,"P3418","M1005",NA,"TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"127","J299.A","no.prior",0.00580516703265743,0.0318770664318666,0.962317766535476,"Coast",-239.708160654039,"P5212","M3001","C6215","other","SEC,TX",0.544375,2e-06,2e-06,0.420586,0.035035,NA,NA
"128","J300.A","no.prior",0.00161771495924979,0.983973985152272,0.0144082998884779,"TX",-160.304488946072,"P3821","M1009","C5202","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"129","J301.A","no.prior",0.00191590520928302,0.973650727317079,0.0244333674736384,"TX",-227.860276055027,"P1411","M1403","C1002","TX","TX",0.999992,2e-06,2e-06,2e-06,2e-06,NA,NA
"130","J305.A","no.prior",0.00350167142613801,0.93229608294245,0.0642022456314116,"TX",-255.004018992238,"P5207","M2214",NA,"GC,TX","GC,TX",0.538992,0.461002,2e-06,2e-06,2e-06,NA,NA
"131","J306.A","no.prior",0.00562891358554681,0.866134641368452,0.128236445046001,"TX",-244.077602645568,"P6403","M2005","C6818","TX","TX",0.828119,0.120456,0.051421,2e-06,2e-06,NA,NA
"132","J306.B","no.prior",0.00624216254674973,0.838378697980526,0.155379139472725,"TX",-240.854181101336,"P2621","M3020","C3607","TX","TX",0.851225,0.102057,0.046715,2e-06,2e-06,NA,NA
