"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.809906773255804,0.552264914613463,0.4129846347417,0.21402523947886,0.389539690383416,0.241662200691312,0.279746122988061,0.265157985336865
"MO",0.552264914613463,0.67444475300334,0.448685373300006,0.234541929780253,0.475182373435358,0.219524396260217,0.268644677831809,0.226789297874211
"NE",0.4129846347417,0.448685373300006,0.999931804547672,0.339963895314544,0.668675462867108,0.291830341421826,0.184854341278523,0.349068012365772
"OK",0.21402523947886,0.234541929780253,0.339963895314544,0.999931804547672,0.330749712698903,0.0674373309285456,0.1102637858982,0.223572233415781
"SD",0.389539690383416,0.475182373435358,0.668675462867108,0.330749712698903,0.832296554465634,0.28080021863469,0.200365104960779,0.358901738657693
"TX1",0.241662200691312,0.219524396260217,0.291830341421826,0.0674373309285456,0.28080021863469,0.999931804547672,0.186904272902268,0.512234318417353
"TX2",0.279746122988061,0.268644677831809,0.184854341278523,0.1102637858982,0.200365104960779,0.186904272902268,0.999931804547672,0.124379818036264
"TX3",0.265157985336865,0.226789297874211,0.349068012365772,0.223572233415781,0.358901738657693,0.512234318417353,0.124379818036264,0.68276110174901
