"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.85468256953477,0.560302606768847,0.423123972143005,0.221351891116702,0.396727363301033,0.235489735627563,0.283185266956713,0.266544348903735
"MO",0.560302606768847,0.709540133931302,0.447461226988633,0.234614167750484,0.476264664443709,0.220978534768497,0.273472469383511,0.226823605830542
"NE",0.423123972143005,0.447461226988633,0.993775615988745,0.34277218296114,0.669645400556988,0.293439741067341,0.189367505876361,0.353876999809609
"OK",0.221351891116702,0.234614167750484,0.34277218296114,0.768433646516905,0.327959855888616,0.0661036935045312,0.109539950862101,0.226288810106671
"SD",0.396727363301033,0.476264664443709,0.669645400556988,0.327959855888616,0.898281045666837,0.289855869538257,0.210578588541424,0.366501951059606
"TX1",0.235489735627563,0.220978534768497,0.293439741067341,0.0661036935045312,0.289855869538257,0.999931804547672,0.185618916317312,0.514256528519039
"TX2",0.283185266956713,0.273472469383511,0.189367505876361,0.109539950862101,0.210578588541424,0.185618916317312,0.999931804547672,0.127514106731586
"TX3",0.266544348903735,0.226823605830542,0.353876999809609,0.226288810106671,0.366501951059606,0.514256528519039,0.127514106731586,0.673233261360536
