"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.999931804547672,0.599831390772936,0.533063291450779,-0.0278606608687013,0.693703283843742,-0.259856546789442,-0.554819850072582,-0.502632216088756
"MO",0.599831390772936,0.999931804547672,0.45165027173007,0.123522642216085,0.568449247515269,-0.340816431669022,-0.603810213216845,-0.500915508385961
"NE",0.533063291450779,0.45165027173007,0.999931804547672,-0.0290039315867308,0.646449530023313,-0.302107009622441,-0.581453648509393,-0.599218567986225
"OK",-0.0278606608687013,0.123522642216085,-0.0290039315867308,0.962034495292509,-0.0833203935716401,0.255339262475597,0.238584556771271,0.219597171332113
"SD",0.693703283843742,0.568449247515269,0.646449530023313,-0.0833203935716401,0.999931804547672,-0.34126670150137,-0.664594779221014,-0.735759897759729
"TX1",-0.259856546789442,-0.340816431669022,-0.302107009622441,0.255339262475597,-0.34126670150137,0.999931804547672,0.648608108304647,0.598314785377913
"TX2",-0.554819850072582,-0.603810213216845,-0.581453648509393,0.238584556771271,-0.664594779221014,0.648608108304647,0.999931804547672,0.805524562299331
"TX3",-0.502632216088756,-0.500915508385961,-0.599218567986225,0.219597171332113,-0.735759897759729,0.598314785377913,0.805524562299331,0.927454977453167
