"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.999931804547672,0.557782689471168,0.426851732814143,0.403418703617706,0.463742895481202,-0.139915882523939,-0.0404891703301523,-0.141679945452385
"MO",0.557782689471168,0.999931804547672,0.308832496911179,0.465599466894816,0.270796589956584,-0.060102973315126,0.0671545042875147,0.0203377844049008
"NE",0.426851732814143,0.308832496911179,0.999931804547672,0.38057730332629,0.639706615083073,-0.318822840730377,-0.0746078714607304,-0.214024900691038
"OK",0.403418703617706,0.465599466894816,0.38057730332629,0.999931804547672,0.384338082549796,0.0450146648396331,-0.050193208083531,0.018842762736639
"SD",0.463742895481202,0.270796589956584,0.639706615083073,0.384338082549796,0.999931804547672,-0.339235153446277,-0.237903324128479,-0.393667256148903
"TX1",-0.139915882523939,-0.060102973315126,-0.318822840730377,0.0450146648396331,-0.339235153446277,0.999931804547672,0.0739079134384721,0.236519719829364
"TX2",-0.0404891703301523,0.0671545042875147,-0.0746078714607304,-0.050193208083531,-0.237903324128479,0.0739079134384721,0.999931804547672,0.232319624518561
"TX3",-0.141679945452385,0.0203377844049008,-0.214024900691038,0.018842762736639,-0.393667256148903,0.236519719829364,0.232319624518561,0.999931804547672
