"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",1.00417221182233,0.139493649161841,0.036855498007072,0.577852412798388,0.163196840435777,-0.0672793882067414,-0.139978330587678,0.283846905281788
"MO",0.139493649161841,0.99993393325942,0.0944766760960954,0.165039996510306,0.194801038111649,-0.164277981338743,-0.107224662654915,0.10339528992486
"NE",0.036855498007072,0.0944766760960954,1.00200014103952,0.300397332524944,0.14066544418111,0.144649136502302,-0.0595152670081221,-0.0280203736109619
"OK",0.577852412798388,0.165039996510306,0.300397332524944,1.00853060714313,0.119740578013258,-0.652504437011077,-0.300938240740535,0.111385759871039
"SD",0.163196840435777,0.194801038111649,0.14066544418111,0.119740578013258,1.00163933309043,-0.266762844847973,0.254219032896385,-0.0751338092667595
"TX1",-0.0672793882067414,-0.164277981338743,0.144649136502302,-0.652504437011077,-0.266762844847973,1.00843047456216,0.404483808914361,-0.206575477821795
"TX2",-0.139978330587678,-0.107224662654915,-0.0595152670081221,-0.300938240740535,0.254219032896385,0.404483808914361,1.00100465048572,0.0305519728429627
"TX3",0.283846905281788,0.10339528992486,-0.0280203736109619,0.111385759871039,-0.0751338092667595,-0.206575477821795,0.0305519728429627,1.00084114523022
