"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.999931804547672,0.545388507349241,0.404629715703319,0.205082779723217,0.398062257614637,0.228440605338587,0.24471660738378,0.244767998005421
"MO",0.545388507349241,0.999931804547672,0.448647164980753,0.230926790824547,0.465387279765416,0.240176333964858,0.282183141737378,0.222675660101389
"NE",0.404629715703319,0.448647164980753,0.999931804547672,0.338819619183256,0.671085911248025,0.282771590972888,0.180792354114135,0.314839703200074
"OK",0.205082779723217,0.230926790824547,0.338819619183256,0.89916229709691,0.329493497018755,0.0659880602009572,0.11709903334249,0.209346363567216
"SD",0.398062257614637,0.465387279765416,0.671085911248025,0.329493497018755,0.999931804547672,0.252554102832323,0.188632135491932,0.315033765962643
"TX1",0.228440605338587,0.240176333964858,0.282771590972888,0.0659880602009572,0.252554102832323,0.999931804547672,0.196927162579104,0.505196339714282
"TX2",0.24471660738378,0.282183141737378,0.180792354114135,0.11709903334249,0.188632135491932,0.196927162579104,0.999931804547672,0.134291933203277
"TX3",0.244767998005421,0.222675660101389,0.314839703200074,0.209346363567216,0.315033765962643,0.505196339714282,0.134291933203277,0.909940167695615
