matrix,likelihood
flowering.all.crain_1d,-1058247.11184266
flowering.midwest.dyln_change_sec,-1057712.63221444
flowering.gulf.crain_3d,-1057558.39373752
flowering.midwest.cgdd_12c_gr2fl,-1057528.78175301
flowering.all.crain_5d,-1057528.54796202
flowering.midwest.crain_1d,-1057531.88940062
flowering.midwest.crain_3d,-1057528.66607281
flowering.midwest.crain_5d,-1057529.42054002
flowering.all.crain_3d,-1057529.13048278
flowering.gulf.crain_5d,-1057529.16393246
flowering.gulf.crain_1d,-1057529.16404722
