matrix,likelihood
greenup.midwest.tave_5d,-887271.420463196
greenup.all.cgdd_12c_18d,-886529.663725963
greenup.midwest.cgdd_12c_5d,-886497.902461864
greenup.all.tave_10d,-886497.467884539
greenup.all.cgdd_12c_5d,-886497.467847833
greenup.all.tave_18d,-886497.467817161
greenup.gulf.tave_18d,-886497.467828484
greenup.midwest.cgdd_12c_10d,-886497.467824429
greenup.midwest.tave_18d,-886497.467843054
greenup.all.cgdd_12c_10d,-886497.467870309
greenup.midwest.tave_10d,-886497.467878456
greenup.gulf.cgdd_12c_10d,-886497.467882051
greenup.gulf.cgdd_12c_18d,-886497.467817585
greenup.gulf.tave_10d,-886497.467853267
greenup.gulf.cgdd_12c_5d,-886497.46787928
greenup.midwest.cgdd_12c_18d,-886497.467884764
greenup.gulf.tave_5d,-886497.467877318
greenup.all.tave_5d,-886497.467884761
