matrix,likelihood
greenup.gulf.tave_5d,-2376287.35260102
greenup.gulf.cgdd_12c_5d,-2375400.83270077
greenup.midwest.tave_10d,-2375160.68839854
greenup.midwest.cgdd_12c_18d,-2375139.71952786
greenup.midwest.tave_18d,-2375137.53907106
greenup.midwest.cgdd_12c_10d,-2375136.0219406
greenup.all.cgdd_12c_10d,-2375136.02202792
greenup.gulf.cgdd_12c_18d,-2375136.01788571
greenup.gulf.tave_18d,-2375136.02163308
greenup.all.tave_10d,-2375136.02194558
greenup.gulf.cgdd_12c_10d,-2375136.02204143
greenup.gulf.tave_10d,-2375136.01623554
greenup.all.cgdd_12c_18d,-2375136.01806675
greenup.all.tave_18d,-2375136.02173844
greenup.all.cgdd_12c_5d,-2375136.02202702
greenup.all.tave_5d,-2375136.0201122
greenup.midwest.cgdd_12c_5d,-2375136.02185451
greenup.midwest.tave_5d,-2375136.01665772
