matrix,likelihood
flowering.gulf.crain_1d,-2277970.73422172
flowering.midwest.dyln_change_sec,-2275261.89870927
flowering.midwest.crain_3d,-2274750.60118751
flowering.midwest.cgdd_12c_gr2fl,-2274653.46576111
flowering.gulf.crain_5d,-2274653.46538241
flowering.midwest.crain_1d,-2274653.46538226
flowering.all.crain_5d,-2274653.46625543
flowering.gulf.crain_3d,-2274653.46251312
flowering.all.crain_3d,-2274653.46408305
flowering.midwest.crain_5d,-2274653.4609089
flowering.all.crain_1d,-2274653.46615119
