matrix,likelihood
flowering.gulf.crain_1d,-3197977.154619
flowering.midwest.dyln_change_sec,-3195433.95316596
flowering.gulf.crain_3d,-3194969.58427485
flowering.midwest.cgdd_12c_gr2fl,-3194968.58764255
flowering.midwest.crain_5d,-3194968.58762486
flowering.gulf.crain_5d,-3194968.58762483
flowering.all.crain_5d,-3194968.58762481
flowering.all.crain_1d,-3194968.58762478
flowering.midwest.crain_1d,-3194968.58762476
flowering.all.crain_3d,-3194968.58762477
flowering.midwest.crain_3d,-3194968.58762485
