matrix,likelihood
flowering.gulf.crain_1d,-1161415.07575579
flowering.midwest.dyln_change_sec,-1160040.3405644
flowering.midwest.crain_3d,-1159732.10409267
flowering.midwest.cgdd_12c_gr2fl,-1159647.7280159
flowering.gulf.crain_5d,-1159647.62553914
flowering.midwest.crain_1d,-1159647.62551849
flowering.all.crain_3d,-1159647.62553499
flowering.midwest.crain_5d,-1159647.62552627
flowering.all.crain_5d,-1159647.62555218
flowering.all.crain_1d,-1159647.62552369
flowering.gulf.crain_3d,-1159647.62553577
