matrix,likelihood
flowering.gulf.crain_1d,-2136711.30609456
flowering.midwest.dyln_change_sec,-2136009.82276571
flowering.midwest.crain_3d,-2135871.46277372
flowering.midwest.cgdd_12c_gr2fl,-2135817.86761172
flowering.gulf.crain_3d,-2135814.00080232
flowering.all.crain_5d,-2135813.90595515
flowering.gulf.crain_5d,-2135813.90595514
flowering.all.crain_3d,-2135813.90594671
flowering.midwest.crain_5d,-2135813.5868148
flowering.all.crain_1d,-2135813.92749691
flowering.midwest.crain_1d,-2135813.90499614
