matrix,likelihood
greenup.midwest.tave_5d,-1004266.98533148
greenup.gulf.cgdd_12c_18d,-1003809.72417449
greenup.gulf.cgdd_12c_5d,-1003746.20337628
greenup.all.tave_10d,-1003738.32252267
greenup.all.cgdd_12c_10d,-1003737.72490457
greenup.gulf.tave_18d,-1003737.68149017
greenup.all.cgdd_12c_18d,-1003737.68062841
greenup.all.tave_18d,-1003737.68128383
greenup.gulf.cgdd_12c_10d,-1003737.68139754
greenup.midwest.cgdd_12c_10d,-1003737.68146175
greenup.gulf.tave_5d,-1003737.68106738
greenup.midwest.tave_18d,-1003737.68080844
greenup.all.tave_5d,-1003737.68113009
greenup.all.cgdd_12c_5d,-1003737.6809932
greenup.gulf.tave_10d,-1003737.68077052
greenup.midwest.cgdd_12c_5d,-1003737.68143469
greenup.midwest.cgdd_12c_18d,-1003737.68148405
greenup.midwest.tave_10d,-1003737.68148106
