Qqplot_order,path,site,phe,subpop,individuals,SNPs,PCs,date_run,time_run,bonferroni,notes,peak info,qqplot
47,analysis/gwas/GDD/QQplot,CLMB,EM1,Midwest,119,8.8M,6,2020-06-13,16.08.45.png,0,,,skip
48,analysis/gwas/GDD/QQplot,CLMB,EM1,Gulf,149,10.3M,7,2020-06-14,01.40.04.png,0,,,skip
49,analysis/gwas/GDD/QQplot,CLMB,EM1,Atlantic,228,10.6M,13,2020-06-14,16.26.20.png,0,,,skip
50,analysis/gwas/GDD/QQplot,CLMB,EM1,Midwest_Gulf,268,12.1M,14,2020-06-13,05.07.12.png,0,,,skip
51,analysis/gwas/GDD/QQplot,CLMB,EM1,Midwest_Atlantic,347,12.3M,11,2020-06-15,10.15.31.png,100,nice,,
52,analysis/gwas/GDD/QQplot,CLMB,EM50,Midwest,119,8.8M,8,2020-06-13,16.20.22.png,10,nice,,
53,analysis/gwas/GDD/QQplot,CLMB,EM50,Gulf,149,10.3M,7,2020-06-14,01.52.47.png,1,nice,,
54,analysis/gwas/GDD/QQplot,CLMB,EM50,Atlantic,228,10.6M,13,2020-06-14,16.39.11.png,1,nice,,
55,analysis/gwas/GDD/QQplot,CLMB,EM50,Midwest_Gulf,268,12.1M,14,2020-06-13,05.21.13.png,1,,,skip
56,analysis/gwas/GDD/QQplot,CLMB,EM50,Midwest_Atlantic,347,12.3M,11,2020-06-15,10.30.16.png,10,nice,,
57,analysis/gwas/GDD/QQplot,CLMB,FL1,Midwest,119,8.8M,9,2020-06-13,16.32.01.png,0,,,skip
58,analysis/gwas/GDD/QQplot,CLMB,FL1,Gulf,149,10.3M,7,2020-06-14,02.05.30.png,0,,,skip
59,analysis/gwas/GDD/QQplot,CLMB,FL1,Atlantic,228,10.6M,13,2020-06-14,16.52.15.png,0,,,skip
60,analysis/gwas/GDD/QQplot,CLMB,FL1,Midwest_Gulf,268,12.1M,14,2020-06-13,05.35.46.png,0,,,skip
61,analysis/gwas/GDD/QQplot,CLMB,FL1,Midwest_Atlantic,347,12.3M,13,2020-06-15,10.45.27.png,100,nice,,
62,analysis/gwas/GDD/QQplot,CLMB,FL50,Midwest,119,8.8M,9,2020-06-13,13.05.54.png,1,nice,Chr08N,
63,analysis/gwas/GDD/QQplot,CLMB,FL50,Gulf,149,10.3M,13,2020-06-13,20.39.37.png,0,,,skip
64,analysis/gwas/GDD/QQplot,CLMB,FL50,Atlantic,228,10.6M,13,2020-06-14,09.47.41.png,0,,,skip
65,analysis/gwas/GDD/QQplot,CLMB,FL50,Midwest_Gulf,268,12.1M,14,2020-06-12,20.03.29.png,0,,,skip
66,analysis/gwas/GDD/QQplot,CLMB,FL50,Midwest_Atlantic,347,12.3M,11,2020-06-15,01.34.51.png,100,nice,lots,
67,analysis/gwas/GDD/QQplot,CLMB,GR100,Midwest,119,8.8M,2,2020-06-13,16.54.40.png,,structure,,skip
68,analysis/gwas/GDD/QQplot,CLMB,GR100,Gulf,148,10.3M,13,2020-06-14,02.30.50.png,0,,,skip
69,analysis/gwas/GDD/QQplot,CLMB,GR100,Atlantic,229,10.6M,3,2020-06-14,17.18.03.png,1,,,skip
70,analysis/gwas/GDD/QQplot,CLMB,GR100,Midwest_Gulf,267,12.1M,5,2020-06-13,06.04.47.png,10,,,skip
71,analysis/gwas/GDD/QQplot,CLMB,GR100,Midwest_Atlantic,348,12.3M,4,2020-06-15,11.14.40.png,10,nice,,
72,analysis/gwas/GDD/QQplot,CLMB,GR1,Midwest,119,8.8M,2,2020-06-13,16.43.23.png,,structure,,skip
73,analysis/gwas/GDD/QQplot,CLMB,GR1,Gulf,149,10.3M,7,2020-06-14,02.18.15.png,100,nice,Chr09N,
74,analysis/gwas/GDD/QQplot,CLMB,GR1,Atlantic,229,10.6M,3,2020-06-14,17.05.06.png,10,,,skip
75,analysis/gwas/GDD/QQplot,CLMB,GR1,Midwest_Gulf,268,12.1M,3,2020-06-13,05.50.19.png,100,nice,lots,
76,analysis/gwas/GDD/QQplot,CLMB,GR1,Midwest_Atlantic,348,12.3M,4,2020-06-15,11.00.14.png,10,nice,,
77,analysis/gwas/GDD/QQplot,CLMB,GR50,Midwest,119,8.8M,0,2020-06-13,12.31.34.png,,structure,,skip
78,analysis/gwas/GDD/QQplot,CLMB,GR50,Gulf,148,10.3M,13,2020-06-13,19.24.08.png,1,,,skip
79,analysis/gwas/GDD/QQplot,CLMB,GR50,Atlantic,229,10.6M,3,2020-06-14,08.17.34.png,100,,,skip
80,analysis/gwas/GDD/QQplot,CLMB,GR50,Midwest_Gulf,267,12.1M,5,2020-06-12,18.10.51.png,100,nice,,
81,analysis/gwas/GDD/QQplot,CLMB,GR50,Midwest_Atlantic,348,12.3M,2,2020-06-14,23.39.41.png,1000,nice,lots,
82,analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Midwest,119,8.8M,15,2020-06-13,14.48.34.png,1,nice,Chr08N,
83,analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Gulf,148,10.3M,2,2020-06-13,23.45.57.png,0,,Chr05N,skip
84,analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Atlantic,228,10.6M,7,2020-06-14,13.38.52.png,0,,,skip
85,analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Midwest_Gulf,267,12.1M,15,2020-06-13,01.34.07.png,10,nice,Chr05N,
86,analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Midwest_Atlantic,347,12.3M,15,2020-06-15,06.37.20.png,100,nice,lots,
87,analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Midwest,108,8.8M,8,2020-06-13,12.08.46.png,1,nice,Chr04K,
88,analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Gulf,191,10.3M,4,2020-06-13,18.45.57.png,100,nice,lots,
89,analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Atlantic,198,10.6M,6,2020-06-14,07.26.15.png,0,,,skip
90,analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Midwest_Gulf,299,12.1M,8,2020-06-12,16.59.16.png,100,nice,lots,
91,analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Midwest_Atlantic,306,12.3M,13,2020-06-14,22.26.53.png,100,nice,,
92,analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Midwest,108,8.8M,2,2020-06-13,14.25.55.png,10,nice,"Chr02K, Chr04K",
93,analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Gulf,191,10.3M,0,2020-06-13,22.56.47.png,0,,,skip
94,analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Atlantic,198,10.6M,8,2020-06-14,12.34.24.png,0,,,skip
95,analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Midwest_Gulf,299,12.1M,2,2020-06-12,23.57.24.png,0,,,skip
96,analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Midwest_Atlantic,306,12.3M,1,2020-06-15,04.56.17.png,10,nice,,
97,analysis/gwas/GDD/QQplot,KBSM,CRAIN,Midwest,108,8.8M,5,2020-06-13,14.14.28.png,0,,,skip
98,analysis/gwas/GDD/QQplot,KBSM,CRAIN,Gulf,191,10.3M,7,2020-06-13,22.44.43.png,100,nice,Chr08N,
99,analysis/gwas/GDD/QQplot,KBSM,CRAIN,Atlantic,198,10.6M,3,2020-06-14,12.21.28.png,0,,,skip
100,analysis/gwas/GDD/QQplot,KBSM,CRAIN,Midwest_Gulf,299,12.1M,7,2020-06-12,23.43.35.png,10,,,skip
101,analysis/gwas/GDD/QQplot,KBSM,CRAIN,Midwest_Atlantic,306,12.3M,13,2020-06-15,04.41.49.png,0,,,skip
102,analysis/gwas/GDD/QQplot,KBSM,EM1,Midwest,105,8.8M,2,2020-06-13,17.06.07.png,,structure,,skip
103,analysis/gwas/GDD/QQplot,KBSM,EM1,Atlantic,197,10.6M,13,2020-06-14,18.35.20.png,10,,,skip
104,analysis/gwas/GDD/QQplot,KBSM,EM1,Gulf,205,10.3M,14,2020-06-14,03.46.12.png,0,,,skip
105,analysis/gwas/GDD/QQplot,KBSM,EM1,Midwest_Atlantic,302,12.3M,10,2020-06-15,13.09.57.png,10,,,skip
106,analysis/gwas/GDD/QQplot,KBSM,EM1,Midwest_Gulf,310,12.1M,13,2020-06-13,08.40.12.png,10,,,skip
107,analysis/gwas/GDD/QQplot,KBSM,EM50,Midwest,109,8.8M,3,2020-06-13,17.17.41.png,,structure,,skip
108,analysis/gwas/GDD/QQplot,KBSM,EM50,Atlantic,200,10.6M,13,2020-06-14,18.48.23.png,100,nice,,
109,analysis/gwas/GDD/QQplot,KBSM,EM50,Gulf,205,10.3M,14,2020-06-14,03.58.44.png,0,,,skip
110,analysis/gwas/GDD/QQplot,KBSM,EM50,Midwest_Atlantic,309,12.3M,10,2020-06-15,13.24.36.png,10,nice,"Chr05N, Chr08N",
111,analysis/gwas/GDD/QQplot,KBSM,EM50,Midwest_Gulf,314,12.1M,11,2020-06-13,08.54.32.png,10,,,skip
112,analysis/gwas/GDD/QQplot,KBSM,FL1,Midwest,109,8.8M,6,2020-06-13,17.28.57.png,,structure,,skip
113,analysis/gwas/GDD/QQplot,KBSM,FL1,Atlantic,199,10.6M,5,2020-06-14,19.01.31.png,10,nice,,
114,analysis/gwas/GDD/QQplot,KBSM,FL1,Gulf,205,10.3M,14,2020-06-14,04.11.25.png,1,,,skip
115,analysis/gwas/GDD/QQplot,KBSM,FL1,Midwest_Atlantic,308,12.3M,13,2020-06-15,13.39.25.png,10,nice,Chr05N,
116,analysis/gwas/GDD/QQplot,KBSM,FL1,Midwest_Gulf,314,12.1M,15,2020-06-13,09.08.58.png,1,nice,Chr04K,
117,analysis/gwas/GDD/QQplot,KBSM,FL50,Midwest,109,8.8M,6,2020-06-13,13.17.18.png,0,,,skip
118,analysis/gwas/GDD/QQplot,KBSM,FL50,Gulf,198,10.3M,7,2020-06-13,21.04.47.png,100,nice,,
119,analysis/gwas/GDD/QQplot,KBSM,FL50,Atlantic,199,10.6M,5,2020-06-14,10.13.14.png,0,,,skip
120,analysis/gwas/GDD/QQplot,KBSM,FL50,Midwest_Gulf,307,12.1M,11,2020-06-12,20.45.04.png,100,nice,"Chr05N, Chr09K",
121,analysis/gwas/GDD/QQplot,KBSM,FL50,Midwest_Atlantic,308,12.3M,13,2020-06-15,02.03.49.png,10,nice,Chr04N,
122,analysis/gwas/GDD/QQplot,KBSM,GR100,Midwest,108,8.8M,0,2020-06-13,17.51.44.png,,structure,,skip
123,analysis/gwas/GDD/QQplot,KBSM,GR100,Gulf,171,10.3M,5,2020-06-14,04.37.00.png,0,,,skip
124,analysis/gwas/GDD/QQplot,KBSM,GR100,Atlantic,196,10.6M,1,2020-06-14,19.27.08.png,0,,,skip
125,analysis/gwas/GDD/QQplot,KBSM,GR100,Midwest_Gulf,279,12.1M,6,2020-06-13,09.37.22.png,1,,,skip
126,analysis/gwas/GDD/QQplot,KBSM,GR100,Midwest_Atlantic,304,12.3M,2,2020-06-15,14.08.44.png,0,,,skip
127,analysis/gwas/GDD/QQplot,KBSM,GR1,Midwest,109,8.8M,0,2020-06-13,17.40.21.png,,structure,,skip
128,analysis/gwas/GDD/QQplot,KBSM,GR1,Atlantic,200,10.6M,3,2020-06-14,19.14.18.png,0,,,skip
129,analysis/gwas/GDD/QQplot,KBSM,GR1,Gulf,208,10.3M,8,2020-06-14,04.24.10.png,10,,,skip
130,analysis/gwas/GDD/QQplot,KBSM,GR1,Midwest_Atlantic,309,12.3M,4,2020-06-15,13.53.59.png,1,,,skip
131,analysis/gwas/GDD/QQplot,KBSM,GR1,Midwest_Gulf,317,12.1M,9,2020-06-13,09.23.19.png,100,nice,"Chr02N, 9K, 9N",
132,analysis/gwas/GDD/QQplot,KBSM,GR50,Midwest,108,8.8M,0,2020-06-13,12.42.59.png,,structure,,skip
133,analysis/gwas/GDD/QQplot,KBSM,GR50,Gulf,195,10.3M,9,2020-06-13,19.49.33.png,1,nice,,
134,analysis/gwas/GDD/QQplot,KBSM,GR50,Atlantic,199,10.6M,3,2020-06-14,08.43.14.png,0,,,skip
135,analysis/gwas/GDD/QQplot,KBSM,GR50,Midwest_Gulf,303,12.1M,5,2020-06-12,18.52.38.png,10,,,skip
136,analysis/gwas/GDD/QQplot,KBSM,GR50,Midwest_Atlantic,307,12.3M,4,2020-06-15,00.22.56.png,0,,,skip
137,analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Midwest,108,8.8M,8,2020-06-13,15.00.07.png,0,,,skip
138,analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Gulf,191,10.3M,4,2020-06-14,00.11.10.png,100,,,skip
139,analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Atlantic,198,10.6M,7,2020-06-14,14.04.20.png,0,,,skip
140,analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Midwest_Gulf,299,12.1M,7,2020-06-13,02.16.55.png,1000,,lots,skip
141,analysis/gwas/GDD/QQplot,KBSM,PTT.12C,Midwest_Atlantic,306,12.3M,13,2020-06-15,07.06.35.png,100,nice,,
142,analysis/gwas/GDD/QQplot,KING,CGDD.12C,Gulf,111,10.3M,8,2020-06-13,18.33.18.png,0,,,skip
143,analysis/gwas/GDD/QQplot,KING,CGDD.12C,Midwest_Gulf,135,12.1M,4,2020-06-12,16.29.50.png,1,,,skip
144,analysis/gwas/GDD/QQplot,KING,CRAIN.5d,Gulf,111,10.3M,0,2020-06-13,22.32.12.png,100,messy,,skip
145,analysis/gwas/GDD/QQplot,KING,CRAIN.5d,Midwest_Gulf,135,12.1M,0,2020-06-12,23.02.51.png,10,messy,,skip
146,analysis/gwas/GDD/QQplot,KING,CRAIN,Gulf,111,10.3M,4,2020-06-13,22.20.11.png,1,,,skip
147,analysis/gwas/GDD/QQplot,KING,CRAIN,Midwest_Gulf,135,12.1M,4,2020-06-12,22.49.33.png,1,,,skip
148,analysis/gwas/GDD/QQplot,KING,EM1,Gulf,185,10.3M,1,2020-06-14,02.43.07.png,0,nice,,
149,analysis/gwas/GDD/QQplot,KING,EM1,Midwest_Gulf,214,12.1M,2,2020-06-13,06.18.59.png,0,nice,,
150,analysis/gwas/GDD/QQplot,KING,EM50,Gulf,183,10.3M,6,2020-06-14,02.55.37.png,1,,,skip
151,analysis/gwas/GDD/QQplot,KING,EM50,Midwest_Gulf,208,12.1M,11,2020-06-13,06.32.40.png,1,,,skip
152,analysis/gwas/GDD/QQplot,KING,FL1,Gulf,165,10.3M,4,2020-06-14,03.08.26.png,1,,,skip
153,analysis/gwas/GDD/QQplot,KING,FL1,Midwest_Gulf,194,12.1M,3,2020-06-13,06.46.45.png,1,,,skip
154,analysis/gwas/GDD/QQplot,KING,FL50,Gulf,155,10.3M,9,2020-06-13,20.52.14.png,1,,,skip
155,analysis/gwas/GDD/QQplot,KING,FL50,Midwest_Gulf,179,12.1M,7,2020-06-12,20.17.34.png,1,,,skip
156,analysis/gwas/GDD/QQplot,KING,GR100,Midwest_Atlantic,102,12.3M,4,2020-06-15,11.43.17.png,0,,,skip
157,analysis/gwas/GDD/QQplot,KING,GR100,Gulf,161,10.3M,6,2020-06-14,03.33.30.png,1,nice,,
158,analysis/gwas/GDD/QQplot,KING,GR100,Midwest_Gulf,190,12.1M,9,2020-06-13,07.15.45.png,10,nice,,
159,analysis/gwas/GDD/QQplot,KING,GR1,Midwest_Atlantic,106,12.3M,4,2020-06-15,11.28.57.png,0,,,skip
160,analysis/gwas/GDD/QQplot,KING,GR1,Gulf,126,10.3M,4,2020-06-14,03.20.43.png,10,,,skip
161,analysis/gwas/GDD/QQplot,KING,GR1,Midwest_Gulf,158,12.1M,5,2020-06-13,07.01.15.png,100,messy,,skip
162,analysis/gwas/GDD/QQplot,KING,GR50,Midwest_Atlantic,103,12.3M,4,2020-06-14,23.54.21.png,0,,,skip
163,analysis/gwas/GDD/QQplot,KING,GR50,Gulf,138,10.3M,6,2020-06-13,19.36.49.png,10,,,skip
164,analysis/gwas/GDD/QQplot,KING,GR50,Midwest_Gulf,168,12.1M,5,2020-06-12,18.25.07.png,100,,,skip
165,analysis/gwas/GDD/QQplot,KING,PTT.12C,Gulf,111,10.3M,8,2020-06-13,23.58.30.png,0,,,skip
166,analysis/gwas/GDD/QQplot,KING,PTT.12C,Midwest_Gulf,135,12.1M,4,2020-06-13,01.48.14.png,1,,,skip
167,analysis/gwas/GDD/QQplot,LINC,CGDD.12C,Atlantic,123,10.6M,3,2020-06-14,07.13.25.png,0,,,skip
168,analysis/gwas/GDD/QQplot,LINC,CGDD.12C,Midwest_Gulf,132,12.1M,6,2020-06-12,16.44.31.png,100,nice,"Chr04K, Chr05N",
169,analysis/gwas/GDD/QQplot,LINC,CGDD.12C,Midwest_Atlantic,190,12.3M,9,2020-06-14,22.12.12.png,0,,,skip
170,analysis/gwas/GDD/QQplot,LINC,CRAIN.5d,Atlantic,123,10.6M,3,2020-06-14,12.08.41.png,1,,,skip
171,analysis/gwas/GDD/QQplot,LINC,CRAIN.5d,Midwest_Gulf,132,12.1M,6,2020-06-12,23.29.44.png,1,,,skip
172,analysis/gwas/GDD/QQplot,LINC,CRAIN.5d,Midwest_Atlantic,190,12.3M,0,2020-06-15,04.27.28.png,1,,,skip
173,analysis/gwas/GDD/QQplot,LINC,CRAIN,Atlantic,123,10.6M,1,2020-06-14,11.55.45.png,100,nice,,
174,analysis/gwas/GDD/QQplot,LINC,CRAIN,Midwest_Gulf,132,12.1M,5,2020-06-12,23.16.04.png,0,,,skip
175,analysis/gwas/GDD/QQplot,LINC,CRAIN,Midwest_Atlantic,190,12.3M,5,2020-06-15,04.13.10.png,10,nice,"Chr05N, Chr08N",
176,analysis/gwas/GDD/QQplot,LINC,EM1,Atlantic,123,10.6M,8,2020-06-14,17.31.02.png,1,,,skip
177,analysis/gwas/GDD/QQplot,LINC,EM1,Midwest_Gulf,136,12.1M,15,2020-06-13,07.30.12.png,1,,,skip
178,analysis/gwas/GDD/QQplot,LINC,EM1,Midwest_Atlantic,193,12.3M,11,2020-06-15,11.57.38.png,100,centromere,Chr02K,
179,analysis/gwas/GDD/QQplot,LINC,EM50,Atlantic,123,10.6M,7,2020-06-14,17.43.55.png,1,,,skip
180,analysis/gwas/GDD/QQplot,LINC,EM50,Midwest_Gulf,136,12.1M,15,2020-06-13,07.44.05.png,0,,,skip
181,analysis/gwas/GDD/QQplot,LINC,EM50,Midwest_Atlantic,193,12.3M,12,2020-06-15,12.11.55.png,10,centromere,,
182,analysis/gwas/GDD/QQplot,LINC,FL1,Atlantic,123,10.6M,3,2020-06-14,17.56.45.png,1,,,skip
183,analysis/gwas/GDD/QQplot,LINC,FL1,Midwest_Gulf,136,12.1M,9,2020-06-13,07.58.09.png,10,messy,,skip
184,analysis/gwas/GDD/QQplot,LINC,FL1,Midwest_Atlantic,193,12.3M,7,2020-06-15,12.26.25.png,10,centromere,,
185,analysis/gwas/GDD/QQplot,LINC,FL50,Atlantic,123,10.6M,3,2020-06-14,10.00.32.png,0,,,skip
186,analysis/gwas/GDD/QQplot,LINC,FL50,Midwest_Gulf,133,12.1M,9,2020-06-12,20.31.10.png,10,,,skip
187,analysis/gwas/GDD/QQplot,LINC,FL50,Midwest_Atlantic,190,12.3M,9,2020-06-15,01.49.18.png,0,,,skip
188,analysis/gwas/GDD/QQplot,LINC,GR100,Atlantic,120,10.6M,3,2020-06-14,18.22.25.png,0,,,skip
189,analysis/gwas/GDD/QQplot,LINC,GR100,Midwest_Gulf,131,12.1M,3,2020-06-13,08.26.10.png,0,,,skip
190,analysis/gwas/GDD/QQplot,LINC,GR100,Midwest_Atlantic,190,12.3M,4,2020-06-15,12.55.19.png,0,,,skip
191,analysis/gwas/GDD/QQplot,LINC,GR1,Atlantic,124,10.6M,14,2020-06-14,18.09.40.png,0,,,skip
192,analysis/gwas/GDD/QQplot,LINC,GR1,Midwest_Gulf,138,12.1M,3,2020-06-13,08.12.16.png,1,,,skip
193,analysis/gwas/GDD/QQplot,LINC,GR1,Midwest_Atlantic,194,12.3M,11,2020-06-15,12.41.02.png,0,,,skip
194,analysis/gwas/GDD/QQplot,LINC,GR50,Atlantic,124,10.6M,5,2020-06-14,08.30.32.png,1,nice,"Chr05N, Chr03K",
195,analysis/gwas/GDD/QQplot,LINC,GR50,Midwest_Gulf,137,12.1M,3,2020-06-12,18.38.53.png,0,,,skip
196,analysis/gwas/GDD/QQplot,LINC,GR50,Midwest_Atlantic,194,12.3M,4,2020-06-15,00.08.32.png,1,nice,Chr05N,
197,analysis/gwas/GDD/QQplot,LINC,PTT.12C,Atlantic,123,10.6M,5,2020-06-14,13.51.27.png,0,,,skip
198,analysis/gwas/GDD/QQplot,LINC,PTT.12C,Midwest_Gulf,132,12.1M,6,2020-06-13,02.02.17.png,1000,nice,"Chr05N, 4K, 8K",
199,analysis/gwas/GDD/QQplot,LINC,PTT.12C,Midwest_Atlantic,190,12.3M,9,2020-06-15,06.51.53.png,0,,,skip
200,analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Midwest,120,8.8M,13,2020-06-13,11.45.17.png,10,nice,Chr02N,
201,analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Gulf,184,10.3M,14,2020-06-13,18.07.43.png,10,,,skip
