path,site,phe,subpop,individuals,SNPs,PCs,date_run,time_run,bonferroni,notes,qqplot,peak info
analysis/gwas/GDD/QQplot,CLMB,EM1,Gulf,149,10.3M,7,2020-06-14,01.40.04.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,EM1,Atlantic,228,10.6M,13,2020-06-14,16.26.20.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,EM1,Midwest_Gulf,268,12.1M,14,2020-06-13,05.07.12.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,EM1,Midwest_Atlantic,347,12.3M,11,2020-06-15,10.15.31.png,100,nice,,
analysis/gwas/GDD/QQplot,CLMB,EM50,Midwest,119,8.8M,8,2020-06-13,16.20.22.png,10,nice,,
analysis/gwas/GDD/QQplot,CLMB,EM50,Gulf,149,10.3M,7,2020-06-14,01.52.47.png,1,nice,,
analysis/gwas/GDD/QQplot,CLMB,EM50,Atlantic,228,10.6M,13,2020-06-14,16.39.11.png,1,nice,,
analysis/gwas/GDD/QQplot,CLMB,EM50,Midwest_Gulf,268,12.1M,14,2020-06-13,05.21.13.png,1,,,
analysis/gwas/GDD/QQplot,CLMB,EM50,Midwest_Atlantic,347,12.3M,11,2020-06-15,10.30.16.png,10,nice,,
analysis/gwas/GDD/QQplot,CLMB,FL1,Midwest,119,8.8M,9,2020-06-13,16.32.01.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,FL1,Gulf,149,10.3M,7,2020-06-14,02.05.30.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,FL1,Atlantic,228,10.6M,13,2020-06-14,16.52.15.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,FL1,Midwest_Gulf,268,12.1M,14,2020-06-13,05.35.46.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,FL1,Midwest_Atlantic,347,12.3M,13,2020-06-15,10.45.27.png,100,nice,,
analysis/gwas/GDD/QQplot,CLMB,FL50,Midwest,119,8.8M,9,2020-06-13,13.05.54.png,1,nice,,Chr08N
analysis/gwas/GDD/QQplot,CLMB,FL50,Gulf,149,10.3M,13,2020-06-13,20.39.37.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,FL50,Atlantic,228,10.6M,13,2020-06-14,09.47.41.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,FL50,Midwest_Gulf,268,12.1M,14,2020-06-12,20.03.29.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,FL50,Midwest_Atlantic,347,12.3M,11,2020-06-15,01.34.51.png,100,nice,,lots
analysis/gwas/GDD/QQplot,CLMB,GR100,Midwest,119,8.8M,2,2020-06-13,16.54.40.png,,structure,,
analysis/gwas/GDD/QQplot,CLMB,GR100,Gulf,148,10.3M,13,2020-06-14,02.30.50.png,0,,,
analysis/gwas/GDD/QQplot,CLMB,GR100,Atlantic,229,10.6M,3,2020-06-14,17.18.03.png,1,,,
analysis/gwas/GDD/QQplot,CLMB,GR100,Midwest_Gulf,267,12.1M,5,2020-06-13,06.04.47.png,10,,,
analysis/gwas/GDD/QQplot,CLMB,GR100,Midwest_Atlantic,348,12.3M,4,2020-06-15,11.14.40.png,10,nice,,
analysis/gwas/GDD/QQplot,CLMB,GR1,Midwest,119,8.8M,2,2020-06-13,16.43.23.png,,structure,,
analysis/gwas/GDD/QQplot,CLMB,GR1,Gulf,149,10.3M,7,2020-06-14,02.18.15.png,100,nice,,Chr09N
analysis/gwas/GDD/QQplot,CLMB,GR1,Atlantic,229,10.6M,3,2020-06-14,17.05.06.png,10,,,
analysis/gwas/GDD/QQplot,CLMB,GR1,Midwest_Gulf,268,12.1M,3,2020-06-13,05.50.19.png,100,nice,,lots
analysis/gwas/GDD/QQplot,CLMB,GR1,Midwest_Atlantic,348,12.3M,4,2020-06-15,11.00.14.png,10,nice,,
analysis/gwas/GDD/QQplot,CLMB,GR50,Midwest,119,8.8M,0,2020-06-13,12.31.34.png,,structure,,
analysis/gwas/GDD/QQplot,CLMB,GR50,Gulf,148,10.3M,13,2020-06-13,19.24.08.png,1,,,
analysis/gwas/GDD/QQplot,CLMB,GR50,Atlantic,229,10.6M,3,2020-06-14,08.17.34.png,100,,,
analysis/gwas/GDD/QQplot,CLMB,GR50,Midwest_Gulf,267,12.1M,5,2020-06-12,18.10.51.png,100,nice,,
analysis/gwas/GDD/QQplot,CLMB,GR50,Midwest_Atlantic,348,12.3M,2,2020-06-14,23.39.41.png,1000,nice,,lots
analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Midwest,119,8.8M,15,2020-06-13,14.48.34.png,,,,
analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Gulf,148,10.3M,2,2020-06-13,23.45.57.png,,,,
analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Atlantic,228,10.6M,7,2020-06-14,13.38.52.png,,,,
analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Midwest_Gulf,267,12.1M,15,2020-06-13,01.34.07.png,,,,
analysis/gwas/GDD/QQplot,CLMB,PTT.12C,Midwest_Atlantic,347,12.3M,15,2020-06-15,06.37.20.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Midwest,108,8.8M,8,2020-06-13,12.08.46.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Gulf,191,10.3M,4,2020-06-13,18.45.57.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Atlantic,198,10.6M,6,2020-06-14,07.26.15.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Midwest_Gulf,299,12.1M,8,2020-06-12,16.59.16.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CGDD.12C,Midwest_Atlantic,306,12.3M,13,2020-06-14,22.26.53.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Midwest,108,8.8M,2,2020-06-13,14.25.55.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Gulf,191,10.3M,0,2020-06-13,22.56.47.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Atlantic,198,10.6M,8,2020-06-14,12.34.24.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Midwest_Gulf,299,12.1M,2,2020-06-12,23.57.24.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN.5d,Midwest_Atlantic,306,12.3M,1,2020-06-15,04.56.17.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN,Midwest,108,8.8M,5,2020-06-13,14.14.28.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN,Gulf,191,10.3M,7,2020-06-13,22.44.43.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN,Atlantic,198,10.6M,3,2020-06-14,12.21.28.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN,Midwest_Gulf,299,12.1M,7,2020-06-12,23.43.35.png,,,,
analysis/gwas/GDD/QQplot,KBSM,CRAIN,Midwest_Atlantic,306,12.3M,13,2020-06-15,04.41.49.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM1,Midwest,105,8.8M,2,2020-06-13,17.06.07.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM1,Atlantic,197,10.6M,13,2020-06-14,18.35.20.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM1,Gulf,205,10.3M,14,2020-06-14,03.46.12.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM1,Midwest_Atlantic,302,12.3M,10,2020-06-15,13.09.57.png,,,,
