trait,SITE,PHE,NumPCs
PKLE_T_GR_FL,PKLE,T_GR_FL,4
STIL_T_GR_FL,STIL,T_GR_FL,4
TMPL_T_GR_FL,TMPL,T_GR_FL,4
BRKG_TC_EOS,BRKG,TC_EOS,3
CLMB_TC_EOS,CLMB,TC_EOS,3
FRMI_TC_EOS,FRMI,TC_EOS,3
KBSM_TC_EOS,KBSM,TC_EOS,3
KING_TC_EOS,KING,TC_EOS,3
LINC_TC_EOS,LINC,TC_EOS,3
OVTN_TC_EOS,OVTN,TC_EOS,3
PKLE_TC_EOS,PKLE,TC_EOS,3
STIL_TC_EOS,STIL,TC_EOS,3
TMPL_TC_EOS,TMPL,TC_EOS,3
BRKG_TC_EOS_2018,BRKG,TC_EOS_2018,2
CLMB_TC_EOS_2018,CLMB,TC_EOS_2018,2
FRMI_TC_EOS_2018,FRMI,TC_EOS_2018,2
KBSM_TC_EOS_2018,KBSM,TC_EOS_2018,2
KING_TC_EOS_2018,KING,TC_EOS_2018,2
LINC_TC_EOS_2018,LINC,TC_EOS_2018,2
OVTN_TC_EOS_2018,OVTN,TC_EOS_2018,2
PKLE_TC_EOS_2018,PKLE,TC_EOS_2018,2
STIL_TC_EOS_2018,STIL,TC_EOS_2018,2
TMPL_TC_EOS_2018,TMPL,TC_EOS_2018,2
PKLE_VLAM,PKLE,VLAM,4
PKLE_VMID,PKLE,VMID,4
