trait,NumPCs
BRKG_BIOMASS,5
CLMB_BIOMASS,5
FRMI_BIOMASS,5
KBSM_BIOMASS,5
KING_BIOMASS,5
LINC_BIOMASS,5
PKLE_BIOMASS,5
STIL_BIOMASS,5
TMPL_BIOMASS,5
BRKG_REGR,4
CLMB_REGR,0
FRMI_REGR,3
KBSM_REGR,3
KING_REGR,3
LINC_REGR,3
OVTN_REGR,3
PKLE_REGR,3
STIL_REGR,0
TMPL_REGR,3
BRKG_LD_EOS,1
CLMB_LD_EOS,2
FRMI_LD_EOS,2
KBSM_LD_EOS,2
KING_LD_EOS,2
LINC_LD_EOS,2
OVTN_LD_EOS,2
PKLE_LD_EOS,2
STIL_LD_EOS,2
TMPL_LD_EOS,2
BRKG_MOISTURE,2
CLMB_MOISTURE,2
FRMI_MOISTURE,2
KBSM_MOISTURE,4
KING_MOISTURE,2
LINC_MOISTURE,2
PKLE_MOISTURE,2
STIL_MOISTURE,2
TMPL_MOISTURE,2
