NumPCs,trait,lambda_GC
5,BRKG_BIOMASS,1.0458787538694436
6,CLMB_BIOMASS,1.037834855567971
3,FRMI_BIOMASS,1.0103473751281835
6,KBSM_BIOMASS,1.0576259086294166
6,KING_BIOMASS,1.041796944849507
8,LINC_BIOMASS,1.0667497145546438
8,PKLE_BIOMASS,1.0356979485163802
4,STIL_BIOMASS,1.0267055291880236
6,TMPL_BIOMASS,0.9939050783910888
3,BRKG_REGR,0.9714757283447445
2,CLMB_REGR,0.8834381022234662
3,FRMI_REGR,1.0159183538840493
2,KBSM_REGR,0.9835535937163717
2,KING_REGR,0.9458636501633411
2,LINC_REGR,0.9988195320743347
5,OVTN_REGR,1.041972017142383
3,PKLE_REGR,1.0159589030639011
1,STIL_REGR,0.8743187238529411
2,TMPL_REGR,1.048619961339711
1,BRKG_LD_EOS,1.041806238911753
2,CLMB_LD_EOS,1.0133894308452345
1,FRMI_LD_EOS,0.8209749600503431
2,KBSM_LD_EOS,1.0008330437979118
2,KING_LD_EOS,0.9716773233589779
2,LINC_LD_EOS,0.9943783523321514
5,OVTN_LD_EOS,1.0834038172036338
6,PKLE_LD_EOS,1.0889211056415988
0,STIL_LD_EOS,1.0158059727006385
2,TMPL_LD_EOS,1.0393782651012071
6,BRKG_MOISTURE,1.0851989738392138
6,CLMB_MOISTURE,1.0576480580321659
5,FRMI_MOISTURE,1.046031500684274
8,KBSM_MOISTURE,1.073319807080192
0,KING_MOISTURE,0.965443825948421
6,LINC_MOISTURE,1.0519249043978653
5,PKLE_MOISTURE,1.0477850776703677
5,STIL_MOISTURE,1.135853690288851
