NumPCs,GR50_north_sites
0,5.00694
1,2.18038
2,1.87039
3,1.89786
4,1.27913
5,1.29236
6,1.23623
7,1.19814
8,1.20117
9,1.17163
10,1.15773
11,1.14513
12,1.15346
13,1.09046
14,1.08838
15,1.0801
