NumPCs,crain_1d_north_sites
0,1.19973
1,1.23421
2,1.22901
3,1.08604
4,1.07048
5,1.07335
6,1.07845
7,1.08147
8,1.07667
9,1.07837
10,1.08053
11,1.08269
12,1.07374
13,1.06825
14,1.07078
15,1.07439
