NumPCs,FL50_north_sites
0,2.53712
1,2.06833
2,1.59139
3,1.62127
4,1.22939
5,1.23637
6,1.232
7,1.15236
8,1.15125
9,1.10268
10,1.1005
11,1.09184
12,1.09517
13,1.08736
14,1.06348
15,1.03978
