NumPCs,FL50_north_sites
0,30.6093
1,3.0565
2,1.78664
3,1.4636
4,1.47463
5,1.42134
6,1.37778
7,1.36194
8,1.2047
9,1.20694
10,1.21283
11,1.20359
12,1.19018
13,1.19382
14,1.1598
15,1.15886
