NumPCs,cgdd_12c_gr2fl_north_sites
0,1.58127
1,1.59249
2,1.34696
3,1.36194
4,1.28742
5,1.15228
6,1.11872
7,1.12338
8,1.10121
9,1.07315
10,1.06317
11,1.06608
12,1.06953
13,1.06958
14,1.073
15,1.0648
