NumPCs,cgdd_12c_10d_north_sites
0,1.39103
1,1.19183
2,1.20558
3,1.08724
4,1.08818
5,1.084
6,1.08898
7,1.08625
8,1.08618
9,1.08803
10,1.07262
11,1.07087
12,1.07545
13,1.07779
14,1.07891
15,1.0797
