NumPCs,crain_1d_north_sites
0,2.0421
1,1.74368
2,1.18767
3,1.18095
4,1.11373
5,1.1065
6,1.11782
7,1.11936
8,1.12425
9,1.13244
10,1.13824
11,1.11415
12,1.07013
13,1.07166
14,1.0618
15,1.06554
