NumPCs,dyln_fl50_north_sites
0,31.3091
1,3.00474
2,1.79586
3,1.48314
4,1.4933
5,1.44281
6,1.41863
7,1.36716
8,1.20757
9,1.21027
10,1.21211
11,1.19879
12,1.19248
13,1.19515
14,1.16861
15,1.1675
