NumPCs,FL50_north_sites
0,1.59299
1,1.58126
2,1.33416
3,1.35011
4,1.28546
5,1.14391
6,1.10243
7,1.10733
8,1.07885
9,1.05749
10,1.0469
11,1.04973
12,1.05327
13,1.05339
14,1.05635
15,1.05053
