NumPCs,cgdd_12c_10d_north_sites
0,5.71181
1,2.21304
2,1.80472
3,1.83227
4,1.29029
5,1.30464
6,1.23603
7,1.18746
8,1.19579
9,1.17081
10,1.16948
11,1.16969
12,1.18036
13,1.09883
14,1.09823
15,1.08099
