NumPCs,dyln_fl50_north_sites
0,2.54704
1,2.04317
2,1.60812
3,1.63886
4,1.23418
5,1.243
6,1.24208
7,1.16042
8,1.15289
9,1.09602
10,1.09576
11,1.08981
12,1.09238
13,1.08514
14,1.06149
15,1.04569
