NumPCs,GR50_north_sites
0,1.34208
1,1.22797
2,1.24124
3,1.17155
4,1.14749
5,1.14369
6,1.11564
7,1.10811
8,1.09584
9,1.08587
10,1.08658
11,1.08637
12,1.09032
13,1.08931
14,1.08992
15,1.09192
