NumPCs,crain_gr2fl_north_sites
0,1.57295
1,1.61016
2,1.35721
3,1.38145
4,1.2763
5,1.17933
6,1.16387
7,1.17029
8,1.11868
9,1.07717
10,1.08
11,1.07736
12,1.07772
13,1.07511
14,1.07998
15,1.07064
