NumPCs,crain_gr2fl_north_sites
0,4.57409
1,1.34166
2,1.3392
3,1.34964
4,1.1815
5,1.19214
6,1.19074
7,1.18525
8,1.13457
9,1.13502
10,1.14124
11,1.1372
12,1.14168
13,1.13079
14,1.13299
15,1.13619
