NumPCs,cgdd_12c_gr2fl_north_sites
0,29.9485
1,1.97755
2,1.49615
3,1.33065
4,1.34306
5,1.3565
6,1.30259
7,1.30717
8,1.18073
9,1.18563
10,1.18165
11,1.17491
12,1.17623
13,1.17983
14,1.14891
15,1.15135
