indv,subpop,site,phe,bonferroni,qqplot,notes,peak info,mash_decision,SNPs,PCs,date_run,time_run,plot order,,key
108,Midwest,KBSM,CRAIN.5d,10,signal,nice,"Chr02K, Chr04K",,8.8M,2,2020-06-13,14.25.55,115,,
120,Midwest,PKLE,CRAIN.5d,0,ok,,,,8.8M,2,2020-06-13,13.40.15,261,,
119,Midwest,CLMB,EM1,0,ok,centromere,6N,,8.8M,6,2020-06-13,16.08.45,61,,
119,Midwest,CLMB,EM50,10,signal,centromere,6N,,8.8M,8,2020-06-13,16.20.22,67,,
119,Midwest,CLMB,FL1,0,ok,,,,8.8M,9,2020-06-13,16.32.01,73,,
119,Midwest,CLMB,FL50,1,signal,nice,Chr08N,,8.8M,9,2020-06-13,13.05.54,79,,
109,Midwest,KBSM,FL50,0,ok,,,,8.8M,6,2020-06-13,13.17.18,145,,
121,Midwest,PKLE,FL50,10,signal,,,,8.8M,9,2020-06-13,12.54.29,291,,
109,Midwest,KBSM,GR1,,signal,structure,,,8.8M,0,2020-06-13,17.40.21,151,,
125,Midwest,PKLE,GR1,0,ok,,,,8.8M,5,2020-06-13,15.45.56,297,,
123,Midwest,PKLE,GR100,1,low sig,nice,,,8.8M,1,2020-06-13,15.57.23,309,,
124,Midwest,PKLE,GR50,0,low sig,,,,8.8M,1,2020-06-13,12.20.11,303,,
119,Midwest,CLMB,PTT.12C,1,ok,nice,Chr08N,,8.8M,15,2020-06-13,14.48.34,103,,
108,Midwest,KBSM,PTT.12C,0,low sig,,,,8.8M,8,2020-06-13,15.00.07,169,,
120,Midwest,PKLE,PTT.12C,100,signal,nice,"2N, 6N",,8.8M,13,2020-06-13,14.37.13,315,,
167,Midwest_Atlantic,BRKG,CGDD.12C,10,ok,nice,,,12.3M,7,2020-06-14,21.43.18,4,,
347,Midwest_Atlantic,CLMB,CGDD.12C,100,signal,nice,"2N, 5N, 7K",,12.3M,15,2020-06-14,21.57.44,47,,
306,Midwest_Atlantic,KBSM,CGDD.12C,100,ok,nice,,,12.3M,13,2020-06-14,22.26.53,113,,
190,Midwest_Atlantic,LINC,CGDD.12C,0,ok,,,,12.3M,9,2020-06-14,22.12.12,214,,
382,Midwest_Atlantic,PKLE,CGDD.12C,10,signal,nice,1N,,12.3M,14,2020-06-14,21.28.47,259,,
163,Midwest_Atlantic,TMPL,CGDD.12C,1,ok,,,,12.3M,5,2020-06-14,22.55.19,367,,
167,Midwest_Atlantic,BRKG,CRAIN,100,signal,nice,"1K, 9N",,12.3M,5,2020-06-15,03.15.56,12,,
347,Midwest_Atlantic,CLMB,CRAIN,10,signal,,,,12.3M,15,2020-06-15,03.44.28,59,,
306,Midwest_Atlantic,KBSM,CRAIN,0,ok,,,,12.3M,13,2020-06-15,04.41.49,125,,
190,Midwest_Atlantic,LINC,CRAIN,10,signal,nice,"Chr05N, Chr08N",,12.3M,5,2020-06-15,04.13.10,222,,
382,Midwest_Atlantic,PKLE,CRAIN,0,ok,,,,12.3M,15,2020-06-15,02.46.52,271,,
141,Midwest_Atlantic,STIL,CRAIN,0,low sig,,,,12.3M,0,2020-06-15,05.10.32,328,,
163,Midwest_Atlantic,TMPL,CRAIN,1,ok,,,,12.3M,4,2020-06-15,05.39.05,377,,
167,Midwest_Atlantic,BRKG,CRAIN.5d,10,signal,nice,"3N, 8K",,12.3M,1,2020-06-15,03.29.54,8,,
347,Midwest_Atlantic,CLMB,CRAIN.5d,0,ok,nice,4N,,12.3M,5,2020-06-15,03.58.50,53,,
306,Midwest_Atlantic,KBSM,CRAIN.5d,10,signal,nice,"1K, 7K, 8N",,12.3M,1,2020-06-15,04.56.17,119,,
190,Midwest_Atlantic,LINC,CRAIN.5d,1,ok,nice,1K,,12.3M,0,2020-06-15,04.27.28,218,,
141,Midwest_Atlantic,STIL,CRAIN.5d,10,signal,,7K,,12.3M,1,2020-06-15,05.24.46,325,,
163,Midwest_Atlantic,TMPL,CRAIN.5d,10,signal,,,,12.3M,4,2020-06-15,05.53.25,372,,
172,Midwest_Atlantic,BRKG,EM1,1,signal,,,,12.3M,15,2020-06-15,09.02.24,15,,
347,Midwest_Atlantic,CLMB,EM1,100,signal,nice,lots,,12.3M,11,2020-06-15,10.15.31,65,,
302,Midwest_Atlantic,KBSM,EM1,10,signal,,,,12.3M,10,2020-06-15,13.09.57,130,,
193,Midwest_Atlantic,LINC,EM1,100,signal,centromere,Chr02K,,12.3M,11,2020-06-15,11.57.38,226,,
386,Midwest_Atlantic,PKLE,EM1,0,signal,nice,8K,,12.3M,14,2020-06-15,07.49.46,277,,
230,Midwest_Atlantic,STIL,EM1,0,ok,,,,12.3M,10,2020-06-15,14.23.15,332,,
120,Midwest_Atlantic,TMPL,EM1,0,low sig,,,,12.3M,4,2020-06-15,16.18.30,381,,
172,Midwest_Atlantic,BRKG,EM50,10,ok,,"6N, 9N",,12.3M,15,2020-06-15,09.16.46,19,,
347,Midwest_Atlantic,CLMB,EM50,10,signal,nice,,,12.3M,11,2020-06-15,10.30.16,71,,
309,Midwest_Atlantic,KBSM,EM50,10,signal,nice,"Chr05N, Chr08N",,12.3M,10,2020-06-15,13.24.36,136,,
193,Midwest_Atlantic,LINC,EM50,10,signal,centromere,"2K, 8K",,12.3M,12,2020-06-15,12.11.55,230,,
386,Midwest_Atlantic,PKLE,EM50,0,ok,,,,12.3M,14,2020-06-15,08.04.18,283,,
230,Midwest_Atlantic,STIL,EM50,1,ok,,,,12.3M,9,2020-06-15,14.37.49,337,,
106,Midwest_Atlantic,TMPL,EM50,0,low sig,,,,12.3M,2,2020-06-15,16.32.35,382,,
172,Midwest_Atlantic,BRKG,FL1,100,signal,nice,,,12.3M,5,2020-06-15,09.31.20,23,,
347,Midwest_Atlantic,CLMB,FL1,100,signal,nice,,,12.3M,13,2020-06-15,10.45.27,77,,
308,Midwest_Atlantic,KBSM,FL1,10,signal,nice,Chr05N,,12.3M,13,2020-06-15,13.39.25,142,,
193,Midwest_Atlantic,LINC,FL1,10,signal,centromere,2K,,12.3M,7,2020-06-15,12.26.25,234,,
385,Midwest_Atlantic,PKLE,FL1,10,signal,nice,2N,,12.3M,5,2020-06-15,08.18.55,289,,
215,Midwest_Atlantic,STIL,FL1,0,ok,,,,12.3M,9,2020-06-15,14.52.24,342,,
167,Midwest_Atlantic,TMPL,FL1,1,ok,,8N,,12.3M,4,2020-06-15,15.34.47,384,,
172,Midwest_Atlantic,BRKG,FL50,100,signal,nice,"6K, 8K, 9K",,12.3M,5,2020-06-15,01.19.51,27,,
308,Midwest_Atlantic,KBSM,FL50,10,ok,nice,Chr04N,,12.3M,13,2020-06-15,02.03.49,149,,
190,Midwest_Atlantic,LINC,FL50,0,ok,,,,12.3M,9,2020-06-15,01.49.18,238,,
383,Midwest_Atlantic,PKLE,FL50,1,ok,nice,"5N, 1N",,12.3M,14,2020-06-15,01.05.37,295,,
141,Midwest_Atlantic,STIL,FL50,10,signal,nice,8K,,12.3M,4,2020-06-15,02.18.15,346,,
167,Midwest_Atlantic,TMPL,FL50,0,ok,,,,12.3M,4,2020-06-15,02.32.27,389,,
173,Midwest_Atlantic,BRKG,GR1,10,ok,nice,,,12.3M,2,2020-06-15,09.45.49,31,,
348,Midwest_Atlantic,CLMB,GR1,10,signal,nice,,,12.3M,4,2020-06-15,11.00.14,89,,
309,Midwest_Atlantic,KBSM,GR1,1,ok,,,,12.3M,4,2020-06-15,13.53.59,154,,
106,Midwest_Atlantic,KING,GR1,0,low sig,,,,12.3M,4,2020-06-15,11.28.57,196,,
194,Midwest_Atlantic,LINC,GR1,0,low sig,,,,12.3M,11,2020-06-15,12.41.02,242,,
390,Midwest_Atlantic,PKLE,GR1,1,signal,,,,12.3M,4,2020-06-15,08.33.20,301,,
234,Midwest_Atlantic,STIL,GR1,1,signal,,,,12.3M,0,2020-06-15,15.06.26,350,,
174,Midwest_Atlantic,TMPL,GR1,1,ok,,,,12.3M,6,2020-06-15,15.49.26,394,,
160,Midwest_Atlantic,BRKG,GR100,0,signal,,,,12.3M,2,2020-06-15,10.00.28,38,,
348,Midwest_Atlantic,CLMB,GR100,10,signal,nice,"2K, 8N, 9N",,12.3M,4,2020-06-15,11.14.40,101,,
304,Midwest_Atlantic,KBSM,GR100,0,low sig,,,,12.3M,2,2020-06-15,14.08.44,167,,
102,Midwest_Atlantic,KING,GR100,0,low sig,,,,12.3M,4,2020-06-15,11.43.17,204,,
190,Midwest_Atlantic,LINC,GR100,0,low sig,,,,12.3M,4,2020-06-15,12.55.19,250,,
387,Midwest_Atlantic,PKLE,GR100,1,signal,nice,4K,,12.3M,5,2020-06-15,08.47.44,313,,
224,Midwest_Atlantic,STIL,GR100,0,low sig,,,,12.3M,7,2020-06-15,15.20.41,360,,
165,Midwest_Atlantic,TMPL,GR100,0,low sig,,,,12.3M,4,2020-06-15,16.03.53,404,,
167,Midwest_Atlantic,BRKG,GR50,10,ok,nice,5N,,12.3M,2,2020-06-14,23.24.39,34,,
307,Midwest_Atlantic,KBSM,GR50,0,ok,,,,12.3M,4,2020-06-15,00.22.56,161,,
103,Midwest_Atlantic,KING,GR50,0,low sig,,,,12.3M,4,2020-06-14,23.54.21,200,,
194,Midwest_Atlantic,LINC,GR50,1,signal,nice,Chr05N,,12.3M,4,2020-06-15,00.08.32,246,,
389,Midwest_Atlantic,PKLE,GR50,1,ok,,,,12.3M,4,2020-06-14,23.09.51,307,,
231,Midwest_Atlantic,STIL,GR50,0,low sig,,,,12.3M,0,2020-06-15,00.36.56,355,,
168,Midwest_Atlantic,TMPL,GR50,1,signal,,Chr06K,,12.3M,10,2020-06-15,00.51.01,399,,
167,Midwest_Atlantic,BRKG,PTT.12C,10,ok,nice,,,12.3M,7,2020-06-15,06.22.34,42,,
347,Midwest_Atlantic,CLMB,PTT.12C,100,signal,nice,"5N, 7K, 2N",,12.3M,15,2020-06-15,06.37.20,107,,
306,Midwest_Atlantic,KBSM,PTT.12C,100,ok,nice,"2K, 4N, 5N",,12.3M,13,2020-06-15,07.06.35,173,,
190,Midwest_Atlantic,LINC,PTT.12C,0,ok,,,,12.3M,9,2020-06-15,06.51.53,254,,
382,Midwest_Atlantic,PKLE,PTT.12C,10,signal,nice,1N,,12.3M,14,2020-06-15,06.07.53,319,,
141,Midwest_Atlantic,STIL,PTT.12C,100,signal,nice,"4N, 6K, 6N, 8K",,12.3M,4,2020-06-15,07.21.08,364,,
163,Midwest_Atlantic,TMPL,PTT.12C,1,ok,,,,12.3M,4,2020-06-15,07.35.21,409,,
111,Midwest_Gulf,BRKG,CGDD.12C,1,ok,,,,12.1M,12,2020-06-12,16.00.54,2,,Midwest_Gulf
267,Midwest_Gulf,CLMB,CGDD.12C,10,signal,nice,5N,,12.1M,15,2020-06-12,16.15.08,46,,"CGDD_12C, FL50 8 sites"
299,Midwest_Gulf,KBSM,CGDD.12C,100,signal,nice,lots,,12.1M,8,2020-06-12,16.59.16,112,,
135,Midwest_Gulf,KING,CGDD.12C,1,signal,,,,12.1M,4,2020-06-12,16.29.50,176,,
132,Midwest_Gulf,LINC,CGDD.12C,100,signal,nice,"Chr04K, Chr05N, 8K",,12.1M,6,2020-06-12,16.44.31,212,,
304,Midwest_Gulf,PKLE,CGDD.12C,100,signal,centromere,"Chr02N, 4K",,12.1M,5,2020-06-12,15.47.12,258,,
135,Midwest_Gulf,STIL,CGDD.12C,0,low sig,,,,12.1M,11,2020-06-12,17.13.30,321,,
254,Midwest_Gulf,TMPL,CGDD.12C,0,ok,,,,12.1M,12,2020-06-12,17.27.48,369,,
111,Midwest_Gulf,BRKG,CRAIN,10,signal,nice,,,12.1M,8,2020-06-12,21.54.03,10,,
267,Midwest_Gulf,CLMB,CRAIN,10,signal,nice,Chr05N,,12.1M,14,2020-06-12,22.22.05,58,,
299,Midwest_Gulf,KBSM,CRAIN,10,signal,,"2K, 3N, 6K, 8N",,12.1M,7,2020-06-12,23.43.35,124,,
135,Midwest_Gulf,KING,CRAIN,1,signal,,,,12.1M,4,2020-06-12,22.49.33,182,,
132,Midwest_Gulf,LINC,CRAIN,0,low sig,,,,12.1M,5,2020-06-12,23.16.04,220,,
304,Midwest_Gulf,PKLE,CRAIN,0,ok,,,,12.1M,15,2020-06-12,21.26.13,270,,
135,Midwest_Gulf,STIL,CRAIN,0,low sig,,,,12.1M,1,2020-06-13,00.10.45,327,,
111,Midwest_Gulf,BRKG,CRAIN.5d,10,ok,nice,3N,,12.1M,1,2020-06-12,22.07.56,6,,
267,Midwest_Gulf,CLMB,CRAIN.5d,0,ok,nice,4N,,12.1M,2,2020-06-12,22.36.08,52,,
299,Midwest_Gulf,KBSM,CRAIN.5d,0,low sig,,,,12.1M,2,2020-06-12,23.57.24,118,,
135,Midwest_Gulf,KING,CRAIN.5d,10,signal,messy,,,12.1M,0,2020-06-12,23.02.51,179,,
132,Midwest_Gulf,LINC,CRAIN.5d,1,signal,,,,12.1M,6,2020-06-12,23.29.44,216,,
135,Midwest_Gulf,STIL,CRAIN.5d,1,ok,,,,12.1M,1,2020-06-13,00.24.08,324,,
254,Midwest_Gulf,TMPL,CRAIN.5d,1,signal,,,,12.1M,1,2020-06-13,00.52.17,374,,
139,Midwest_Gulf,BRKG,EM1,1,signal,nice,5N,,12.1M,15,2020-06-13,04.10.32,14,,
268,Midwest_Gulf,CLMB,EM1,0,low sig,,,,12.1M,14,2020-06-13,05.07.12,64,,
310,Midwest_Gulf,KBSM,EM1,10,ok,,4K,,12.1M,13,2020-06-13,08.40.12,131,,
214,Midwest_Gulf,KING,EM1,0,low sig,nice,"3K, 9K",,12.1M,2,2020-06-13,06.18.59,185,,
136,Midwest_Gulf,LINC,EM1,1,signal,,,,12.1M,15,2020-06-13,07.30.12,224,,
348,Midwest_Gulf,PKLE,EM1,1,signal,nice,3N,,12.1M,14,2020-06-13,02.59.17,276,,
293,Midwest_Gulf,STIL,EM1,0,ok,nice,4K,,12.1M,12,2020-06-13,09.51.39,333,,
268,Midwest_Gulf,CLMB,EM50,1,signal,,,,12.1M,14,2020-06-13,05.21.13,70,,
314,Midwest_Gulf,KBSM,EM50,10,signal,,,,12.1M,11,2020-06-13,08.54.32,137,,
208,Midwest_Gulf,KING,EM50,1,signal,,,,12.1M,11,2020-06-13,06.32.40,188,,
136,Midwest_Gulf,LINC,EM50,0,ok,,,,12.1M,15,2020-06-13,07.44.05,228,,
348,Midwest_Gulf,PKLE,EM50,10,signal,nice,3N 7K,,12.1M,14,2020-06-13,03.13.31,282,,
293,Midwest_Gulf,STIL,EM50,10,signal,nice,"1N, 6N",,12.1M,12,2020-06-13,10.05.42,338,,
139,Midwest_Gulf,BRKG,FL1,0,low sig,,,,12.1M,15,2020-06-13,04.39.05,22,,
268,Midwest_Gulf,CLMB,FL1,0,ok,,,,12.1M,14,2020-06-13,05.35.46,76,,
314,Midwest_Gulf,KBSM,FL1,1,signal,nice,Chr04K,,12.1M,15,2020-06-13,09.08.58,143,,
194,Midwest_Gulf,KING,FL1,1,ok,,,,12.1M,3,2020-06-13,06.46.45,191,,
330,Midwest_Gulf,PKLE,FL1,100,signal,nice,"6K, 7K, 8N",,12.1M,8,2020-06-13,03.27.45,288,,
248,Midwest_Gulf,STIL,FL1,0,ok,,,,12.1M,15,2020-06-13,10.19.40,343,,
255,Midwest_Gulf,TMPL,FL1,0,ok,,,,12.1M,12,2020-06-13,11.01.59,386,,
135,Midwest_Gulf,BRKG,FL50,0,low sig,,,,12.1M,15,2020-06-12,19.48.44,26,,
268,Midwest_Gulf,CLMB,FL50,0,ok,,,,12.1M,14,2020-06-12,20.03.29,82,,
307,Midwest_Gulf,KBSM,FL50,100,signal,nice,"Chr05N, Chr09K",,12.1M,11,2020-06-12,20.45.04,148,,
179,Midwest_Gulf,KING,FL50,1,signal,,,,12.1M,7,2020-06-12,20.17.34,194,,
133,Midwest_Gulf,LINC,FL50,10,signal,,,,12.1M,9,2020-06-12,20.31.10,236,,
305,Midwest_Gulf,PKLE,FL50,100,signal,centromere,2N,,12.1M,5,2020-06-12,19.34.49,294,,
137,Midwest_Gulf,STIL,FL50,0,low sig,,,,12.1M,11,2020-06-12,20.58.53,345,,
255,Midwest_Gulf,TMPL,FL50,1,ok,nice,Chr09K,,12.1M,12,2020-06-12,21.12.26,391,,
144,Midwest_Gulf,BRKG,GR1,0,ok,,,,12.1M,3,2020-06-13,04.53.12,30,,
317,Midwest_Gulf,KBSM,GR1,100,signal,nice,"Chr02N, 9K, 9N",,12.1M,9,2020-06-13,09.23.19,155,,
138,Midwest_Gulf,LINC,GR1,1,ok,,,,12.1M,3,2020-06-13,08.12.16,240,,
352,Midwest_Gulf,PKLE,GR1,0,ok,,,,12.1M,9,2020-06-13,03.42.00,300,,
295,Midwest_Gulf,STIL,GR1,1,signal,nice,Chr05N,,12.1M,11,2020-06-13,10.34.00,351,,
266,Midwest_Gulf,TMPL,GR1,10,signal,nice,Chr05K,,12.1M,13,2020-06-13,11.16.12,396,,
267,Midwest_Gulf,CLMB,GR100,10,ok,,,,12.1M,5,2020-06-13,06.04.47,100,,
279,Midwest_Gulf,KBSM,GR100,1,signal,,,,12.1M,6,2020-06-13,09.37.22,166,,
190,Midwest_Gulf,KING,GR100,10,signal,nice,"7K, 5N",,12.1M,9,2020-06-13,07.15.45,206,,
131,Midwest_Gulf,LINC,GR100,0,signal,nice,5K,,12.1M,3,2020-06-13,08.26.10,248,,
350,Midwest_Gulf,PKLE,GR100,1,ok,nice,2N,,12.1M,13,2020-06-13,03.56.18,312,,
288,Midwest_Gulf,STIL,GR100,1,low sig,,,,12.1M,6,2020-06-13,10.48.06,361,,
260,Midwest_Gulf,TMPL,GR100,1,ok,,,,12.1M,11,2020-06-13,11.30.21,406,,
112,Midwest_Gulf,BRKG,GR50,0,ok,,,,12.1M,3,2020-06-12,17.56.47,36,,
267,Midwest_Gulf,CLMB,GR50,100,signal,nice,"4N, 9N",,12.1M,5,2020-06-12,18.10.51,94,,
303,Midwest_Gulf,KBSM,GR50,10,signal,nice,9N,,12.1M,5,2020-06-12,18.52.38,160,,
137,Midwest_Gulf,LINC,GR50,0,low sig,,,,12.1M,3,2020-06-12,18.38.53,244,,
351,Midwest_Gulf,PKLE,GR50,1,signal,nice,2N,,12.1M,10,2020-06-12,17.42.28,306,,
292,Midwest_Gulf,STIL,GR50,10,ok,nice,Chr05N,,12.1M,1,2020-06-12,19.06.35,356,,
265,Midwest_Gulf,TMPL,GR50,0,ok,,,,12.1M,13,2020-06-12,19.20.33,401,,
111,Midwest_Gulf,BRKG,PTT.12C,1,signal,,,,12.1M,9,2020-06-13,01.20.15,40,,
267,Midwest_Gulf,CLMB,PTT.12C,10,signal,nice,Chr05N,,12.1M,15,2020-06-13,01.34.07,106,,
299,Midwest_Gulf,KBSM,PTT.12C,1000,signal,,lots,,12.1M,7,2020-06-13,02.16.55,172,,
135,Midwest_Gulf,KING,PTT.12C,1,signal,,,,12.1M,4,2020-06-13,01.48.14,209,,
304,Midwest_Gulf,PKLE,PTT.12C,100,signal,centromere,"2N, 4K",,12.1M,5,2020-06-13,01.06.20,318,,
135,Midwest_Gulf,STIL,PTT.12C,0,low sig,,,,12.1M,11,2020-06-13,02.31.03,363,,
254,Midwest_Gulf,TMPL,PTT.12C,0,ok,,,,12.1M,12,2020-06-13,02.45.03,411,,
