indv,subpop,site,phe,bonferroni,qqplot,notes,peak info,mash_decision,SNPs,PCs,date_run,time_run,plot order,,key
132,Midwest_Gulf,LINC,PTT.12C,1000,iffy,nice,"Chr05N, 4K, 8K",skip,12.1M,6,2020-06-13,02.02.17,252,,
304,Midwest_Gulf,PKLE,CRAIN.5d,100,iffy,nice,"9N, 7N, 8N",skip,12.1M,2,2020-06-12,21.40.11,264,,
382,Midwest_Atlantic,PKLE,CRAIN.5d,100,iffy,nice,"2N, 7N, 8N, 9N",skip,12.3M,1,2020-06-15,03.01.30,265,,
254,Midwest_Gulf,TMPL,CRAIN,1000,iffy,messy,,skip,12.1M,2,2020-06-13,00.38.07,379,,
297,Atlantic_Gulf,TMPL,CRAIN,1000,iffy,messy,,skip,11.5M,3,2020-06-16,01.41.47,380,,
,,,,,,,,,,,,,,,
indv,subpop,site,phe,bonferroni,qqplot,notes,peak info,mash_decision,SNPs,PCs,date_run,time_run,plot order,,key
228,Atlantic,CLMB,CGDD.12C,0,low sig,,,,10.6M,7,2020-06-14,07.00.48,45,,
198,Atlantic,KBSM,CGDD.12C,0,ok,,,,10.6M,6,2020-06-14,07.26.15,111,,
123,Atlantic,LINC,CGDD.12C,0,ok,,,,10.6M,3,2020-06-14,07.13.25,211,,
262,Atlantic,PKLE,CGDD.12C,10,ok,nice,1N,,10.6M,14,2020-06-14,06.34.49,257,,
103,Atlantic,TMPL,CGDD.12C,1,signal,,,,10.6M,3,2020-06-14,07.39.17,366,,
104,Atlantic,BRKG,CRAIN,100,signal,,,,10.6M,1,2020-06-14,11.04.48,9,,
198,Atlantic,KBSM,CRAIN,0,ok,,,,10.6M,3,2020-06-14,12.21.28,123,,
123,Atlantic,LINC,CRAIN,100,signal,nice,"2N, 5N, 6N, 8N",,10.6M,1,2020-06-14,11.55.45,219,,
262,Atlantic,PKLE,CRAIN,10,ok,nice,"3N, 7K",,10.6M,11,2020-06-14,10.39.10,269,,
103,Atlantic,TMPL,CRAIN,0,ok,,,,10.6M,3,2020-06-14,12.47.08,376,,
228,Atlantic,CLMB,CRAIN.5d,0,low sig,,,,10.6M,1,2020-06-14,11.43.01,51,,
198,Atlantic,KBSM,CRAIN.5d,0,ok,,,,10.6M,8,2020-06-14,12.34.24,117,,
123,Atlantic,LINC,CRAIN.5d,1,signal,nice,4N,,10.6M,3,2020-06-14,12.08.41,215,,
262,Atlantic,PKLE,CRAIN.5d,10,signal,nice,"3N, 7K",,10.6M,0,2020-06-14,10.51.59,263,,
103,Atlantic,TMPL,CRAIN.5d,10,signal,,,,10.6M,3,2020-06-14,12.59.55,371,,
109,Atlantic,BRKG,EM1,10,signal,nice,5N,,10.6M,7,2020-06-14,15.34.55,13,,
228,Atlantic,CLMB,EM1,0,ok,,,,10.6M,13,2020-06-14,16.26.20,63,,
197,Atlantic,KBSM,EM1,10,signal,,,,10.6M,13,2020-06-14,18.35.20,128,,
123,Atlantic,LINC,EM1,1,signal,,,,10.6M,8,2020-06-14,17.31.02,223,,
264,Atlantic,PKLE,EM1,1,signal,nice,"6K, 8K, 9K",,10.6M,11,2020-06-14,14.30.14,275,,
154,Atlantic,STIL,EM1,1,signal,nice,9N,,10.6M,7,2020-06-14,19.39.44,330,,
109,Atlantic,BRKG,EM50,1,low sig,,,,10.6M,7,2020-06-14,15.48.00,17,,
228,Atlantic,CLMB,EM50,1,ok,nice,"4N, 3K",,10.6M,13,2020-06-14,16.39.11,69,,
200,Atlantic,KBSM,EM50,100,signal,nice,,,10.6M,13,2020-06-14,18.48.23,134,,
123,Atlantic,LINC,EM50,1,ok,,,,10.6M,7,2020-06-14,17.43.55,227,,
264,Atlantic,PKLE,EM50,10,ok,nice,"8K, 9K",,10.6M,12,2020-06-14,14.43.18,281,,
154,Atlantic,STIL,EM50,0,ok,,,,10.6M,6,2020-06-14,19.52.51,335,,
109,Atlantic,BRKG,FL1,100,iffy,nice,"2K, 9K",,10.6M,3,2020-06-14,16.00.49,21,,
228,Atlantic,CLMB,FL1,0,ok,,,,10.6M,13,2020-06-14,16.52.15,75,,
199,Atlantic,KBSM,FL1,10,signal,nice,"9K, 6K",,10.6M,5,2020-06-14,19.01.31,140,,
123,Atlantic,LINC,FL1,1,signal,,,,10.6M,3,2020-06-14,17.56.45,231,,
263,Atlantic,PKLE,FL1,10,ok,nice,,,10.6M,15,2020-06-14,14.56.18,287,,
143,Atlantic,STIL,FL1,10,signal,nice,Chr05N,,10.6M,5,2020-06-14,20.05.37,340,,
106,Atlantic,TMPL,FL1,1,signal,,8N,,10.6M,3,2020-06-14,20.43.43,383,,
109,Atlantic,BRKG,FL50,100,iffy,nice,,,10.6M,3,2020-06-14,09.34.42,25,,
228,Atlantic,CLMB,FL50,0,ok,,,,10.6M,13,2020-06-14,09.47.41,81,,
199,Atlantic,KBSM,FL50,0,ok,,,,10.6M,5,2020-06-14,10.13.14,147,,
123,Atlantic,LINC,FL50,0,ok,,,,10.6M,3,2020-06-14,10.00.32,235,,
262,Atlantic,PKLE,FL50,1,ok,nice,"8K, 9K",,10.6M,14,2020-06-14,09.21.45,293,,
106,Atlantic,TMPL,FL50,1,ok,nice,Chr08N,,10.6M,3,2020-06-14,10.26.01,388,,
110,Atlantic,BRKG,GR1,0,low sig,,,,10.6M,3,2020-06-14,16.13.35,29,,
229,Atlantic,CLMB,GR1,10,signal,,,,10.6M,3,2020-06-14,17.05.06,87,,
200,Atlantic,KBSM,GR1,0,ok,,,,10.6M,3,2020-06-14,19.14.18,152,,
124,Atlantic,LINC,GR1,0,low sig,,,,10.6M,14,2020-06-14,18.09.40,239,,
265,Atlantic,PKLE,GR1,0,signal,,,,10.6M,3,2020-06-14,15.09.16,299,,
156,Atlantic,STIL,GR1,10,ok,,,,10.6M,0,2020-06-14,20.18.16,348,,
112,Atlantic,TMPL,GR1,1,ok,,,,10.6M,11,2020-06-14,20.56.31,393,,
229,Atlantic,CLMB,GR100,1,ok,,,,10.6M,3,2020-06-14,17.18.03,99,,
196,Atlantic,KBSM,GR100,0,low sig,,,,10.6M,1,2020-06-14,19.27.08,165,,
120,Atlantic,LINC,GR100,0,low sig,,,,10.6M,3,2020-06-14,18.22.25,247,,
264,Atlantic,PKLE,GR100,0,ok,,,,10.6M,3,2020-06-14,15.22.04,311,,
149,Atlantic,STIL,GR100,0,low sig,,,,10.6M,0,2020-06-14,20.30.59,358,,
105,Atlantic,TMPL,GR100,0,low sig,,,,10.6M,3,2020-06-14,21.09.27,403,,
104,Atlantic,BRKG,GR50,0,low sig,,,,10.6M,3,2020-06-14,08.04.48,35,,
229,Atlantic,CLMB,GR50,100,signal,,,,10.6M,3,2020-06-14,08.17.34,93,,
199,Atlantic,KBSM,GR50,0,low sig,,,,10.6M,3,2020-06-14,08.43.14,159,,
124,Atlantic,LINC,GR50,1,signal,nice,"Chr05N, Chr03K",,10.6M,5,2020-06-14,08.30.32,243,,
265,Atlantic,PKLE,GR50,1,ok,nice,9N,,10.6M,6,2020-06-14,07.52.03,305,,
154,Atlantic,STIL,GR50,0,low sig,,,,10.6M,0,2020-06-14,08.55.59,353,,
107,Atlantic,TMPL,GR50,1,ok,,Chr06K,,10.6M,11,2020-06-14,09.08.51,398,,
104,Atlantic,BRKG,PTT.12C,10,ok,,,,10.6M,1,2020-06-14,13.25.38,39,,
228,Atlantic,CLMB,PTT.12C,0,ok,,,,10.6M,7,2020-06-14,13.38.52,105,,
198,Atlantic,KBSM,PTT.12C,0,ok,,,,10.6M,7,2020-06-14,14.04.20,171,,
123,Atlantic,LINC,PTT.12C,0,low sig,,,,10.6M,5,2020-06-14,13.51.27,251,,
262,Atlantic,PKLE,PTT.12C,10,signal,,,,10.6M,14,2020-06-14,13.12.45,317,,
103,Atlantic,TMPL,PTT.12C,1,ok,,,,10.6M,3,2020-06-14,14.17.03,408,,
376,Atlantic_Gulf,CLMB,CGDD.12C,1,signal,nice,1N,,11.5M,12,2020-06-15,17.20.46,48,,
389,Atlantic_Gulf,KBSM,CGDD.12C,10,signal,nice,"2K, 5N, 7N",,11.5M,12,2020-06-15,18.02.35,114,,
172,Atlantic_Gulf,KING,CGDD.12C,0,ok,,,,11.5M,6,2020-06-15,17.34.37,177,,
188,Atlantic_Gulf,LINC,CGDD.12C,1,signal,,,,11.5M,12,2020-06-15,17.48.28,213,,
446,Atlantic_Gulf,PKLE,CGDD.12C,1000,ok,centromere,2N,,11.5M,9,2020-06-15,16.52.25,260,,
168,Atlantic_Gulf,STIL,CGDD.12C,0,low sig,,,,11.5M,12,2020-06-15,18.16.36,323,,
297,Atlantic_Gulf,TMPL,CGDD.12C,1,signal,nice,"3N, 8N",,11.5M,12,2020-06-15,18.30.27,370,,
376,Atlantic_Gulf,CLMB,CRAIN,10,signal,nice,7K,,11.5M,6,2020-06-15,23.24.00,60,,
389,Atlantic_Gulf,KBSM,CRAIN,10,signal,nice,"3N, 6K, 8N",,11.5M,8,2020-06-16,00.46.31,126,,
172,Atlantic_Gulf,KING,CRAIN,0,low sig,,,,11.5M,6,2020-06-15,23.51.46,183,,
188,Atlantic_Gulf,LINC,CRAIN,10,signal,nice,8N,,11.5M,3,2020-06-16,00.18.50,221,,
