site,phe,individuals,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot
CLMB,EM1,377,11.5M,13,2020-06-16,Atlantic_Gulf,06.23.03,,,,
CLMB,EM50,119,8.8M,8,2020-06-13,Midwest,16.20.22,10,nice,,
CLMB,EM50,149,10.3M,7,2020-06-14,Gulf,01.52.47,1,nice,,
CLMB,EM50,228,10.6M,13,2020-06-14,Atlantic,16.39.11,1,nice,,
CLMB,EM50,268,12.1M,14,2020-06-13,Midwest_Gulf,05.21.13,1,,,skip
CLMB,EM50,347,12.3M,11,2020-06-15,Midwest_Atlantic,10.30.16,10,nice,,
CLMB,EM50,377,11.5M,12,2020-06-16,Atlantic_Gulf,06.36.53,,,,
CLMB,FL1,119,8.8M,9,2020-06-13,Midwest,16.32.01,0,,,skip
CLMB,FL1,149,10.3M,7,2020-06-14,Gulf,02.05.30,0,,,skip
CLMB,FL1,228,10.6M,13,2020-06-14,Atlantic,16.52.15,0,,,skip
CLMB,FL1,268,12.1M,14,2020-06-13,Midwest_Gulf,05.35.46,0,,,skip
CLMB,FL1,347,12.3M,13,2020-06-15,Midwest_Atlantic,10.45.27,100,nice,,
CLMB,FL1,377,11.5M,12,2020-06-16,Atlantic_Gulf,06.51.01,,,,
CLMB,FL50,119,8.8M,9,2020-06-13,Midwest,13.05.54,1,nice,Chr08N,
CLMB,FL50,149,10.3M,13,2020-06-13,Gulf,20.39.37,0,,,skip
CLMB,FL50,228,10.6M,13,2020-06-14,Atlantic,09.47.41,0,,,skip
CLMB,FL50,268,12.1M,14,2020-06-12,Midwest_Gulf,20.03.29,0,,,skip
CLMB,FL50,347,12.3M,11,2020-06-15,Midwest_Atlantic,01.34.51,100,nice,lots,
CLMB,FL50,377,11.5M,12,2020-06-15,Atlantic_Gulf,21.04.28,,,,
CLMB,GR1,119,8.8M,2,2020-06-13,Midwest,16.43.23,,structure,,skip
CLMB,GR1,149,10.3M,7,2020-06-14,Gulf,02.18.15,100,nice,Chr09N,
CLMB,GR1,229,10.6M,3,2020-06-14,Atlantic,17.05.06,10,,,skip
CLMB,GR1,268,12.1M,3,2020-06-13,Midwest_Gulf,05.50.19,100,nice,lots,
CLMB,GR1,348,12.3M,4,2020-06-15,Midwest_Atlantic,11.00.14,10,nice,,
CLMB,GR1,378,11.5M,6,2020-06-16,Atlantic_Gulf,07.04.53,,,,
CLMB,GR100,119,8.8M,2,2020-06-13,Midwest,16.54.40,,structure,,skip
CLMB,GR100,148,10.3M,13,2020-06-14,Gulf,02.30.50,0,,,skip
CLMB,GR100,229,10.6M,3,2020-06-14,Atlantic,17.18.03,1,,,skip
CLMB,GR100,267,12.1M,5,2020-06-13,Midwest_Gulf,06.04.47,10,,,skip
CLMB,GR100,348,12.3M,4,2020-06-15,Midwest_Atlantic,11.14.40,10,nice,,
CLMB,GR100,377,11.5M,11,2020-06-16,Atlantic_Gulf,07.19.13,,,,
CLMB,GR50,119,8.8M,0,2020-06-13,Midwest,12.31.34,,structure,,skip
CLMB,GR50,148,10.3M,13,2020-06-13,Gulf,19.24.08,1,,,skip
CLMB,GR50,229,10.6M,3,2020-06-14,Atlantic,08.17.34,100,,,skip
CLMB,GR50,267,12.1M,5,2020-06-12,Midwest_Gulf,18.10.51,100,nice,,
CLMB,GR50,348,12.3M,2,2020-06-14,Midwest_Atlantic,23.39.41,1000,nice,lots,
CLMB,GR50,377,11.5M,8,2020-06-15,Atlantic_Gulf,19.12.40,,,,
CLMB,PTT.12C,119,8.8M,15,2020-06-13,Midwest,14.48.34,1,nice,Chr08N,
CLMB,PTT.12C,148,10.3M,2,2020-06-13,Gulf,23.45.57,0,,Chr05N,skip
CLMB,PTT.12C,228,10.6M,7,2020-06-14,Atlantic,13.38.52,0,,,skip
CLMB,PTT.12C,267,12.1M,15,2020-06-13,Midwest_Gulf,01.34.07,10,nice,Chr05N,
CLMB,PTT.12C,347,12.3M,15,2020-06-15,Midwest_Atlantic,06.37.20,100,nice,lots,
CLMB,PTT.12C,376,11.5M,12,2020-06-16,Atlantic_Gulf,02.38.21,,,,
KBSM,CGDD.12C,108,8.8M,8,2020-06-13,Midwest,12.08.46,1,nice,Chr04K,
KBSM,CGDD.12C,191,10.3M,4,2020-06-13,Gulf,18.45.57,100,nice,lots,
KBSM,CGDD.12C,198,10.6M,6,2020-06-14,Atlantic,07.26.15,0,,,skip
KBSM,CGDD.12C,299,12.1M,8,2020-06-12,Midwest_Gulf,16.59.16,100,nice,lots,
KBSM,CGDD.12C,306,12.3M,13,2020-06-14,Midwest_Atlantic,22.26.53,100,nice,,
KBSM,CGDD.12C,389,11.5M,12,2020-06-15,Atlantic_Gulf,18.02.35,,,,
KBSM,CRAIN.5d,108,8.8M,2,2020-06-13,Midwest,14.25.55,10,nice,"Chr02K, Chr04K",
KBSM,CRAIN.5d,191,10.3M,0,2020-06-13,Gulf,22.56.47,0,,,skip
KBSM,CRAIN.5d,198,10.6M,8,2020-06-14,Atlantic,12.34.24,0,,,skip
KBSM,CRAIN.5d,299,12.1M,2,2020-06-12,Midwest_Gulf,23.57.24,0,,,skip
KBSM,CRAIN.5d,306,12.3M,1,2020-06-15,Midwest_Atlantic,04.56.17,10,nice,,
KBSM,CRAIN.5d,389,11.5M,2,2020-06-16,Atlantic_Gulf,01.00.26,,,,
KBSM,CRAIN,108,8.8M,5,2020-06-13,Midwest,14.14.28,0,,,skip
KBSM,CRAIN,191,10.3M,7,2020-06-13,Gulf,22.44.43,100,nice,Chr08N,
KBSM,CRAIN,198,10.6M,3,2020-06-14,Atlantic,12.21.28,0,,,skip
