site,phe,indv,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot,qqplot,plot order,,key
CLMB,CRAIN.5d,347,12.3M,5,2020-06-15,Midwest_Atlantic,03.58.50,0,nice,4N,,ok,53,,
CLMB,CRAIN.5d,376,11.5M,3,2020-06-15,Atlantic_Gulf,23.38.03,0,,,skip,low sig,54,,
CLMB,CRAIN,119,8.8M,11,2020-06-13,Midwest,13.51.44,0,,,skip,ok,55,,
CLMB,CRAIN,148,10.3M,11,2020-06-13,Gulf,21.55.16,0,nice,Chr05N,,ok,56,,
CLMB,CRAIN,228,10.6M,2,2020-06-14,Atlantic,11.30.15,10,,,,iffy,57,,
CLMB,CRAIN,267,12.1M,14,2020-06-12,Midwest_Gulf,22.22.05,10,nice,Chr05N,,signal,58,,
CLMB,CRAIN,347,12.3M,15,2020-06-15,Midwest_Atlantic,03.44.28,10,,,,signal,59,,
CLMB,CRAIN,376,11.5M,6,2020-06-15,Atlantic_Gulf,23.24.00,10,nice,7K,,signal,60,,
CLMB,EM1,119,8.8M,6,2020-06-13,Midwest,16.08.45,0,centromere,6N,,ok,61,,
CLMB,EM1,149,10.3M,7,2020-06-14,Gulf,01.40.04,0,,,skip,low sig,62,,
CLMB,EM1,228,10.6M,13,2020-06-14,Atlantic,16.26.20,0,,,skip,ok,63,,
CLMB,EM1,268,12.1M,14,2020-06-13,Midwest_Gulf,05.07.12,0,,,skip,low sig,64,,
CLMB,EM1,347,12.3M,11,2020-06-15,Midwest_Atlantic,10.15.31,100,nice,lots,,signal,65,,
CLMB,EM1,377,11.5M,13,2020-06-16,Atlantic_Gulf,06.23.03,10,,,,signal,66,,
CLMB,EM50,119,8.8M,8,2020-06-13,Midwest,16.20.22,10,centromere,6N,,signal,67,,
CLMB,EM50,149,10.3M,7,2020-06-14,Gulf,01.52.47,1,nice,9N,,signal,68,,
CLMB,EM50,228,10.6M,13,2020-06-14,Atlantic,16.39.11,1,nice,"4N, 3K",,ok,69,,
CLMB,EM50,268,12.1M,14,2020-06-13,Midwest_Gulf,05.21.13,1,,,,signal,70,,
CLMB,EM50,347,12.3M,11,2020-06-15,Midwest_Atlantic,10.30.16,10,nice,,,signal,71,,
CLMB,EM50,377,11.5M,12,2020-06-16,Atlantic_Gulf,06.36.53,1,,,,signal,72,,
CLMB,FL1,119,8.8M,9,2020-06-13,Midwest,16.32.01,0,,,skip,ok,73,,
CLMB,FL1,149,10.3M,7,2020-06-14,Gulf,02.05.30,0,,,skip,low sig,74,,
CLMB,FL1,228,10.6M,13,2020-06-14,Atlantic,16.52.15,0,,,skip,ok,75,,
CLMB,FL1,268,12.1M,14,2020-06-13,Midwest_Gulf,05.35.46,0,,,skip,ok,76,,
CLMB,FL1,347,12.3M,13,2020-06-15,Midwest_Atlantic,10.45.27,100,nice,,,signal,77,,
CLMB,FL1,377,11.5M,12,2020-06-16,Atlantic_Gulf,06.51.01,1,,,,ok,78,,
CLMB,FL50,119,8.8M,9,2020-06-13,Midwest,13.05.54,1,nice,Chr08N,,signal,79,,
CLMB,FL50,149,10.3M,13,2020-06-13,Gulf,20.39.37,0,,,skip,low sig,80,,
CLMB,FL50,228,10.6M,13,2020-06-14,Atlantic,09.47.41,0,,,skip,ok,81,,
CLMB,FL50,268,12.1M,14,2020-06-12,Midwest_Gulf,20.03.29,0,,,skip,ok,82,,
CLMB,FL50,347,12.3M,11,2020-06-15,Midwest_Atlantic,01.34.51,100,nice,lots,,iffy,83,,
CLMB,FL50,377,11.5M,12,2020-06-15,Atlantic_Gulf,21.04.28,1,,,,signal,84,,
CLMB,GR1,119,8.8M,2,2020-06-13,Midwest,16.43.23,,structure,,skip,drop,85,,
CLMB,GR1,149,10.3M,7,2020-06-14,Gulf,02.18.15,100,nice; centromere,Chr09N,,signal,86,,
CLMB,GR1,229,10.6M,3,2020-06-14,Atlantic,17.05.06,10,,,,signal,87,,
CLMB,GR1,268,12.1M,3,2020-06-13,Midwest_Gulf,05.50.19,100,nice,lots,,iffy,88,,
CLMB,GR1,348,12.3M,4,2020-06-15,Midwest_Atlantic,11.00.14,10,nice,,,signal,89,,
CLMB,GR1,378,11.5M,6,2020-06-16,Atlantic_Gulf,07.04.53,100,,,,iffy,90,,
CLMB,GR50,119,8.8M,0,2020-06-13,Midwest,12.31.34,,structure,,skip,drop,91,,
CLMB,GR50,148,10.3M,13,2020-06-13,Gulf,19.24.08,1,,,,ok,92,,
CLMB,GR50,229,10.6M,3,2020-06-14,Atlantic,08.17.34,100,,,,signal,93,,
CLMB,GR50,267,12.1M,5,2020-06-12,Midwest_Gulf,18.10.51,100,nice,"4N, 9N",,signal,94,,
CLMB,GR50,348,12.3M,2,2020-06-14,Midwest_Atlantic,23.39.41,1000,nice,lots,,iffy,95,,
CLMB,GR50,377,11.5M,8,2020-06-15,Atlantic_Gulf,19.12.40,100,nice,"7K, 5K, 1K",,signal,96,,
CLMB,GR100,119,8.8M,2,2020-06-13,Midwest,16.54.40,,structure,,skip,drop,97,,
CLMB,GR100,148,10.3M,13,2020-06-14,Gulf,02.30.50,0,,,skip,ok,98,,
CLMB,GR100,229,10.6M,3,2020-06-14,Atlantic,17.18.03,1,,,,ok,99,,
CLMB,GR100,267,12.1M,5,2020-06-13,Midwest_Gulf,06.04.47,10,,,,ok,100,,
CLMB,GR100,348,12.3M,4,2020-06-15,Midwest_Atlantic,11.14.40,10,nice,"2K, 8N, 9N",,signal,101,,
CLMB,GR100,377,11.5M,11,2020-06-16,Atlantic_Gulf,07.19.13,0,,,skip,ok,102,,
CLMB,PTT.12C,119,8.8M,15,2020-06-13,Midwest,14.48.34,1,nice,Chr08N,,ok,103,,
CLMB,PTT.12C,148,10.3M,2,2020-06-13,Gulf,23.45.57,0,,Chr05N,,low sig,104,,
CLMB,PTT.12C,228,10.6M,7,2020-06-14,Atlantic,13.38.52,0,,,skip,ok,105,,
CLMB,PTT.12C,267,12.1M,15,2020-06-13,Midwest_Gulf,01.34.07,10,nice,Chr05N,,signal,106,,
CLMB,PTT.12C,347,12.3M,15,2020-06-15,Midwest_Atlantic,06.37.20,100,nice,"5N, 7K, 2N",,signal,107,,
CLMB,PTT.12C,376,11.5M,12,2020-06-16,Atlantic_Gulf,02.38.21,1,nice,1N,,ok,108,,
KBSM,CGDD.12C,108,8.8M,8,2020-06-13,Midwest,12.08.46,1,nice,Chr04K,,ok,109,,
KBSM,CGDD.12C,191,10.3M,4,2020-06-13,Gulf,18.45.57,100,nice,"8N, 4K, 1N",,signal,110,,
KBSM,CGDD.12C,198,10.6M,6,2020-06-14,Atlantic,07.26.15,0,,,skip,ok,111,,
KBSM,CGDD.12C,299,12.1M,8,2020-06-12,Midwest_Gulf,16.59.16,100,nice,lots,,signal,112,,
KBSM,CGDD.12C,306,12.3M,13,2020-06-14,Midwest_Atlantic,22.26.53,100,nice,,,ok,113,,
KBSM,CGDD.12C,389,11.5M,12,2020-06-15,Atlantic_Gulf,18.02.35,10,nice,"2K, 5N, 7N",,signal,114,,
