"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.999931804547672,0.536503473620821,0.462918401442607,-0.00135558567903172,0.646992957960086,0.191441736315681,0.523888621622073,0.386539011939358
"MO",0.536503473620821,0.999931804547672,0.322029612360175,0.105830010060608,0.419997745437874,0.315289824209367,0.599198855405801,0.444457252681379
"NE",0.462918401442607,0.322029612360175,0.999931804547672,0.00645218295938567,0.560509008024608,0.183969526258414,0.553654560816989,0.542036970251495
"OK",-0.00135558567903172,0.105830010060608,0.00645218295938567,0.999931804547672,-0.0895402132693811,-0.195153663990286,-0.0970197961314655,-0.0939673125540596
"SD",0.646992957960086,0.419997745437874,0.560509008024608,-0.0895402132693811,0.999931804547672,0.221730044085311,0.584928372233775,0.618184782485095
"TX1",0.191441736315681,0.315289824209367,0.183969526258414,-0.195153663990286,0.221730044085311,0.999931804547672,0.647531966013736,0.648860157331466
"TX2",0.523888621622073,0.599198855405801,0.553654560816989,-0.0970197961314655,0.584928372233775,0.647531966013736,0.999931804547672,0.788117099281032
"TX3",0.386539011939358,0.444457252681379,0.542036970251495,-0.0939673125540596,0.618184782485095,0.648860157331466,0.788117099281032,0.999931804547672
