"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.219996301244871,0.058029920811708,-0.160108256808178,-0.186185941529012,-0.103772009479464,-0.166579327027077,0.16825869631528,0.202737039592963
"MO",0.058029920811708,0.0153069469366436,-0.0422328439673974,-0.0491115322486984,-0.0273726488058648,-0.0439397621757709,0.0443827408361238,0.0534773279669129
"NE",-0.160108256808178,-0.0422328439673974,0.116523113130072,0.135501853311702,0.0755228858359092,0.121232609456003,-0.122454815864702,-0.147547362460198
"OK",-0.186185941529012,-0.0491115322486984,0.135501853311702,0.157571762010943,0.0878237005802474,0.140978410392836,-0.142399684070301,-0.171579187403726
"SD",-0.103772009479464,-0.0273726488058648,0.0755228858359092,0.0878237005802474,0.0489491409195088,0.0785752824275699,-0.0793674390443349,-0.095630835043277
"TX1",-0.166579327027077,-0.0439397621757709,0.121232609456003,0.140978410392836,0.0785752824275699,0.126132448753798,-0.127404052886576,-0.153510760988964
"TX2",0.16825869631528,0.0443827408361238,-0.122454815864702,-0.142399684070301,-0.0793674390443349,-0.127404052886576,0.128688476694913,0.155058379544126
"TX3",0.202737039592963,0.0534773279669129,-0.147547362460198,-0.171579187403726,-0.095630835043277,-0.153510760988964,0.155058379544126,0.186831810309251
