Value,Estimate,SE,Phenotype,Subpop,Garden_1,Garden_2,loglik
h2_garden1,0.8662790398070923,0.04086904543678913,FL50,Gulf,OK,SD,-485.28670157539295
h2_garden2,0.881642901332847,0.03722933612499222,FL50,Gulf,OK,SD,-485.28670157539295
r_G,0.888385012049551,0.051097455465576015,FL50,Gulf,OK,SD,-485.28670157539295
h2_garden1,0.8526279444470759,0.031825613557623415,FL50,Gulf,MO,NE,-818.4591053790741
h2_garden2,0.17950858364553807,0.15746717213416006,FL50,Gulf,MO,NE,-818.4591053790741
r_G,0.6422828037283311,0.24738823287858602,FL50,Gulf,MO,NE,-818.4591053790741
h2_garden1,0.7042407098170372,0.0624248634357699,FL50,Gulf,MO,MI,-1227.8572608013633
h2_garden2,0.8931914890135378,0.020072589217839307,FL50,Gulf,MO,MI,-1227.8572608013633
r_G,0.5944994059838781,0.06675480434985663,FL50,Gulf,MO,MI,-1227.8572608013633
h2_garden1,0.846993549647355,0.03569560487140955,FL50,Gulf,MO,SD,-750.45454524609
h2_garden2,0.8278050509981083,0.050797141925184135,FL50,Gulf,MO,SD,-750.45454524609
r_G,0.6009683986523797,0.09690320063308348,FL50,Gulf,MO,SD,-750.45454524609
h2_garden1,0.4093584565672147,0.13560813425637794,FL50,Gulf,NE,MI,-892.490874371682
h2_garden2,0.8878125904726135,0.021710346879190826,FL50,Gulf,NE,MI,-892.490874371682
r_G,0.9549721127268562,0.11253252652496996,FL50,Gulf,NE,MI,-892.490874371682
h2_garden1,0.1624180304618892,0.10931796412591596,FL50,Gulf,NE,SD,-381.34790969302003
h2_garden2,0.8588947173069673,0.03739956606986197,FL50,Gulf,NE,SD,-381.34790969302003
r_G,0.9958885261957864,0.10929958075681297,FL50,Gulf,NE,SD,-381.34790969302003
h2_garden1,0.8905844105918538,0.020893990090608272,FL50,Gulf,MI,SD,-829.1755464488577
h2_garden2,0.6418298547589961,0.09806419073715299,FL50,Gulf,MI,SD,-829.1755464488577
r_G,0.8122439736903732,0.06561592865103358,FL50,Gulf,MI,SD,-829.1755464488577
h2_garden1,0.5340262204210475,0.1047207962818637,GR50,Gulf,TX1,TX2,-1053.166419508477
h2_garden2,0.8559673139905298,0.025320317125049976,GR50,Gulf,TX1,TX2,-1053.166419508477
r_G,0.7956336087742868,0.10386450328460987,GR50,Gulf,TX1,TX2,-1053.166419508477
h2_garden1,0.36058806366151386,0.09822553740499844,GR50,Gulf,TX1,TX3,-938.516564706998
h2_garden2,0.7787056553162414,0.04677353517293243,GR50,Gulf,TX1,TX3,-938.516564706998
r_G,0.9186514517719317,0.12500633856948656,GR50,Gulf,TX1,TX3,-938.516564706998
h2_garden1,0.5522366006743628,0.10454274576372688,GR50,Gulf,TX1,OK,-736.5161314194606
h2_garden2,0.013158411271996023,0.0611492976433618,GR50,Gulf,TX1,OK,-736.5161314194606
r_G,-0.2922464618787155,1.8536158715347146,GR50,Gulf,TX1,OK,-736.5161314194606
h2_garden1,0.5267792085475959,0.11016600456099099,GR50,Gulf,TX1,MO,-952.6280417138644
h2_garden2,0.940711386090218,0.014015485640174496,GR50,Gulf,TX1,MO,-952.6280417138644
r_G,-0.27653189316962207,0.1585011034072087,GR50,Gulf,TX1,MO,-952.6280417138644
h2_garden1,0.5296801824371448,0.11123211645033933,GR50,Gulf,TX1,NE,-591.3969456055158
h2_garden2,0.35546827623501137,0.23148848835793417,GR50,Gulf,TX1,NE,-591.3969456055158
r_G,-0.10532714291084765,0.4295454447737139,GR50,Gulf,TX1,NE,-591.3969456055158
h2_garden1,0.5437538396517703,0.10452771180178846,GR50,Gulf,TX1,MI,-943.8025352331717
h2_garden2,0.5785826718171528,0.07241353053796695,GR50,Gulf,TX1,MI,-943.8025352331717
r_G,-0.1245775185732153,0.21043210688334152,GR50,Gulf,TX1,MI,-943.8025352331717
h2_garden1,0.5268467263910191,0.10926472171704993,GR50,Gulf,TX1,SD,-517.5766309209253
h2_garden2,0.7055010569781415,0.10391651936618271,GR50,Gulf,TX1,SD,-517.5766309209253
r_G,-0.37368978076299336,0.29015671794994896,GR50,Gulf,TX1,SD,-517.5766309209253
h2_garden1,0.8532460382523275,0.02609134207626161,GR50,Gulf,TX2,TX3,-1270.4030828344564
h2_garden2,0.7689179197689359,0.04912001400180425,GR50,Gulf,TX2,TX3,-1270.4030828344564
r_G,0.6721807633609039,0.07949683183858974,GR50,Gulf,TX2,TX3,-1270.4030828344564
h2_garden1,0.8585044332071575,0.02496221831055135,GR50,Gulf,TX2,OK,-1073.4985712433947
h2_garden2,0.009512239174924527,0.10722226763762599,GR50,Gulf,TX2,OK,-1073.4985712433947
r_G,-0.9981970160973486,6.217799929914295,GR50,Gulf,TX2,OK,-1073.4985712433947
h2_garden1,0.8557310317523967,0.025598790110783188,GR50,Gulf,TX2,MO,-1285.9033363942392
h2_garden2,0.9403112754793588,0.014240088536928893,GR50,Gulf,TX2,MO,-1285.9033363942392
r_G,-0.360238545188137,0.09240450977330472,GR50,Gulf,TX2,MO,-1285.9033363942392
h2_garden1,0.8578532053250671,0.025102287480278703,GR50,Gulf,TX2,NE,-927.1276379881583
h2_garden2,0.36085640398575985,0.23967254739489655,GR50,Gulf,TX2,NE,-927.1276379881583
r_G,-0.5071063754265867,0.30003104713124756,GR50,Gulf,TX2,NE,-927.1276379881583
h2_garden1,0.851699437989082,0.026114966396113527,GR50,Gulf,TX2,MI,-1277.7648435093708
h2_garden2,0.5567299789019955,0.07518380119548916,GR50,Gulf,TX2,MI,-1277.7648435093708
r_G,-0.36569996202116345,0.12092130392264211,GR50,Gulf,TX2,MI,-1277.7648435093708
h2_garden1,0.8591123721819873,0.024822714375519573,GR50,Gulf,TX2,SD,-854.2399318973523
h2_garden2,0.7241129450015935,0.09585574642604049,GR50,Gulf,TX2,SD,-854.2399318973523
r_G,-0.37000378338133066,0.18872346986323907,GR50,Gulf,TX2,SD,-854.2399318973523
h2_garden1,0.7902724790996032,0.04428990845605823,GR50,Gulf,TX3,OK,-957.5732691381186
h2_garden2,0.04867770297702666,0.09273004810423767,GR50,Gulf,TX3,OK,-957.5732691381186
r_G,0.28311120957410635,0.4898953864237477,GR50,Gulf,TX3,OK,-957.5732691381186
h2_garden1,0.787505734603303,0.04470115104578478,GR50,Gulf,TX3,MO,-1173.8980274520984
h2_garden2,0.9406239726297898,0.014051504990583566,GR50,Gulf,TX3,MO,-1173.8980274520984
r_G,-0.17336944453735853,0.1045609981606941,GR50,Gulf,TX3,MO,-1173.8980274520984
h2_garden1,0.7905896974010758,0.0439891638558145,GR50,Gulf,TX3,NE,-811.3601000091041
h2_garden2,0.10829901484841042,0.13988339285254792,GR50,Gulf,TX3,NE,-811.3601000091041
r_G,-0.3130557843759648,0.46008336573330544,GR50,Gulf,TX3,NE,-811.3601000091041
h2_garden1,0.7903887726195589,0.04377102446831255,GR50,Gulf,TX3,MI,-1164.2154342105696
h2_garden2,0.5761867698710131,0.07282857418242211,GR50,Gulf,TX3,MI,-1164.2154342105696
r_G,-0.1860722510793988,0.12569902924289672,GR50,Gulf,TX3,MI,-1164.2154342105696
h2_garden1,0.7887442469896778,0.04431850679805454,GR50,Gulf,TX3,SD,-738.549910889079
h2_garden2,0.7142912092581402,0.09987715577902483,GR50,Gulf,TX3,SD,-738.549910889079
r_G,-0.2954194208093165,0.18034273503862686,GR50,Gulf,TX3,SD,-738.549910889079
h2_garden1,0.030559221972321332,0.08115119463496916,GR50,Gulf,OK,MO,-953.6605587164057
h2_garden2,0.9390802676281843,0.01451360918515797,GR50,Gulf,OK,MO,-953.6605587164057
r_G,0.6040755956053231,1.1154114168445246,GR50,Gulf,OK,MO,-953.6605587164057
h2_garden1,0.09886571344349258,0.19705439827042395,GR50,Gulf,OK,NE,-592.1503636410879
h2_garden2,0.11961060839759108,0.16560565459651772,GR50,Gulf,OK,NE,-592.1503636410879
r_G,0.16509975454470607,1.5926025646390092,GR50,Gulf,OK,NE,-592.1503636410879
h2_garden1,0.017259510853280466,0.05975924087215612,GR50,Gulf,OK,MI,-944.489846783763
h2_garden2,0.5796769105494887,0.0724231307922788,GR50,Gulf,OK,MI,-944.489846783763
r_G,0.5265287042949266,1.3504915271330393,GR50,Gulf,OK,MI,-944.489846783763
h2_garden1,0.15341801279236453,0.19455928412333426,GR50,Gulf,OK,SD,-525.9988971952663
h2_garden2,0.0014520322719236136,0.23991923794591719,GR50,Gulf,OK,SD,-525.9988971952663
r_G,-0.11429694458218143,10.532003902362085,GR50,Gulf,OK,SD,-525.9988971952663
h2_garden1,0.9412417951875455,0.01390687109946785,GR50,Gulf,MO,NE,-805.0705375287517
h2_garden2,0.3761463702928276,0.15992379381540944,GR50,Gulf,MO,NE,-805.0705375287517
r_G,0.8566585607550034,0.1960493579158874,GR50,Gulf,MO,NE,-805.0705375287517
h2_garden1,0.9398821874808756,0.014256992941336822,GR50,Gulf,MO,MI,-1148.095921924076
h2_garden2,0.5444432865482423,0.07805832728956814,GR50,Gulf,MO,MI,-1148.095921924076
r_G,0.5856443816823294,0.10446289540950478,GR50,Gulf,MO,MI,-1148.095921924076
h2_garden1,0.9408577514497409,0.01396364249928529,GR50,Gulf,MO,SD,-734.6436823721073
h2_garden2,0.7917966945733712,0.07461553330874754,GR50,Gulf,MO,SD,-734.6436823721073
r_G,0.6174683371097162,0.14124733905201192,GR50,Gulf,MO,SD,-734.6436823721073
h2_garden1,0.22157468409639938,0.16779086646014857,GR50,Gulf,NE,MI,-797.9043559270322
h2_garden2,0.5771343947589875,0.07257987266212579,GR50,Gulf,NE,MI,-797.9043559270322
r_G,0.6193792051264727,0.3562100607474028,GR50,Gulf,NE,MI,-797.9043559270322
h2_garden1,0.16358964891664868,0.16687993636942217,GR50,Gulf,NE,SD,-373.3865805144852
h2_garden2,0.733057246326736,0.0923073233007957,GR50,Gulf,NE,SD,-373.3865805144852
r_G,0.4051165975004178,0.5341527709469821,GR50,Gulf,NE,SD,-373.3865805144852
h2_garden1,0.5903849913729206,0.0700019214990857,GR50,Gulf,MI,SD,-726.4407221704909
h2_garden2,0.7423633167756598,0.08811807460545414,GR50,Gulf,MI,SD,-726.4407221704909
r_G,0.3855340925016029,0.2723832106923188,GR50,Gulf,MI,SD,-726.4407221704909
h2_garden1,0.9999932096809031,2.006363909612405e-6,FL50,Midwest,TX1,MO,-440.4356878675479
h2_garden2,0.747711207759632,0.1089429233957641,FL50,Midwest,TX1,MO,-440.4356878675479
r_G,0.015203078440101842,0.49582931673965064,FL50,Midwest,TX1,MO,-440.4356878675479
h2_garden1,0.999996626449825,9.988915848575972e-7,FL50,Midwest,TX1,NE,-278.96533913281377
h2_garden2,0.9999996790625724,5.596337950269341e-8,FL50,Midwest,TX1,NE,-278.96533913281377
r_G,-0.007653520220487191,0.5827288689216135,FL50,Midwest,TX1,NE,-278.96533913281377
h2_garden1,0.9628866420571431,0.06950083169287777,FL50,Midwest,TX2,TX3,-593.8285961523413
h2_garden2,0.9956614328493373,0.5126733012313279,FL50,Midwest,TX2,TX3,-593.8285961523413
r_G,0.6543504787498499,0.25469023207627434,FL50,Midwest,TX2,TX3,-593.8285961523413
h2_garden1,0.9600655956710828,0.04052033485946866,FL50,Midwest,TX2,OK,-547.1135273741584
h2_garden2,0.976901940708924,0.5621070615825448,FL50,Midwest,TX2,OK,-547.1135273741584
r_G,0.6010896970322279,0.36099712270623224,FL50,Midwest,TX2,OK,-547.1135273741584
h2_garden1,0.851511730009605,0.17249095394790667,FL50,Midwest,TX2,MO,-726.361193634456
h2_garden2,0.7796467477777387,0.09607920368958438,FL50,Midwest,TX2,MO,-726.361193634456
r_G,0.40146608102554915,0.19971993127189827,FL50,Midwest,TX2,MO,-726.361193634456
h2_garden1,0.9666170053256508,0.03374660592147352,FL50,Midwest,TX2,NE,-572.149492232895
h2_garden2,0.9733536079182602,0.5489711055872964,FL50,Midwest,TX2,NE,-572.149492232895
r_G,0.4006716003807783,0.2480510347965434,FL50,Midwest,TX2,NE,-572.149492232895
h2_garden1,0.9612925510688304,0.039125856993556425,FL50,Midwest,TX2,MI,-701.9672393270512
h2_garden2,0.9763351922289342,0.2876269308625739,FL50,Midwest,TX2,MI,-701.9672393270512
r_G,0.5102182055838534,0.17270320549685372,FL50,Midwest,TX2,MI,-701.9672393270512
h2_garden1,0.9583028475180175,0.04295650580889362,FL50,Midwest,TX2,SD,-542.1630734092234
h2_garden2,0.999910952834047,0.439239318204264,FL50,Midwest,TX2,SD,-542.1630734092234
r_G,0.4236314951523025,0.3400948464854051,FL50,Midwest,TX2,SD,-542.1630734092234
h2_garden1,0.7009650712699407,0.8020012303848612,FL50,Midwest,TX3,OK,-407.0589907125375
h2_garden2,0.3652909046100794,0.8715883192316617,FL50,Midwest,TX3,OK,-407.0589907125375
r_G,0.005315731138938841,1.2517975362082248,FL50,Midwest,TX3,OK,-407.0589907125375
h2_garden1,0.7681135574257577,0.7573159625865378,FL50,Midwest,TX3,SD,-399.1418113186416
h2_garden2,0.7612877386665434,0.5064086335663796,FL50,Midwest,TX3,SD,-399.1418113186416
r_G,-4.524047002677639e-19,3.1619812085072467e-19,FL50,Midwest,TX3,SD,-399.1418113186416
h2_garden1,0.7077141664715455,0.4029338985018387,FL50,Midwest,OK,MO,-513.4070274838864
h2_garden2,0.7493154778876948,0.10827501558914576,FL50,Midwest,OK,MO,-513.4070274838864
r_G,0.8787205690519412,0.17056002072443366,FL50,Midwest,OK,MO,-513.4070274838864
h2_garden1,0.7277617294906306,0.6026680795514351,FL50,Midwest,OK,NE,-358.40582033276536
h2_garden2,0.9994308501269858,0.5266000164945589,FL50,Midwest,OK,NE,-358.40582033276536
r_G,0.9995150426961856,0.21687138735437392,FL50,Midwest,OK,NE,-358.40582033276536
h2_garden1,0.6857761434202485,0.5431600623874503,FL50,Midwest,OK,MI,-490.27553172275987
h2_garden2,0.9999688182364087,0.3451235369097641,FL50,Midwest,OK,MI,-490.27553172275987
r_G,0.9994049695318861,0.2896016929392489,FL50,Midwest,OK,MI,-490.27553172275987
h2_garden1,0.7332019308431109,0.11548395518787422,FL50,Midwest,MO,NE,-528.2067907624303
h2_garden2,0.9869388520791217,0.35522377232740143,FL50,Midwest,MO,NE,-528.2067907624303
r_G,0.9999318062799555,0.1853860684586749,FL50,Midwest,MO,NE,-528.2067907624303
h2_garden1,0.778104975267043,0.09431941610433654,FL50,Midwest,MO,MI,-646.707649094838
h2_garden2,0.9998334519097997,0.23457472987142614,FL50,Midwest,MO,MI,-646.707649094838
r_G,0.9692732333964513,0.061278920079312266,FL50,Midwest,MO,MI,-646.707649094838
h2_garden1,0.7270790376532031,0.11852753316551452,FL50,Midwest,MO,SD,-499.47238250388784
h2_garden2,0.9939833374642365,0.32736593872986497,FL50,Midwest,MO,SD,-499.47238250388784
r_G,0.9983511984326443,0.14139102323826572,FL50,Midwest,MO,SD,-499.47238250388784
h2_garden1,0.05717447202550424,0.31289644426818164,FL50,Midwest,NE,MI,-504.9542986504538
h2_garden2,0.03448765493284083,0.2897181843899824,FL50,Midwest,NE,MI,-504.9542986504538
r_G,0.46837590466567924,3.3137464687222895,FL50,Midwest,NE,MI,-504.9542986504538
h2_garden1,0.8513643238486076,1.093885837698662,GR50,Midwest,TX1,TX2,-406.9163767160779
h2_garden2,0.22006615317783504,0.3876048046276932,GR50,Midwest,TX1,TX2,-406.9163767160779
r_G,0.5882628729903568,1.21219704308943,GR50,Midwest,TX1,TX2,-406.9163767160779
h2_garden1,0.9999959649856733,1.2305218933895543e-6,GR50,Midwest,TX1,MO,-320.4125865994276
h2_garden2,0.8343704078287442,0.10238945901182392,GR50,Midwest,TX1,MO,-320.4125865994276
r_G,0.24534341528488063,0.7581541682146188,GR50,Midwest,TX1,MO,-320.4125865994276
h2_garden1,0.2233324384528413,0.4558161174828141,GR50,Midwest,TX2,TX3,-481.31645260494474
h2_garden2,0.9995360609464126,0.6628473675265903,GR50,Midwest,TX2,TX3,-481.31645260494474
r_G,0.9831350928437993,0.9788907545305474,GR50,Midwest,TX2,TX3,-481.31645260494474
h2_garden1,0.3718820831812802,0.35816702997664196,GR50,Midwest,TX2,OK,-514.314368710971
h2_garden2,0.9979984764322349,0.6998281368573159,GR50,Midwest,TX2,OK,-514.314368710971
r_G,0.999123388334767,0.5309249889674879,GR50,Midwest,TX2,OK,-514.314368710971
h2_garden1,0.5043013200828037,0.24725392461739562,GR50,Midwest,TX2,MO,-580.1111592402566
h2_garden2,0.6971958521739129,0.2566907175401565,GR50,Midwest,TX2,MO,-580.1111592402566
r_G,-0.397292156987952,0.48949447337955204,GR50,Midwest,TX2,MO,-580.1111592402566
h2_garden1,0.37790468717809045,0.34062665071028153,GR50,Midwest,TX2,NE,-483.16837330791725
h2_garden2,0.014683843751737915,0.7397031319253455,GR50,Midwest,TX2,NE,-483.16837330791725
r_G,-0.4026909531109271,12.317718946754095,GR50,Midwest,TX2,NE,-483.16837330791725
h2_garden1,0.23428867244610785,0.4034116619123772,GR50,Midwest,TX2,MI,-537.4360002329585
h2_garden2,0.014312361598519653,0.6655603461897522,GR50,Midwest,TX2,MI,-537.4360002329585
r_G,-0.8924816414395352,24.905602673477496,GR50,Midwest,TX2,MI,-537.4360002329585
h2_garden1,0.24314265920607306,0.3735447928210818,GR50,Midwest,TX2,SD,-440.1116423702849
h2_garden2,0.9896314883009537,0.8132022707002742,GR50,Midwest,TX2,SD,-440.1116423702849
r_G,-0.10779738393668652,1.0114719020518257,GR50,Midwest,TX2,SD,-440.1116423702849
