Value,Estimate,SE,Phenotype,Subpop,Garden_1,Garden_2,loglik
Value,0,0,Phenotype,Subpop,garden1,garden2,0
h2_garden1,0.5323408015275115,0.09077215296716581,FL50,Gulf,TX1,TX2,-1465.1162484518281
h2_garden2,0.9797262526931902,0.003495544320466914,FL50,Gulf,TX1,TX2,-1465.1162484518281
r_G,0.6937431859909023,0.09160965962948232,FL50,Gulf,TX1,TX2,-1465.1162484518281
h2_garden1,0.8420291428521541,0.033351017421565994,FL50,Gulf,TX1,TX3,-1415.2716279629642
h2_garden2,0.5810852175005466,0.08294714584367274,FL50,Gulf,TX1,TX3,-1415.2716279629642
r_G,0.06523481478841008,0.1332443991259381,FL50,Gulf,TX1,TX3,-1415.2716279629642
h2_garden1,0.8340483924834989,0.03871627210169052,FL50,Gulf,TX1,OK,-881.5519913212239
h2_garden2,0.6834702588372134,0.08358454169064153,FL50,Gulf,TX1,OK,-881.5519913212239
r_G,0.5778523185328962,0.11709899928378771,FL50,Gulf,TX1,OK,-881.5519913212239
h2_garden1,0.7524469285138644,0.061304139124624846,FL50,Gulf,TX1,MO,-1150.391666118449
h2_garden2,0.8592494918537401,0.03168588901124459,FL50,Gulf,TX1,MO,-1150.391666118449
r_G,0.48380384071741983,0.10052585968877097,FL50,Gulf,TX1,MO,-1150.391666118449
h2_garden1,0.8185011723082379,0.04418336150114281,FL50,Gulf,TX1,NE,-818.0995368328182
h2_garden2,0.2390798630081363,0.1989960403987072,FL50,Gulf,TX1,NE,-818.0995368328182
r_G,0.27170897872817773,0.31756130483328465,FL50,Gulf,TX1,NE,-818.0995368328182
h2_garden1,0.7895196645978272,0.05487498646614545,FL50,Gulf,TX1,MI,-1241.1121581495872
h2_garden2,0.8891720838091655,0.021532239485064702,FL50,Gulf,TX1,MI,-1241.1121581495872
r_G,0.5701814531179893,0.09167152798464215,FL50,Gulf,TX1,MI,-1241.1121581495872
h2_garden1,0.8110130619896545,0.04691820348801738,FL50,Gulf,TX1,SD,-755.5310622707165
h2_garden2,0.8475493193705518,0.04955904563831713,FL50,Gulf,TX1,SD,-755.5310622707165
r_G,0.17698706599538488,0.20715614059299295,FL50,Gulf,TX1,SD,-755.5310622707165
h2_garden1,0.9772822936721598,0.004058768154339493,FL50,Gulf,TX2,TX3,-1779.1422405817007
h2_garden2,0.6397928299115793,0.07719432461397407,FL50,Gulf,TX2,TX3,-1779.1422405817007
r_G,0.3597137848067182,0.09250638253948909,FL50,Gulf,TX2,TX3,-1779.1422405817007
h2_garden1,0.9776801772224467,0.003945906002673094,FL50,Gulf,TX2,OK,-1215.6462307082247
h2_garden2,0.7660217036396931,0.062131003945769654,FL50,Gulf,TX2,OK,-1215.6462307082247
r_G,0.6666130205521322,0.07405325414907474,FL50,Gulf,TX2,OK,-1215.6462307082247
h2_garden1,0.9780235516345946,0.0038520991279793904,FL50,Gulf,TX2,MO,-1481.973229750647
h2_garden2,0.6382402300352144,0.07159701793497329,FL50,Gulf,TX2,MO,-1481.973229750647
r_G,0.4535861277419216,0.08879179316879357,FL50,Gulf,TX2,MO,-1481.973229750647
h2_garden1,0.9770024544606467,0.004137272046137013,FL50,Gulf,TX2,NE,-1145.1135376119826
h2_garden2,0.5525886748820075,0.09917662933211176,FL50,Gulf,TX2,NE,-1145.1135376119826
r_G,0.9284896322733014,0.059643549121733475,FL50,Gulf,TX2,NE,-1145.1135376119826
h2_garden1,0.9674757834555362,0.005586720875302454,FL50,Gulf,TX2,MI,-1530.167507542775
h2_garden2,0.8641905947202454,0.024004795692080055,FL50,Gulf,TX2,MI,-1530.167507542775
r_G,0.40358116539174976,0.07226726025129376,FL50,Gulf,TX2,MI,-1530.167507542775
h2_garden1,0.9770783045849554,0.004138484590952064,FL50,Gulf,TX2,SD,-1088.4795483207158
h2_garden2,0.8671284926457562,0.039711106000560555,FL50,Gulf,TX2,SD,-1088.4795483207158
r_G,0.8305689336705817,0.05085458584488897,FL50,Gulf,TX2,SD,-1088.4795483207158
h2_garden1,0.683105720993375,0.06923930085822638,FL50,Gulf,TX3,OK,-1176.2039584686272
h2_garden2,0.8106600448869075,0.05319528939528354,FL50,Gulf,TX3,OK,-1176.2039584686272
r_G,0.3510930308564598,0.1285676044582475,FL50,Gulf,TX3,OK,-1176.2039584686272
h2_garden1,0.6079911707907705,0.08538937230840575,FL50,Gulf,TX3,MO,-1455.6546433062465
h2_garden2,0.8676501151524458,0.0283972968859555,FL50,Gulf,TX3,MO,-1455.6546433062465
r_G,0.15992926173168387,0.12093691215425084,FL50,Gulf,TX3,MO,-1455.6546433062465
h2_garden1,0.6658476067185062,0.07494264714923721,FL50,Gulf,TX3,NE,-1107.851254749255
h2_garden2,0.36871100085639286,0.17791364473228485,FL50,Gulf,TX3,NE,-1107.851254749255
r_G,0.229331842407039,0.25136444099059047,FL50,Gulf,TX3,NE,-1107.851254749255
h2_garden1,0.6030022026061638,0.08843377781680878,FL50,Gulf,TX3,MI,-1531.6248065167856
h2_garden2,0.8921117046503747,0.020555295377813247,FL50,Gulf,TX3,MI,-1531.6248065167856
r_G,0.432066492450697,0.10187363190386843,FL50,Gulf,TX3,MI,-1531.6248065167856
h2_garden1,0.6470772047854311,0.08116835371651313,FL50,Gulf,TX3,SD,-1041.4902980431325
h2_garden2,0.8180136759479293,0.058970083113876366,FL50,Gulf,TX3,SD,-1041.4902980431325
r_G,0.45655023520820043,0.15878920690219275,FL50,Gulf,TX3,SD,-1041.4902980431325
h2_garden1,0.8054177160973057,0.05310980273219116,FL50,Gulf,OK,MO,-889.669987018666
h2_garden2,0.8482424643541795,0.03409166139445442,FL50,Gulf,OK,MO,-889.669987018666
r_G,0.6205574044572053,0.08450354657374604,FL50,Gulf,OK,MO,-889.669987018666
h2_garden1,0.8583535215352798,0.0422757627000508,FL50,Gulf,OK,NE,-538.7529806244149
h2_garden2,0.39821712926646086,0.16989389461152438,FL50,Gulf,OK,NE,-538.7529806244149
r_G,0.952589202504514,0.1393562054697089,FL50,Gulf,OK,NE,-538.7529806244149
h2_garden1,0.8498420729368128,0.04570523803332584,FL50,Gulf,OK,MI,-965.3106361843958
h2_garden2,0.8739194546560393,0.02492523421329577,FL50,Gulf,OK,MI,-965.3106361843958
r_G,0.9083968176237135,0.053817414066618864,FL50,Gulf,OK,MI,-965.3106361843958
