,Estimate,SE,site,subpop,phe,bic,loglik,,,,Estimate,SE,site,subpop,phe,bic,loglik
*,0.846,0.038,MO,Gulf,crain_2d,766.9,-378.2,,,,,,,,,,
,0.843,0.037,MO,Gulf,FL50,1210.2,-599.8,,,,,,,,,,
,0.841,0.037,MO,Gulf,dyln_fl50,-73.3,41.9,,,,,,,,,,
,0.833,0.041,MO,Gulf,crain_gr2fl,1847.5,-918.5,,,,,,,,,,
,0.823,0.043,MO,Gulf,cgdd_12c_gr2fl,2138.5,-1064.0,,,,,,,,,,
,0.395,0.137,MO,Gulf,crain_3d,969.9,-479.7,,,,,,,,,,
,0.269,0.154,MO,Gulf,crain_7d,1285.5,-637.5,,,,,,,,,,
,0.258,0.153,MO,Gulf,CRAIN_5d,1288.9,-639.2,,,,,,,,,,
*,0.942,0.014,MO,Gulf_and_Midwest,crain_2d,1546.5,-767.5,,,,,,,,,,
*,0.880,0.025,MO,Gulf_and_Midwest,dyln_change_sec,2309.0,-1148.7,,,,,,,,,,
,0.834,0.033,MO,Gulf_and_Midwest,FL50,1975.0,-981.8,,,,,,,,,,
,0.820,0.037,MO,Gulf_and_Midwest,cgdd_12c_gr2fl,3488.7,-1738.6,,,,,,,,,,
,0.813,0.036,MO,Gulf_and_Midwest,dyln_fl50,-172.4,91.9,,,,,,,,,,
,0.780,0.047,MO,Gulf_and_Midwest,crain_gr2fl,2919.6,-1454.1,,,,,,,,,,
,0.500,0.117,MO,Gulf_and_Midwest,crain_3d,1738.7,-863.6,,,,,,,,,,
,0.290,0.132,MO,Gulf_and_Midwest,crain_7d,2090.5,-1039.5,,,,,,,,,,
,0.262,0.129,MO,Gulf_and_Midwest,CRAIN_5d,2070.1,-1029.3,,,,,,,,,,
*,0.832,0.091,MO,Midwest,crain_gr2fl,1026.2,-508.3,,,,,,,,,,
*,0.762,0.106,MO,Midwest,cgdd_12c_gr2fl,1330.4,-660.4,,,,,,,,,,
*,0.761,0.109,MO,Midwest,dyln_change_sec,965.0,-477.7,,,,,,,,,,
,0.749,0.109,MO,Midwest,FL50,737.5,-364.0,,,,,,,,,,
,0.725,0.112,MO,Midwest,dyln_fl50,-171.8,90.7,,,,,,,,,,
,0.389,0.282,MO,Midwest,CRAIN_5d,784.8,-387.6,,,,,,,,,,
,0.370,0.279,MO,Midwest,crain_7d,809.3,-399.9,,,,,,,,,,
,0.225,0.380,MO,Midwest,crain_2d,695.6,-343.0,,,,,,,,,,
,0.092,0.313,MO,Midwest,crain_3d,728.8,-359.6,,,,,,,,,,
*,0.863,0.046,NE,Gulf,crain_2d,384.0,-187.5,,,,,,,,,,
*,0.431,0.179,NE,Gulf,dyln_fl50,-64.5,36.8,,,,,,,,,,
,0.403,0.187,NE,Gulf,FL50,503.4,-247.2,,,,,,,,,,
,0.365,0.189,NE,Gulf,crain_7d,568.2,-279.6,,,,,,,,,,
,0.332,0.228,NE,Gulf,crain_3d,484.4,-237.7,,,,,,,,,,
,0.265,0.194,NE,Gulf,CRAIN_5d,559.0,-275.0,,,,,,,,,,
,0.189,0.227,NE,Gulf,dyln_change_sec,500.9,-246.0,,,,,,,,,,
,0.066,0.113,NE,Gulf,crain_gr2fl,801.7,-396.4,,,,,,,,,,
,0.014,0.094,NE,Gulf,cgdd_12c_gr2fl,904.1,-447.5,,,,,,,,,,
*,0.948,0.016,NE,Gulf_and_Midwest,crain_2d,822.4,-406.2,,,,,,,,,,
*,0.895,0.031,NE,Gulf_and_Midwest,dyln_change_sec,1107.2,-548.6,,,,,,,,,,
,0.764,0.060,NE,Gulf_and_Midwest,FL50,949.9,-469.9,,,,,,,,,,
,0.743,0.066,NE,Gulf_and_Midwest,cgdd_12c_gr2fl,1683.3,-836.6,,,,,,,,,,
,0.723,0.066,NE,Gulf_and_Midwest,dyln_fl50,-83.6,46.8,,,,,,,,,,
,0.659,0.115,NE,Gulf_and_Midwest,crain_3d,926.3,-458.1,,,,,,,,,,
,0.580,0.129,NE,Gulf_and_Midwest,crain_7d,1049.9,-519.9,,,,,,,,,,
,0.503,0.146,NE,Gulf_and_Midwest,CRAIN_5d,1035.3,-512.6,,,,,,,,,,
,0.237,0.147,NE,Gulf_and_Midwest,crain_gr2fl,1382.8,-686.4,,,,,,,,,,
*,1.000,0.000,NE,Midwest,dyln_change_sec,522.4,-257.0,,,,,,,,,,
*,1.000,0.000,NE,Midwest,crain_gr2fl,572.2,-281.9,,,,,,,,,,
*,1.000,0.673,NE,Midwest,CRAIN_5d,465.9,-228.8,,,,,,,,,,
*,1.000,0.000,NE,Midwest,FL50,413.4,-202.5,,,,,,,,,,
*,1.000,0.000,NE,Midwest,dyln_fl50,-46.7,27.6,,,,,,,,,,
*,1.000,0.000,NE,Midwest,crain_7d,472.8,-232.2,,,,,,,,,,
*,1.000,0.000,NE,Midwest,cgdd_12c_gr2fl,736.2,-363.9,,,,,,,,,,
,0.311,0.971,NE,Midwest,crain_2d,410.2,-200.9,,,,,,,,,,
,0.000,1.133,NE,Midwest,crain_3d,428.9,-210.3,,,,,,,,,,
*,0.889,0.038,OK,Gulf,dyln_change_sec,624.0,-307.4,,,,,,,,,,
,0.857,0.046,OK,Gulf,FL50,648.7,-319.7,,,,,,,,,,
,0.852,0.047,OK,Gulf,dyln_fl50,-54.0,31.7,,,,,,,,,,
,0.645,0.106,OK,Gulf,cgdd_12c_gr2fl,1242.7,-616.7,,,,,,,,,,
,0.142,0.126,OK,Gulf,crain_7d,832.0,-411.4,,,,,,,,,,
,0.067,0.078,OK,Gulf,crain_2d,742.9,-366.8,,,,,,,,,,
,0.047,0.064,OK,Gulf,crain_3d,752.3,-371.5,,,,,,,,,,
,0.026,0.066,OK,Gulf,CRAIN_5d,822.4,-406.5,,,,,,,,,,
,0.000,0.076,OK,Gulf,crain_gr2fl,1196.7,-593.7,,,,,,,,,,
*,0.975,0.008,OK,Gulf_and_Midwest,dyln_change_sec,1156.0,-572.9,,,,,,,,,,
,0.896,0.031,OK,Gulf_and_Midwest,FL50,1029.1,-509.5,,,,,,,,,,
,0.852,0.042,OK,Gulf_and_Midwest,dyln_fl50,-90.1,50.1,,,,,,,,,,
,0.767,0.065,OK,Gulf_and_Midwest,cgdd_12c_gr2fl,1924.6,-957.2,,,,,,,,,,
,0.301,0.144,OK,Gulf_and_Midwest,crain_gr2fl,1826.6,-908.2,,,,,,,,,,
